number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.relation_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	501	551	601	751	801	851	901
0	TrialState.COMPLETE	0.15158020538243627	2020-01-08 16:20:08.789937	2020-01-08 17:05:28.000672	50.0	450.0	91.0	0.020208106183605058	600.0	0.357786930593564	0.017218484419263456	0.15158020538243627	0.08649079320113315	0.11481940509915015	7253.041198211757	0.06577816148246261	0.017218484419263456	0.15158020538243627	0.08649079320113315	0.11481940509915015	7253.037513279037	0.06577816207779978	0.017218484419263456	0.15158020538243627	0.08649079320113315	0.11481940509915015	7253.0448831444755	0.06577816088902136	0					0.15967304060434373	0.1550485633346823										
1	TrialState.COMPLETE	0.10694050991501416	2020-01-08 17:05:28.001684	2020-01-08 17:19:10.226938	350.0	450.0	1.0	0.009773257836786235	600.0	0.5390753382322526	0.0017262747875354107	0.10694050991501416	0.06520007082152975	0.08454320113314448	10928.164615793201	0.040916421572181894	0.0017262747875354107	0.10694050991501416	0.06520007082152975	0.08454320113314448	10928.14978753541	0.04091642314184139	0.0017262747875354107	0.10694050991501416	0.06520007082152975	0.08454320113314448	10928.179444050991	0.04091642000784198	1	0.11490793201133144	0.10959631728045326														
2	TrialState.COMPLETE	0.16257967422096317	2020-01-08 17:19:10.227977	2020-01-08 17:30:14.465975	150.0	450.0	1.0	0.006461946987429464	500.0	0.2658563224907573	0.004027974504249292	0.16257967422096317	0.09906161473087818	0.12641643059490085	5388.716116324363	0.0644030500420535	0.004027974504249292	0.16257967422096317	0.09906161473087818	0.12641643059490085	5388.713925283286	0.0644030505815345	0.004027974504249292	0.16257967422096317	0.09906161473087818	0.12641643059490085	5388.718307365439	0.06440304950384224	2	0.18015226628895184	0.16843720491029274														
3	TrialState.COMPLETE	0.0007524787535410764	2020-01-08 17:30:14.466790	2020-01-08 17:44:58.800347	350.0	250.0	21.0	0.041246231245679374	600.0	0.9946003106899999	0.0002213172804532578	0.0007524787535410764	0.000398371104815864	0.0004868980169971671	20163.966890934844	0.0007170614533661705	0.0002213172804532578	0.0007524787535410764	0.000398371104815864	0.0004868980169971671	20161.240571883853	0.0007170956040746977	0.0002213172804532578	0.0007524787535410764	0.000398371104815864	0.0004868980169971671	20166.693209985835	0.0007170274147383624	3	0.0011508498583569404	0.0008852691218130312														
4	TrialState.COMPLETE	0.009560906515580737	2020-01-08 17:44:58.801148	2020-01-08 18:01:13.328063	450.0	150.0	51.0	0.03091229420997039	500.0	0.9727468404783426	0.006196883852691218	0.009560906515580737	0.007259206798866855	0.007834631728045325	19720.968794263455	0.007497498915061255	0.006196883852691218	0.009560906515580737	0.007259206798866855	0.007834631728045325	19720.963615439094	0.007497498980718488	0.006196883852691218	0.009560906515580737	0.007259206798866855	0.007834631728045325	19720.973973087817	0.007497498849427537	4	0.007082152974504249	0.008734655335221907														
5	TrialState.COMPLETE	0.05816218130311615	2020-01-08 18:01:13.328908	2020-01-08 18:18:10.495435	450.0	450.0	31.0	0.008668714565716102	1000.0	0.41008047426378563	0.006373937677053824	0.05816218130311615	0.03040899433427762	0.040855169971671386	8313.18013013456	0.02566480267904662	0.006373937677053824	0.05816218130311615	0.03040899433427762	0.040855169971671386	8313.175902974504	0.025664808313958655	0.006373937677053824	0.05816218130311615	0.03040899433427762	0.040855169971671386	8313.184357294618	0.025664797127003924	5	0.05789660056657224	0.05807365439093484														
6	TrialState.COMPLETE	0.0053558781869688385	2020-01-08 18:18:10.496467	2020-01-08 18:32:54.759909	350.0	50.0	81.0	0.02709926594303251	500.0	0.985164740057369	0.00199185552407932	0.0053558781869688385	0.003319759206798867	0.004116501416430595	19973.25	0.003478367321690986	0.00199185552407932	0.0053558781869688385	0.003319759206798867	0.004116501416430595	19973.24521954674	0.0034783676481344185	0.00199185552407932	0.0053558781869688385	0.003319759206798867	0.004116501416430595	19973.25478045326	0.0034783669963715856	6	0.004337818696883853	0.005016525023607177														
7	TrialState.COMPLETE	0.012039660056657223	2020-01-08 18:32:54.760722	2020-01-08 18:50:08.137781	350.0	250.0	81.0	0.033826915031172584	500.0	1.0084623377508475	0.007878895184135978	0.012039660056657223	0.009959277620396601	0.01080028328611898	20445.22939536119	0.00965783070157987	0.007878895184135978	0.012039660056657223	0.009959277620396601	0.01080028328611898	20445.223796033995	0.0096578307615149	0.007878895184135978	0.012039660056657223	0.009959277620396601	0.01080028328611898	20445.234994688384	0.00965783064166656	7	0.011862606232294617	0.011980642115203022														
8	TrialState.COMPLETE	0.16356232294617565	2020-01-08 18:50:08.138816	2020-01-08 19:47:14.863901	450.0	50.0	1.0	0.006345938216482357	1000.0	0.236536725145584	0.0074539660056657225	0.16356232294617565	0.08843838526912182	0.12103399433427763	4794.718510977337	0.0636659395241409	0.0074539660056657225	0.16356232294617565	0.08843838526912182	0.12103399433427763	4794.717492917847	0.06366593975426356	0.0074539660056657225	0.16356232294617565	0.08843838526912182	0.12103399433427763	4794.719529036827	0.06366593929458965	8							0.16262393767705383	0.16314526282656594								
