number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	model.relation_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151
0	TrialState.COMPLETE	0.003098441926345609	2020-01-09 16:20:30.250022	2020-01-09 18:29:53.672160	0.3804692094362738	24.110454927942268	100.0	100.0	2	180.0	0.002823382715775005	800.0	0.9915884182523144	0.0005311614730878187	0.003098441926345609	0.0011508498583569404	0.0017705382436260624	20102.77447769122	0.0020189287278516116	0.0006196883852691218	0.003186968838526912	0.0012393767705382436	0.0018590651558073655	20099.992563739375	0.002104485586754683	0.0005311614730878187	0.003098441926345609	0.0011508498583569404	0.0017705382436260624	20105.55639164306	0.002006774173157374	0	0.002301699716713881	0.0028328611898017	
1	TrialState.COMPLETE	0.000398371104815864	2020-01-09 18:29:53.673040	2020-01-09 20:39:26.917215	0.16917631470477068	29.67634586546581	100.0	200.0	1	90.0	0.030102549836004126	1000.0	1.0748540579591894	0.0	0.000398371104815864	4.426345609065156e-05	0.0003098441926345609	21791.284038597732	0.0003207052359076251	0.0	0.000398371104815864	0.0001327903682719547	0.0003098441926345609	21789.50146069405	0.0003397528575949398	0.0	0.000398371104815864	4.426345609065156e-05	0.0003098441926345609	21793.066616501415	0.00031304071528039226	1	0.0002655807365439094	0.0003541076487252125	
2	TrialState.COMPLETE	0.0029656515580736543	2020-01-09 20:39:26.918042	2020-01-09 22:07:33.733241	0.6949886333980998	22.012406727066743	200.0	150.0	2	30.0	0.0021169701679968726	500.0	1.0287086027250902	0.0004868980169971671	0.0029656515580736543	0.00141643059490085	0.0017705382436260624	20855.62260977337	0.0018683346697620357	0.0004868980169971671	0.0029656515580736543	0.00141643059490085	0.0017705382436260624	20854.06984773371	0.0018684640298956478	0.0004868980169971671	0.0029656515580736543	0.00141643059490085	0.0017705382436260624	20857.17537181303	0.0018682093556663764	2	0.0020361189801699716	0.0026558073654390935	
3	TrialState.COMPLETE	0.003045325779036827	2020-01-09 22:07:33.734316	2020-01-09 23:08:52.689372	0.5895928052365885	17.32672331307932	50.0	50.0	2	10.0	0.0018477411846984251	700.0	0.9666612815887741	0.0006373937677053824	0.003045325779036827	0.0012747875354107649	0.0018059490084985836	19597.376044617562	0.0021362091234102118	0.000991501416430595	0.005984419263456091	0.0024079320113314447	0.0036827195467422098	17191.90014164306	0.003479762511772711	0.0006373937677053824	0.0030099150141643057	0.0012747875354107649	0.0018059490084985836	22002.85194759207	0.0021195052939319272	3		0.003068932955618508	0.0030541784702549576
4	TrialState.COMPLETE	0.0006196883852691218	2020-01-09 23:08:52.690438	2020-01-10 00:39:46.642909	0.7612465072678201	24.539961653047815	200.0	100.0	1	50.0	0.006211893612975712	500.0	1.0648537178726063	4.426345609065156e-05	0.0006196883852691218	0.00017705382436260624	0.0003098441926345609	21588.73526026912	0.0004426253848631535	4.426345609065156e-05	0.0006196883852691218	0.00017705382436260624	0.0003098441926345609	21588.230922450424	0.00044295355631461395	4.426345609065156e-05	0.0006196883852691218	0.00017705382436260624	0.0003098441926345609	21589.239598087817	0.00044232134127179524	4	0.0003541076487252125	0.0005311614730878187	
5	TrialState.COMPLETE	0.0009295325779036828	2020-01-10 00:39:46.643836	2020-01-10 01:55:33.985697	0.4714874339822903	7.680159337802746	150.0	100.0	2	50.0	0.06285355743328853	600.0	1.1079423459786701	0.0005311614730878187	0.0009295325779036828	0.0008410056657223796	0.0008410056657223796	22462.63009029745	0.0009036542825333266	0.0005311614730878187	0.0009295325779036828	0.0008410056657223796	0.0008410056657223796	22462.625841005665	0.0009036543089439476	0.0005311614730878187	0.0009295325779036828	0.0008410056657223796	0.0008410056657223796	22462.634339589236	0.0009036542561275699	5	0.0006196883852691218	0.0008262511803588291	
6	TrialState.COMPLETE	0.13690686968838528	2020-01-10 01:55:33.986637	2020-01-10 07:14:36.717229	0.3888509651448634	3.542002606405209	150.0	200.0	1	180.0	0.009098498533727966	1000.0	0.38075796726421424	0.000708215297450425	0.13690686968838528	0.08498583569405099	0.10800283286118981	7719.532179532578	0.05298150541177242	0.000708215297450425	0.13690686968838528	0.08498583569405099	0.10800283286118981	7719.528505665722	0.05298150546848708	0.000708215297450425	0.13690686968838528	0.08498583569405099	0.10800283286118981	7719.535853399433	0.05298150535507319	6	0.16404036827195467	0.14595136921624174	
7	TrialState.COMPLETE	0.0003098441926345609	2020-01-10 07:14:36.718214	2020-01-10 11:52:47.643469	0.7720745309763525	10.265964051575683	150.0	150.0	2	190.0	0.009995580737852078	700.0	1.092697274555496	4.426345609065156e-05	0.0003098441926345609	8.852691218130312e-05	0.0002213172804532578	22153.133011685553	0.00038402952586382745	4.426345609065156e-05	0.0003098441926345609	8.852691218130312e-05	0.0002213172804532578	22153.11424398017	0.00038405575565816604	4.426345609065156e-05	0.0003098441926345609	8.852691218130312e-05	0.0002213172804532578	22153.151779390933	0.00038400374328284315	7	0.0004426345609065156	0.0003541076487252125	
8	TrialState.COMPLETE	0.0008410056657223796	2020-01-10 11:52:47.644341	2020-01-10 14:27:24.070075	0.5245286488018114	6.81136242007937	200.0	50.0	2	190.0	0.020571862488108786	700.0	1.027203360698882	8.852691218130312e-05	0.0008410056657223796	0.000398371104815864	0.0005754249291784702	20825.9375	0.0005875643750787448	8.852691218130312e-05	0.0008410056657223796	0.000398371104815864	0.0005754249291784702	20825.93072769122	0.0005875644439083574	8.852691218130312e-05	0.0008410056657223796	0.000398371104815864	0.0005754249291784702	20825.94427230878	0.0005875643062694388	8	0.0009737960339943342	0.0008852691218130312	
