number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	401	451	601	651	801	851
0	TrialState.COMPLETE	0.01112909753136382	2019-12-29 09:58:50.091637	2019-12-29 10:29:42.518341	250.0	31.0	0.02414222715149688	900.0	0.8074529852847363	0.007031566167543505	0.01112909753136382	0.008549170376365843	0.009636786726021853	16368.777633043303	0.008600360890968793	0.007031566167543505	0.01112909753136382	0.008549170376365843	0.009636786726021853	16368.775698097936	0.008600360898449259	0.007031566167543505	0.01112909753136382	0.008549170376365843	0.009636786726021853	16368.77956798867	0.008600360883489212	0				0.009844192634560907	0.010593720491029274						
1	TrialState.COMPLETE	0.0050991501416430595	2019-12-29 10:29:42.521834	2019-12-29 10:50:02.120024	350.0	21.0	0.030943248940241558	600.0	0.8742450034064191	0.0033994334277620396	0.0050991501416430595	0.004284702549575071	0.004709631728045326	17722.761083569407	0.004201357793259734	0.0033994334277620396	0.0050991501416430595	0.004284702549575071	0.004709631728045326	17722.759525495752	0.004201357801806582	0.0033994334277620396	0.0050991501416430595	0.004284702549575071	0.004709631728045326	17722.76264164306	0.004201357784713954	1		0.003659112370160529	0.00455913597733711								
2	TrialState.COMPLETE	0.006757554296506138	2019-12-29 10:50:02.123585	2019-12-29 11:20:05.165663	350.0	71.0	0.02870082842795214	500.0	0.8008220417900865	0.0036886213408876298	0.006757554296506138	0.004957507082152974	0.005724740321057601	16234.424560316336	0.005032957819097242	0.0036886213408876298	0.006757554296506138	0.004957507082152974	0.005724740321057601	16234.422243862135	0.005032957834773148	0.0036886213408876298	0.006757554296506138	0.004957507082152974	0.005724740321057601	16234.426876770538	0.00503295780342407	2			0.006418201133144476	0.006621813031161473							
3	TrialState.COMPLETE	0.24446967172137976	2019-12-29 11:20:05.166835	2019-12-29 12:53:00.817096	150.0	41.0	0.006311937062334457	800.0	0.3904901981719265	0.10082694550908182	0.24446967172137976	0.16637852024662556	0.19930011664722547	7915.695623646059	0.14942689261269992	0.10082694550908182	0.24446967172137976	0.16637852024662556	0.19930011664722547	7915.694103066156	0.14942689264345113	0.10082694550908182	0.24446967172137976	0.16637852024662556	0.19930011664722547	7915.697144225962	0.14942689258196565	3											
4	TrialState.COMPLETE	0.22152974504249293	2019-12-29 12:53:00.819387	2019-12-29 14:47:30.717037	450.0	61.0	0.005216596426179785	800.0	0.49242651964948897	0.0767233238904627	0.22152974504249293	0.14028564683663833	0.17548394711992446	9982.207152974504	0.12459146826011032	0.0767233238904627	0.22152974504249293	0.14028564683663833	0.17548394711992446	9982.205169971672	0.12459146840045597	0.0767233238904627	0.22152974504249293	0.14028564683663833	0.17548394711992446	9982.209135977337	0.12459146812016587	4								0.21998256700806276	0.22081141238365035		
5	TrialState.COMPLETE	0.26555278067690474	2019-12-29 14:47:30.722997	2019-12-29 16:44:08.410584	250.0	41.0	0.005388130175865802	1000.0	0.4310697347980202	0.10539361860742508	0.26555278067690474	0.1809303712539138	0.21710526315789475	8738.21539529596	0.15933238323192409	0.10539361860742508	0.26555278067690474	0.1809303712539138	0.21710526315789475	8738.213648054272	0.15933238445587866	0.10539361860742508	0.26555278067690474	0.1809303712539138	0.21710526315789475	8738.217142537647	0.15933238202501096	5										0.26450799866688884	0.2650594113943972
6	TrialState.COMPLETE	0.010180594900849858	2019-12-29 16:44:08.412918	2019-12-29 17:11:08.932024	250.0	11.0	0.022505073323055295	700.0	0.8614632098703636	0.007200188857412654	0.010180594900849858	0.008616619452313503	0.009147780925401323	17463.68240970255	0.008448487602532247	0.007200188857412654	0.010180594900849858	0.008616619452313503	0.009147780925401323	17463.681362134088	0.008448487608724837	0.007200188857412654	0.010180594900849858	0.008616619452313503	0.009147780925401323	17463.68345727101	0.008448487596340598	6			0.009428116147308782	0.009879603399433428							
7	TrialState.COMPLETE	0.40009998333611063	2019-12-29 17:11:08.933254	2019-12-29 19:25:00.034336	350.0	91.0	0.001467775024699162	800.0	0.44659225280354525	0.13568571904682553	0.40009998333611063	0.2950654057657057	0.34645267455424095	9053.141242084652	0.23105159740159142	0.13568571904682553	0.40009998333611063	0.2950654057657057	0.34645267455424095	9053.137716630561	0.23105159744461298	0.13568571904682553	0.40009998333611063	0.2950654057657057	0.34645267455424095	9053.144767538744	0.23105159735860495	7											
8	TrialState.COMPLETE	0.33009915014164304	2019-12-29 19:25:00.035540	2019-12-29 20:52:32.182520	50.0	81.0	0.004774693196448828	700.0	0.391274314455753	0.1615321057601511	0.33009915014164304	0.24501888574126535	0.2824126534466478	7931.834023843248	0.21924864217887013	0.1615321057601511	0.33009915014164304	0.24501888574126535	0.2824126534466478	7931.831503777148	0.21924864421744308	0.1615321057601511	0.33009915014164304	0.24501888574126535	0.2824126534466478	7931.836543909349	0.21924864017678755	8											
9	TrialState.COMPLETE	0.33617313781036495	2019-12-29 20:52:32.183958	2019-12-29 22:37:05.101190	150.0	61.0	0.004235031749624955	800.0	0.4541449839911612	0.12634352607898683	0.33617313781036495	0.2315759873354441	0.27935969005165806	9206.330804240959	0.19671157691895663	0.12634352607898683	0.33617313781036495	0.2315759873354441	0.27935969005165806	9206.328455674055	0.19671157720917878	0.12634352607898683	0.33617313781036495	0.2315759873354441	0.27935969005165806	9206.333152807865	0.1967115766301481	9											
10	TrialState.COMPLETE	0.0002213172804532578	2019-12-29 22:37:05.102339	2019-12-29 22:46:59.016424	50.0	11.0	0.07602157675659803	600.0	0.9093426103989254	0.0001327903682719547	0.0002213172804532578	0.00017705382436260624	0.0002213172804532578	18434.28226805949	0.0003876206757410925	0.0001327903682719547	0.0002213172804532578	0.00017705382436260624	0.0002213172804532578	18434.28125	0.0003876206964413109	0.0001327903682719547	0.0002213172804532578	0.00017705382436260624	0.0002213172804532578	18434.28328611898	0.00038762065505662204	10	0.0002655807365439094	0.00023607176581680832									
11	TrialState.COMPLETE	0.0030099150141643057	2019-12-29 22:46:59.017305	2019-12-29 23:09:38.058123	450.0	21.0	0.07418778583208027	1000.0	0.907253338681293	0.0013101983002832861	0.0030099150141643057	0.002160056657223796	0.0026203966005665723	18392.02129957507	0.002151879767285432	0.0013101983002832861	0.0030099150141643057	0.002160056657223796	0.0026203966005665723	18392.019157223796	0.0021518797734068774	0.0013101983002832861	0.0030099150141643057	0.002160056657223796	0.0026203966005665723	18392.023441926347	0.0021518797611645825	11		0.0038361661945231352	0.003319759206798867								
12	TrialState.COMPLETE	0.3328611898016997	2019-12-29 23:09:38.059231	2019-12-30 00:24:42.575898	150.0	51.0	0.004299176508136068	600.0	0.44998101853918937	0.14246023098714317	0.3328611898016997	0.24041185443451732	0.2827821965569841	9121.873386086294	0.207422229595307	0.14246023098714317	0.3328611898016997	0.24041185443451732	0.2827821965569841	9121.868803116147	0.20742223077159228	0.14246023098714317	0.3328611898016997	0.24041185443451732	0.2827821965569841	9121.877969056439	0.20742222842998176	12											
13	TrialState.COMPLETE	0.0017262747875354107	2019-12-30 00:24:42.576990	2019-12-30 00:42:14.361274	450.0	71.0	0.06689883479092683	1000.0	0.8651909618257082	0.0010623229461756375	0.0017262747875354107	0.0014606940509915014	0.0016377478753541077	17538.834830913598	0.00157492107349775	0.0010623229461756375	0.0017262747875354107	0.0014606940509915014	0.0016377478753541077	17538.83228576487	0.0015749210954713992	0.0010623229461756375	0.0017262747875354107	0.0014606940509915014	0.0016377478753541077	17538.83737606232	0.001574921051533352	13	0.0016820113314447592	0.0017115203021718602									
14	TrialState.COMPLETE	0.3650577467857921	2019-12-30 00:42:14.362436	2019-12-30 02:06:15.677605	250.0	71.0	0.002743045973307122	600.0	0.4763585225522996	0.12013782959250381	0.3650577467857921	0.2524378949662236	0.30671170189583785	9656.579653791676	0.20430360048199608	0.12013782959250381	0.3650577467857921	0.2524378949662236	0.30671170189583785	9656.577168228372	0.2043036005397577	0.12013782959250381	0.3650577467857921	0.2524378949662236	0.30671170189583785	9656.58213935498	0.20430360042428336	14											
15	TrialState.COMPLETE	0.09725083698171517	2019-12-30 02:06:15.681457	2019-12-30 02:59:20.520592	50.0	51.0	0.012543570165824096	800.0	0.4369723829795607	0.039466907030646405	0.09725083698171517	0.0622263713623487	0.07507082152974505	8858.048705897501	0.05964597888210418	0.039466907030646405	0.09725083698171517	0.0622263713623487	0.07507082152974505	8858.047563095544	0.059645978936284406	0.039466907030646405	0.09725083698171517	0.0622263713623487	0.07507082152974505	8858.049848699458	0.0596459788279652	15						0.0968287692791942	0.09706090651558073				
16	TrialState.COMPLETE	0.015344664778092541	2019-12-30 02:59:20.523272	2019-12-30 03:24:49.710353	250.0	11.0	0.018307355901762173	800.0	0.8360676603440583	0.011095372993389991	0.015344664778092541	0.013190509915014165	0.014282341831916902	16948.744511331446	0.012818138149008932	0.011095372993389991	0.015344664778092541	0.013190509915014165	0.014282341831916902	16948.74341949953	0.01281813817492332	0.011095372993389991	0.015344664778092541	0.013190509915014165	0.014282341831916902	16948.745603163363	0.012818138123117174	16			0.015580736543909348	0.015439093484419263							
17	TrialState.COMPLETE	0.39171388101983	2019-12-30 03:24:49.711877	2019-12-30 04:50:53.687364	150.0	61.0	0.0014934997037870162	700.0	0.45706197023291295	0.13961284230406043	0.39171388101983	0.29428706326723325	0.3421742209631728	9265.2315509915	0.23128471812233595	0.13961284230406043	0.39171388101983	0.29428706326723325	0.3421742209631728	9265.230417847026	0.23128471824150684	0.13961284230406043	0.39171388101983	0.29428706326723325	0.3421742209631728	9265.232684135977	0.23128471800349032	17											
18	TrialState.COMPLETE	0.0030099150141643057	2019-12-30 04:50:53.688561	2019-12-30 05:08:03.417819	50.0	41.0	0.04743623980754005	500.0	0.8436368714247265	0.0014518413597733712	0.0030099150141643057	0.0020892351274787537	0.002584985835694051	17102.09272308782	0.0022467515021847673	0.0014518413597733712	0.0030099150141643057	0.0020892351274787537	0.002584985835694051	17102.090580736545	0.0022467515108987326	0.0014518413597733712	0.0030099150141643057	0.0020892351274787537	0.002584985835694051	17102.094865439092	0.0022467514934718224	18		0.0027738432483474977	0.002921388101983003								
19	TrialState.COMPLETE	0.4701031970861999	2019-12-30 05:08:03.419934	2019-12-30 07:05:51.043509	150.0	21.0	0.0015506267253687478	1000.0	0.3071494804437522	0.3262005935518683	0.4701031970861999	0.4113887764737623	0.43677492243356264	6226.206373094564	0.3799518607427854	0.3262005935518683	0.4701031970861999	0.4113887764737623	0.43677492243356264	6226.2057281127745	0.3799518607678136	0.3262005935518683	0.4701031970861999	0.4113887764737623	0.43677492243356264	6226.207018076352	0.3799518607177775	19											
