number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs
					loss.adversarial_temperature	loss.margin	model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number
0	TrialState.COMPLETE	0.019121813031161474	2019-12-20 11:39:04.790451	2019-12-20 13:04:40.998186	0.9664746992841272	25.400936351560535	50.0	2	20.0	0.002018553199712969	800.0	1.0961632785749604	0.004426345609065156	0.019121813031161474	0.007436260623229462	0.01080028328611898	22222.469900849857	0.009478442421243547	0.004426345609065156	0.019121813031161474	0.007436260623229462	0.01080028328611898	22222.399256373938	0.009478930979332388	0.004426345609065156	0.019121813031161474	0.007436260623229462	0.01080028328611898	22222.54054532578	0.009477968967144028	0
1	TrialState.COMPLETE	0.021423512747875354	2019-12-20 13:04:40.999258	2019-12-20 14:46:12.942081	0.4682945267311558	23.162173124324763	150.0	2	90.0	0.0011335307371069597	800.0	1.1134397264721658	0.009029745042492918	0.021423512747875354	0.012570821529745042	0.01451841359773371	22572.94166076487	0.013589254119114921	0.009029745042492918	0.021423512747875354	0.012570821529745042	0.01451841359773371	22572.867209631728	0.013594276023724735	0.009029745042492918	0.021423512747875354	0.012570821529745042	0.01451841359773371	22573.016111898018	0.013585217951203996	1
2	TrialState.COMPLETE	0.3728753541076487	2019-12-20 14:46:12.943221	2019-12-20 16:34:17.249934	0.19880073029715195	7.197268575970663	250.0	1	40.0	0.002033470967838894	700.0	0.0730905601514785	0.006196883852691218	0.3728753541076487	0.2126416430594901	0.28824362606232296	1481.2808073654392	0.13759296001199298	0.006196883852691218	0.3728753541076487	0.2126416430594901	0.28824362606232296	1481.280276203966	0.13759296071272556	0.006196883852691218	0.3728753541076487	0.2126416430594901	0.28824362606232296	1481.2813385269121	0.13759295931321464	2
3	TrialState.COMPLETE	0.01929886685552408	2019-12-20 16:34:17.250772	2019-12-20 18:45:45.310826	0.2583733145038037	9.176668709498179	450.0	1	90.0	0.005622644411827766	600.0	0.745999419103779	0.000708215297450425	0.01929886685552408	0.010446175637393768	0.013279036827195468	15120.74105878187	0.008588946527355278	0.000708215297450425	0.01929886685552408	0.010446175637393768	0.013279036827195468	15120.735658640227	0.00858894667041924	0.000708215297450425	0.01929886685552408	0.010446175637393768	0.013279036827195468	15120.746458923513	0.008588946384404892	3
4	TrialState.COMPLETE	0.02638101983002833	2019-12-20 18:45:45.311937	2019-12-20 21:12:29.777978	0.6877610489171609	6.48190400259055	250.0	2	30.0	0.01009112431478868	1000.0	0.7172998123309261	0.004072237960339943	0.02638101983002833	0.010269121813031162	0.015580736543909348	14540.466448300283	0.011480964405904496	0.004072237960339943	0.02638101983002833	0.010269121813031162	0.015580736543909348	14540.439447592067	0.011480978772177955	0.004072237960339943	0.02638101983002833	0.010269121813031162	0.015580736543909348	14540.493449008498	0.011480950169245264	4
5	TrialState.COMPLETE	0.03824362606232295	2019-12-20 21:12:29.779060	2019-12-20 22:43:57.712066	0.1590804598444124	6.442395894996785	250.0	1	10.0	0.087031376151998	700.0	1.099534330225605	0.000708215297450425	0.03824362606232295	0.03186968838526912	0.03576487252124646	22291.602071529745	0.017270231556699087	0.000708215297450425	0.03824362606232295	0.03186968838526912	0.03576487252124646	22291.589943342777	0.017270232627504486	0.000708215297450425	0.03824362606232295	0.03186968838526912	0.03576487252124646	22291.614199716714	0.017270230489090675	5
6	TrialState.COMPLETE	0.007082152974504249	2019-12-20 22:43:57.713122	2019-12-21 00:01:47.515471	0.8056642017335589	28.60384837853892	450.0	2	10.0	0.03846629313455562	500.0	0.8866640914400211	0.001593484419263456	0.007082152974504249	0.0033640226628895184	0.004426345609065156	17974.373672096317	0.003550997696532978	0.0017705382436260624	0.007082152974504249	0.0033640226628895184	0.004426345609065156	17974.26062322946	0.0036102793665535016	0.001593484419263456	0.007082152974504249	0.0033640226628895184	0.004426345609065156	17974.486720963174	0.0035212371364081547	6
7	TrialState.COMPLETE	0.35003541076487255	2019-12-21 00:01:47.516556	2019-12-21 00:52:42.425286	0.6409232329278747	1.0137850259069474	50.0	2	30.0	0.002806256478126834	500.0	0.06624409555895461	0.017174220963172806	0.35003541076487255	0.1958215297450425	0.2646954674220963	1342.5609065155807	0.13368484183476967	0.017174220963172806	0.35003541076487255	0.1958215297450425	0.2646954674220963	1342.5603753541077	0.13368484186011886	0.017174220963172806	0.35003541076487255	0.1958215297450425	0.2646954674220963	1342.5614376770538	0.13368484180943033	7
8	TrialState.COMPLETE	0.0483356940509915	2019-12-21 00:52:42.426379	2019-12-21 03:03:13.167474	0.2067759672068407	8.314601289912538	350.0	1	30.0	0.06764357517435764	800.0	1.0872770556627471	0.000708215297450425	0.0483356940509915	0.037535410764872525	0.042138810198300285	22043.189447592067	0.02061890822517828	0.000708215297450425	0.0483356940509915	0.037535410764872525	0.042138810198300285	22043.179178470255	0.020618909979830447	0.000708215297450425	0.0483356940509915	0.037535410764872525	0.042138810198300285	22043.19971671388	0.020618906475687933	8
