number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.relation_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.00028529042565331506	2020-05-13 20:11:20.069866	2020-05-13 21:40:25.645619	0.8430515222487638	22.13786063903592	256	64	1	49	0.0044371925376813495	128	1.4833007285893558	5.705808513066301e-05	0.00028529042565331506	0.00017117425539198904	0.00017117425539198904	10614.023550724638	0.00033040881746347216	5.705808513066301e-05	0.00028529042565331506	0.00017117425539198904	0.00017117425539198904	10614.018943284264	0.0003304089082298053		2255369442.0	150.0	5.705808513066301e-05	0.00028529042565331506	0.00017117425539198904	0.00017117425539198904	10614.028158165012	0.0003304087267329628	0		COMPLETE
1	0.00028529042565331506	2020-05-13 21:40:25.707110	2020-05-13 22:02:03.468285	0.6300565683466489	13.066923604823888	64	128	1	8	0.024166374951416398	512	1.4550789461349527	2.8529042565331506e-05	0.00028529042565331506	5.705808513066301e-05	8.558712769599452e-05	10420.850764578341	0.0003127521703345759	2.8529042565331506e-05	0.00028529042565331506	5.705808513066301e-05	8.558712769599452e-05	10420.573690516947	0.000312887450244291		1572057850.0	150.0	2.8529042565331506e-05	0.00028529042565331506	5.705808513066301e-05	8.558712769599452e-05	10421.127838639735	0.00031262649763105804	1		COMPLETE
2	0.0004564646810453041	2020-05-13 22:02:03.518670	2020-05-13 22:40:20.617560	0.9981804552450632	5.316345811575512	64	64	2	34	0.004266104456026454	256	0.4173169657483403	0.0	0.0004564646810453041	2.8529042565331506e-05	0.00014264521282665753	2983.4272081478944	0.0019530284918972847	0.0	0.0004564646810453041	2.8529042565331506e-05	0.00014264521282665753	2983.426480657309	0.0019530285828412534		783759115.0	150.0	0.0	0.0004564646810453041	2.8529042565331506e-05	0.00014264521282665753	2983.42793563848	0.0019530284010157472	2		COMPLETE
3	0.00017117425539198904	2020-05-13 22:40:20.670881	2020-05-13 23:25:53.409605	0.45089981069854834	7.749754764120047	64	128	1	47	0.005874554422318967	256	0.6971280136487549	2.8529042565331506e-05	0.00017117425539198904	0.00011411617026132602	0.00014264521282665753	4966.858396097227	0.001051321297712487	2.8529042565331506e-05	0.00017117425539198904	0.00011411617026132602	0.00014264521282665753	4966.856299212598	0.001051321632488716		4286179081.0	150.0	2.8529042565331506e-05	0.00017117425539198904	0.00011411617026132602	0.00014264521282665753	4966.860492981856	0.0010513209633357496	3		COMPLETE
4	0.00048499372361063563	2020-05-13 23:25:53.472769	2020-05-13 23:56:52.091574	0.22538151602215648	26.027486237873187	64	64	1	82	0.012693839685893162	512	1.5021324547028128	2.8529042565331506e-05	0.00048499372361063563	0.00014264521282665753	0.0002567613830879836	10736.74011468675	0.0004083432921720997	2.8529042565331506e-05	0.00048499372361063563	0.00014264521282665753	0.0002567613830879836	10736.7373331051	0.00040834367112559285		396156103.0	150.0	2.8529042565331506e-05	0.00048499372361063563	0.00014264521282665753	0.0002567613830879836	10736.7428962684	0.00040834291434819705	4		COMPLETE
5	0.00034234851078397807	2020-05-13 23:56:52.150466	2020-05-14 00:19:31.889073	0.44367123995936897	12.219358035840099	64	64	2	28	0.08177729356383324	512	1.4110782795098462	0.0	0.00034234851078397807	0.00011411617026132602	0.00019970329795732054	10111.109893871962	0.0003491056273510544	0.0	0.00034234851078397807	0.00011411617026132602	0.00019970329795732054	10110.912957891132	0.00034917964196261726		1772017968.0	150.0	0.0	0.00034234851078397807	0.00011411617026132602	0.00019970329795732054	10111.30682985279	0.000349033824746731	5		COMPLETE
6		2020-05-14 00:19:31.937113	2020-05-14 00:19:48.821279	0.1660299961761221	27.38026045347156	128	64	1	30	0.01141640599921431	128														CUDA out of memory. Tried to allocate 3.54 GiB (GPU 0; 31.75 GiB total capacity; 20.63 GiB already allocated; 2.56 GiB free; 7.71 GiB cached; 0 bytes inactive)									6	Setting status of trial#6 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
7	0.0016546844687892275	2020-05-14 00:19:48.828743	2020-05-14 01:16:51.708158	0.45279445066419455	19.5088358084742	128	256	2	36	0.0012392574738857146	512	1.6057378174546753	0.00017117425539198904	0.0016546844687892275	0.0007417551066986192	0.0011126326600479288	11476.371819011754	0.0010715882613347026	0.00017117425539198904	0.0016546844687892275	0.0007417551066986192	0.0011126326600479288	11476.36899463654	0.0010715889920315305		1410723972.0	150.0	0.00017117425539198904	0.0016546844687892275	0.0007417551066986192	0.0011126326600479288	11476.374643386967	0.0010715875341776135	7		COMPLETE
8	0.0012267488303092549	2020-05-14 01:16:51.766448	2020-05-14 02:24:22.278838	0.9264906999854271	9.807214280254126	64	256	1	61	0.0013692263867681872	256	1.3626903236638621	0.00014264521282665753	0.0012267488303092549	0.00034234851078397807	0.0005135227661759672	9733.219588040625	0.0009576500863548716	0.00014264521282665753	0.0012267488303092549	0.00034234851078397807	0.0005135227661759672	9733.215051922858	0.0009576503200576666		3290183323.0	150.0	0.00014264521282665753	0.0012267488303092549	0.00034234851078397807	0.0005135227661759672	9733.224124158392	0.0009576498528434059	8		COMPLETE
9	0.0002567613830879836	2020-05-14 02:24:22.325906	2020-05-14 03:52:09.656057	0.2858251024059052	9.79115989222903	64	128	2	96	0.004319295384048256	128	1.2936202131584673	0.0	0.0002567613830879836	0.0	2.8529042565331506e-05	9230.190117539656	0.000532589855658036	0.0	0.0002567613830879836	0.0	2.8529042565331506e-05	9230.186779641675	0.0005325899574478664		1266718821.0	150.0	0.0	0.0002567613830879836	0.0	2.8529042565331506e-05	9230.193455437635	0.0005325897538981759	9		COMPLETE
