number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	201	251	301	351
0	TrialState.COMPLETE	0.0002655807365439094	2020-01-04 23:47:58.033438	2020-01-05 00:05:30.715953	150.0	11.0	0.0021052861225653425	1700.0	1.0003578090994902	0.0	0.0002655807365439094	0.0	0.0	20280.444537889518	0.00022140980775732562	0.0	0.0002655807365439094	0.0	0.0	20280.426478399433	0.00022141021403558267	0.0	0.0002655807365439094	0.0	0.0	20280.462597379603	0.00022140940184894674	0	0.00017705382436260624	0.00023607176581680832				
1	TrialState.COMPLETE	0.0	2020-01-05 00:05:30.716938	2020-01-05 00:40:58.590077	350.0	91.0	0.0720488063686024	1700.0	0.9874303759941633	0.0	0.0	0.0	0.0	20018.34149256374	0.0001813934810349622	0.0	0.0	0.0	0.0	20018.313473796035	0.00018139379007404348	0.0	0.0	0.0	0.0	20018.369511331446	0.00018139317215568398	1	0.0	0.0				
2	TrialState.COMPLETE	0.00017705382436260624	2020-01-05 00:40:58.590994	2020-01-05 01:00:37.392639	150.0	41.0	0.017124708462548047	1200.0	0.9830239364157858	0.0	0.00017705382436260624	0.0	0.0	19929.12898371105	0.00019933178166603726	0.0	0.00017705382436260624	0.0	0.0	19929.1111898017	0.00019933196274481897	0.0	0.00017705382436260624	0.0	0.0	19929.146777620397	0.00019933160065115446	2	0.00017705382436260624	0.00017705382436260624				
3	TrialState.COMPLETE	0.0	2020-01-05 01:00:37.393546	2020-01-05 01:22:52.060270	250.0	11.0	0.005805502721297542	1000.0	0.9967562619784504	0.0	0.0	0.0	0.0	20207.378319759206	0.0002113981890200348	0.0	0.0	0.0	0.0	20207.35357648725	0.00021139868998448967	0.0	0.0	0.0	0.0	20207.40306303116	0.00021139768870647696	3	0.0	0.0				
4	TrialState.COMPLETE	0.0	2020-01-05 01:22:52.061007	2020-01-05 01:59:56.048841	450.0	51.0	0.017018975154681554	1300.0	1.000130478873291	0.0	0.0	0.0	0.0	20275.951797096317	0.0002451023704671798	0.0	0.0	0.0	0.0	20275.918909348442	0.00024510271611846	0.0	0.0	0.0	0.0	20275.984684844192	0.0002451020249467866	4	0.0	0.0				
5	TrialState.COMPLETE	0.0	2020-01-05 01:59:56.049563	2020-01-05 02:20:32.482929	150.0	81.0	0.00135315411440439	500.0	0.9919290770141315	0.0	0.0	0.0	0.0	20109.354882259206	0.00020931462900511302	0.0	0.0	0.0	0.0	20109.335561260625	0.0002093151879379075	0.0	0.0	0.0	0.0	20109.37420325779	0.00020931407061675032	5	0.0	0.0				
6	TrialState.COMPLETE	0.0010623229461756375	2020-01-05 02:20:32.483823	2020-01-05 02:40:10.064802	150.0	41.0	0.001253552809379711	1300.0	0.9935438344890635	0.0003541076487252125	0.0010623229461756375	0.0010623229461756375	0.0010623229461756375	20142.61707684136	0.0008207534313418429	0.0003541076487252125	0.0010623229461756375	0.0010623229461756375	0.0010623229461756375	20142.598973087817	0.0008207538384882526	0.0003541076487252125	0.0010623229461756375	0.0010623229461756375	0.0010623229461756375	20142.6351805949	0.0008207530248252098	6	0.0010623229461756375	0.0010623229461756375				
7	TrialState.COMPLETE	0.0	2020-01-05 02:40:10.065545	2020-01-05 03:07:46.317288	250.0	91.0	0.0025147336818771167	1200.0	0.9956304085600758	0.0	0.0	0.0	0.0	20184.81829851275	0.00019985419539505245	0.0	0.0	0.0	0.0	20184.793953611897	0.00019985458544626814	0.0	0.0	0.0	0.0	20184.842643413598	0.00019985380579276986	7	0.0	0.0				
8	TrialState.COMPLETE	0.00017705382436260624	2020-01-05 03:07:46.318021	2020-01-05 03:41:11.670035	450.0	21.0	0.007766445841445527	1200.0	0.9962899913289298	0.0	0.00017705382436260624	8.852691218130312e-05	0.00017705382436260624	20198.23278151558	0.0002642435825229413	0.0	0.00017705382436260624	8.852691218130312e-05	0.00017705382436260624	20198.20086756374	0.00026424439548462553	0.0	0.00017705382436260624	8.852691218130312e-05	0.00017705382436260624	20198.264695467424	0.00026424277062269845	8	0.00017705382436260624	0.00017705382436260624				
