number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	101	151	351	401	701	751	801	851	1151	1201	1351	1401
0	TrialState.COMPLETE	0.041005665722379604	2019-12-30 13:56:38.892902	2019-12-30 14:41:51.595075	100.0	61.0	0.03649781791103767	600.0	0.46861604056139855	0.002337110481586402	0.041005665722379604	0.011260623229461756	0.02209631728045326	9498.929762747875	0.014649929966771629	0.3889518413597734	0.39525495750708217	0.39072237960339945	0.3923158640226629	8625.593732294617	0.3915745973299163	0.002337110481586402	0.027195467422096317	0.007188385269121813	0.012854107648725212	10372.265793201133	0.01056560651352016	0	0.0682247403210576	0.05121281869688385										
1	TrialState.COMPLETE	0.4030770090949754	2019-12-30 14:41:51.596103	2019-12-30 19:53:54.711283	200.0	31.0	0.007412269531659995	900.0	0.21941611217466347	0.3464943342776204	0.4030770090949754	0.3785224392425824	0.3878596988221261	4447.471298643209	0.3687544110407574	0.3465036528999553	0.4030956463396451	0.37861562546593114	0.38793424780080515	4447.470199045773	0.36878460461816265	0.3464943342776204	0.40302109736096614	0.3785224392425824	0.38782242433278663	4447.472398240644	0.3687444362946745	1							0.40219338443592734	0.40265974189486936				
2	TrialState.COMPLETE	0.4540368271954674	2019-12-30 19:53:54.712212	2019-12-31 02:30:32.032763	100.0	21.0	0.0025022770229027923	1500.0	0.21222428160535714	0.37927289896128424	0.4540368271954674	0.41996576959395654	0.4337582625118036	4301.607749055713	0.4070479202148183	0.37927289896128424	0.4540368271954674	0.41996576959395654	0.4337582625118036	4301.607158876298	0.4070479222712898	0.37927289896128424	0.4540368271954674	0.41996576959395654	0.4337582625118036	4301.6083392351275	0.40704791821010394	2											0.4520816471064346	0.4530929471524861
3	TrialState.COMPLETE	0.370781953007832	2019-12-31 02:30:32.033503	2019-12-31 05:53:42.199282	50.0	91.0	0.02292590784534411	1000.0	0.3029218160012272	0.15307865355774036	0.370781953007832	0.3055636560573238	0.3461193967672055	6140.159999375104	0.24714644946288908	0.3192905349108482	0.37189635060823195	0.34599441759706717	0.35784660889851694	6139.869511331445	0.337713066460969	0.15307865355774036	0.3629707548741876	0.26646600566572237	0.31741584735877354	6140.450487418763	0.2232434002650123	3					0.370337582625118	0.37057365439093487						
4	TrialState.COMPLETE	0.3166961756373938	2019-12-31 05:53:42.200197	2019-12-31 07:41:07.525502	50.0	31.0	0.02527497759569697	1100.0	0.28656613327503766	0.08109065155807366	0.3166961756373938	0.17147662889518414	0.2329143059490085	5808.738845609065	0.1551901401359437	0.2942811614730878	0.3605347025495751	0.3387039660056657	0.35042492917847023	5807.392103399434	0.3205554624905305	0.08109065155807366	0.2559844192634561	0.14380311614730878	0.18271954674220964	5810.085587818697	0.13480914666816504	4			0.33133410056657225	0.32320192005036197								
5	TrialState.COMPLETE	0.4475920679886686	2019-12-31 07:41:07.526388	2019-12-31 15:18:36.197683	200.0	81.0	0.0015157248296469566	1600.0	0.21335096512211132	0.3701786881673567	0.4475920679886686	0.4112347461320549	0.42689039006319457	4324.708821366311	0.3987834374253171	0.3701786881673567	0.4475920679886686	0.4112347461320549	0.42689039006319457	4324.7081335803005	0.3987834438720451	0.3701786881673567	0.4475920679886686	0.4112347461320549	0.42689039006319457	4324.709509152321	0.39878343124172816	5									0.4458805476864967	0.44677053824362606		
