number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	351	401	701	751	1051	1101	1251	1301
0	TrialState.COMPLETE	0.15237120973664883	2019-12-30 13:56:43.415319	2019-12-30 18:15:57.051962	2.2248862191247305	150.0	46.0	0.0035442449427643807	1300.0	0.2756115689253354	0.05096527122022873	0.15237120973664883	0.09181224425558702	0.11536696044486412	5586.882836271116	0.08545025360791286	0.05096527122022873	0.15237120973664883	0.09181224425558702	0.11536696044486412	5586.881990347288	0.08545025370034612	0.05096527122022873	0.15237120973664883	0.09181224425558702	0.11536696044486412	5586.883682194943	0.08545025351564552	0												
1	TrialState.COMPLETE	0.14157496186533014	2019-12-30 18:15:57.052805	2019-12-30 20:34:19.576376	3.3403028492105484	200.0	26.0	0.004963982049320786	600.0	0.265886276023734	0.04431793419045544	0.14157496186533014	0.08159457398125954	0.10431194159947701	5389.33538761168	0.07691581944890725	0.04431793419045544	0.14157496186533014	0.08159457398125954	0.10431194159947701	5389.33472706472	0.07691581950435798	0.04431793419045544	0.14157496186533014	0.08159457398125954	0.10431194159947701	5389.336048158641	0.07691581939352107	1												
2	TrialState.COMPLETE	0.06991543076153975	2019-12-30 20:34:19.577144	2019-12-30 23:32:07.943480	0.6866633293567885	200.0	31.0	0.015446281127828813	1300.0	0.2793419202606782	0.013101983002832862	0.06991543076153975	0.030380353274454257	0.044253041159806696	5662.520913181136	0.03364040087092161	0.013101983002832862	0.06991543076153975	0.030380353274454257	0.044253041159806696	5662.4204611731375	0.03364041478956031	0.013101983002832862	0.06991543076153975	0.030380353274454257	0.044253041159806696	5662.621365189135	0.03364039041926243	2							0.06903918791312559	0.0695046919263456				
3	TrialState.COMPLETE	0.24243727235936868	2019-12-30 23:32:07.944486	2019-12-31 02:45:02.503410	1.3074997818963074	50.0	46.0	0.018358314309119047	1800.0	0.24427855076972405	0.08523876972885472	0.24243727235936868	0.15668631121003643	0.19259029745042494	4951.760221696682	0.138714587448754	0.0921122521246459	0.24244991906110885	0.15750834682314852	0.19276735127478753	4951.751663041279	0.1418694793250848	0.08523876972885472	0.24234874544718737	0.15563663496560098	0.1919769324160259	4951.768780352084	0.13762835561013032	3											0.24283612987578992	0.2426293148672752
4	TrialState.COMPLETE	0.004426345609065156	2019-12-31 02:45:02.504227	2019-12-31 03:01:21.146341	2.3861403975730946	100.0	6.0	0.06943003525183748	1800.0	0.46867838367222237	0.0004868980169971671	0.004426345609065156	0.0011951133144475921	0.0015492209631728046	9500.66598796034	0.002262974927006904	0.43865084985835695	0.44869865439093487	0.44312145892351273	0.4445378895184136	5575.06453611898	0.44279807137016575	0.0004868980169971671	0.004426345609065156	0.0011951133144475921	0.0015492209631728046	13426.267439801699	0.0022075505431903408	4	0.008852691218130312	0.005901794145420208										
5	TrialState.COMPLETE	0.023253068932955617	2019-12-31 03:01:21.147328	2019-12-31 03:35:07.209983	4.397706486142205	100.0	16.0	0.0017971098585228041	600.0	0.4416763032381605	0.00424929178470255	0.023253068932955617	0.010977337110481586	0.015138101983002833	8953.258852691219	0.011614023330478666	0.00424929178470255	0.023253068932955617	0.010977337110481586	0.015138101983002833	8953.257613314448	0.011614023422267881	0.00424929178470255	0.023253068932955617	0.010977337110481586	0.015138101983002833	8953.260092067989	0.011614023238835145	5			0.021423512747875354	0.022521246458923512								
6	TrialState.COMPLETE	0.08737606232294617	2019-12-31 03:35:07.210861	2019-12-31 04:43:16.330676	6.845409496212748	100.0	36.0	0.05698707854688988	800.0	0.23626146385283156	0.014111189801699717	0.08737606232294617	0.034968130311614734	0.05223087818696884	4789.25189447592	0.04035778191550306	0.047078611898017	0.1281515580736544	0.08078966005665722	0.09938031161473088	4787.949008498584	0.07656938684558862	0.014111189801699717	0.07843484419263456	0.03282577903682719	0.04799929178470255	4790.554780453258	0.03781386751589862	6					0.08761951133144476	0.08748426188227888						
7	TrialState.COMPLETE	0.18753848996181796	2019-12-31 04:43:16.331443	2019-12-31 07:40:47.323010	9.205415102977955	100.0	26.0	0.005236902112366969	1100.0	0.24636132658039034	0.06596409656361621	0.18753848996181796	0.11654760438477645	0.14489931025988423	4993.9757128340925	0.10680492800055125	0.06596409656361621	0.18753848996181796	0.11654760438477645	0.14489931025988423	4993.975112390688	0.1068049280858827	0.06596409656361621	0.18753848996181796	0.11654760438477645	0.14489931025988423	4993.976313277497	0.1068049279153707	7												
8	TrialState.COMPLETE	0.023341595845136922	2019-12-31 07:40:47.323933	2019-12-31 08:10:39.436543	6.345759522330321	100.0	6.0	0.06758478079847398	800.0	0.3498916972400577	0.004219782813975449	0.023341595845136922	0.009826487252124646	0.014164305949008499	7092.482029036827	0.01177693433835248	0.009413361661945232	0.03331562795089707	0.01761685552407932	0.0227219074598678	6814.074628186969	0.01858983408943891	0.004219782813975449	0.023341595845136922	0.009826487252124646	0.014164305949008499	7370.889429886685	0.011774995958379044	8			0.02642528328611898	0.024575070821529744								
9	TrialState.COMPLETE	0.08898594061483579	2019-12-31 08:10:39.437305	2019-12-31 11:44:31.940423	7.97691167015625	150.0	1.0	0.0073307844930083285	1300.0	0.26297585415476965	0.019587399013744622	0.08898594061483579	0.04359458608750393	0.06023108802853845	5330.417856861819	0.044058538444501166	0.019600514111845557	0.08898594061483579	0.0436011436365544	0.06023108802853845	5330.41740111216	0.044065157215543466	0.019587399013744622	0.08898594061483579	0.04359458608750393	0.06023108802853845	5330.4183126114785	0.04405553165805444	9												
10	TrialState.COMPLETE	0.02471671388101983	2019-12-31 11:44:31.941588	2019-12-31 12:06:41.388870	6.12676927283859	100.0	1.0	0.03534290399470155	1800.0	0.3817501616484932	0.003718130311614731	0.02471671388101983	0.009702549575070822	0.014730878186968839	7738.026646600567	0.011423196173220527	0.003718130311614731	0.024787535410764873	0.009702549575070822	0.014730878186968839	7731.782400849858	0.011430546265983254	0.003718130311614731	0.02471671388101983	0.009702549575070822	0.014730878186968839	7744.270892351275	0.011423054745669391	10		0.02160056657223796	0.023548158640226628									
11	TrialState.COMPLETE	0.20332418555240794	2019-12-31 12:06:41.389620	2019-12-31 15:08:55.116408	9.87921869770734	100.0	41.0	0.03404606960936174	1200.0	0.2211196160643018	0.06365084985835694	0.20332418555240794	0.12184991737488196	0.15462700661000944	4481.99326088881	0.1104024364991137	0.06491973559962229	0.2033610717658168	0.12198270774315392	0.15472291076487252	4481.99078582389	0.11096107467214629	0.06365084985835694	0.20326516761095373	0.12175401322001889	0.15457536591123702	4481.99573595373	0.11020405100492711	11									0.20223570692763326	0.20280360881882006		
