model	best_trial_evaluation	best_trial_number	git_hash	version	dataset	dataset_kwargs.create_inverse_triples	evaluation_kwargs.batch_size	evaluator	evaluator_kwargs.filtered	loss	loss_kwargs.margin	metric	model_kwargs.embedding_dim	negative_sampler	negative_sampler_kwargs.num_negs_per_pos	optimizer	optimizer_kwargs.lr	optimizer_kwargs.weight_decay	regularizer	training_kwargs.batch_size	training_kwargs.label_smoothing	training_kwargs.num_epochs	training_kwargs.sub_batch_size	training_loop	loss_kwargs.adversarial_temperature	early_stopping_kwargs.delta	early_stopping_kwargs.frequency	early_stopping_kwargs.patience	early_stopping_kwargs.evaluation_batch_size	model_kwargs.num_slices	model_kwargs.relation_dim	model_kwargs.scoring_fct_norm	model_kwargs.c_max	model_kwargs.c_min	regularizer_kwargs.dim	regularizer_kwargs.normalize	regularizer_kwargs.p	regularizer_kwargs.weight
rotate	0.4774620563733881	1	d50cd48b	0.0.1-dev	fb15k237	False	1	rankbased	True	nssa	24.02903407002484	hits@10	150.0	basic	40.0	adam	0.0021113325264497714	0.0	no	256	0.0	2000.0	64.0	owa	0.9154555852207423													
transe	0.41082011487694475	33	31cfbd84	0.0.1-dev	fb15k237	False	32	rankbased	True	nssa	19.42598889763555	hits@10	350.0	basic	40.0	adam	0.0011952645281315985	0.0	no	256	0.0	700.0		owa	0.8717911745856356	0.002	50.0	2.0	32.0			1.0						
distmult	0.37892274335273307	18	31cfbd84	0.0.1-dev	fb15k237	False	16	rankbased	True	marginranking	6.558970732095915	hits@10	450.0	basic	31.0	adam	0.0010985367235812659	0.0	no	256	0.0	500.0		owa		0.002	50.0	2.0	16.0									
kg2e	0.37729658792650916	1	d50cd48b	0.0.1-dev	fb15k237	False	1	rankbased	True	softplus		hits@10	250.0	basic	81.0	adam	0.001216560558121156	0.0	no	256	0.0	1100.0		owa									6.08780267131061	0.024095627090932763				
ermlp	0.3549583475978546	0	d50cd48b	0.0.1-dev	fb15k237	True	1	rankbased	True	softplus		hits@10	100.0	basic	11.0	adam	0.0022037081091382245	0.0	no	256	0.0	500.0	64.0	owa														
complex	0.3547586442998973	0	d50cd48b	0.0.1-dev	fb15k237	False	16	rankbased	True	bceaftersigmoid		hits@10	450.0	basic	11.0	adam	0.011790808088295619	0.0	powersum	256	0.0	1000.0	64.0	owa											0.0	False	2.0	0.0007545905667576717
hole	0.3537601278101107	9	d50cd48b	0.0.1-dev	fb15k237	False	16	rankbased	True	bceaftersigmoid		hits@10	250.0	basic	31.0	adam	0.0012203695480981086	0.0	no	256	0.0	500.0		owa														
transr	0.34554376355129524	0	d50cd48b	0.0.1-dev	fb15k237	False	1	rankbased	True	softplus		hits@10	150.0	basic	1.0	adadelta	0.04460507777864295	0.0	no	256	0.0	800.0	64.0	owa							100.0	1.0						
transd	0.307229259386055	1	d50cd48b	0.0.1-dev	fb15k237	True	1	rankbased	True	marginranking	1.7609072757652413	hits@10	250.0	basic	31.0	adam	0.001858028004017954	0.0	no	256	0.0	700.0	128.0	owa							450.0							
simple	0.2654627410704097	1	d50cd48b	0.0.1-dev	fb15k237	True	1	rankbased	True	marginranking	5.502446371322168	hits@10	50.0	basic	36.0	adam	0.03446218182360572	0.0	no	256	0.0	1200.0		owa														
um	0.09585758301951386	3	d50cd48b	0.0.1-dev	fb15k237	True	16	rankbased	True	softplus		hits@10	350.0	basic	31.0	adadelta	0.006013651766621374	0.0	no	256	0.0	1600.0		owa								1.0						
