number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	model.relation_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101
0	TrialState.COMPLETE	0.0010180594900849858	2020-01-10 17:05:37.248828	2020-01-10 18:23:23.783093	0.7755054336407569	24.776948088150608	50.0	200.0	2	80.0	0.004082538083438002	900.0	1.0301587030860466	0.000708215297450425	0.0010180594900849858	0.000708215297450425	0.000708215297450425	20884.957374291786	0.0009500824119189038	0.000708215297450425	0.0010180594900849858	0.000708215297450425	0.000708215297450425	20884.948300283286	0.0009500825934355634	0.000708215297450425	0.0010180594900849858	0.000708215297450425	0.000708215297450425	20884.96644830028	0.000950082230626051	0	0.0009737960339943342	0.0010033050047214354
1	TrialState.COMPLETE	0.0009737960339943342	2020-01-10 18:23:23.784216	2020-01-10 20:11:37.322156	0.8775826837910988	1.4239118136183306	150.0	50.0	1	160.0	0.001437498195146698	600.0	0.9967196893388108	0.000708215297450425	0.0009737960339943342	0.0007524787535410764	0.0007524787535410764	20206.57336667847	0.0009828066624335647	0.000708215297450425	0.0009737960339943342	0.0007524787535410764	0.0007524787535410764	20206.56568696884	0.00098280676626884	0.000708215297450425	0.0009737960339943342	0.0007524787535410764	0.0007524787535410764	20206.581046388103	0.000982806558646002	1	0.0010623229461756375	0.0010033050047214354
2	TrialState.COMPLETE	0.0008852691218130312	2020-01-10 20:11:37.323144	2020-01-10 22:12:43.873026	0.5102578594217371	17.49249031316319	200.0	100.0	2	80.0	0.0016246307703319002	800.0	1.0122090021368202	0.000708215297450425	0.0008852691218130312	0.000796742209631728	0.0008852691218130312	20520.68862871813	0.0009355992441739907	0.000708215297450425	0.0008852691218130312	0.000796742209631728	0.0008852691218130312	20520.677894830027	0.0009355994555176587	0.000708215297450425	0.0008852691218130312	0.000796742209631728	0.0008852691218130312	20520.699362606232	0.0009355990331102853	2	0.0008852691218130312	0.0008852691218130312
3	TrialState.COMPLETE	0.0007524787535410764	2020-01-10 22:12:43.873985	2020-01-10 23:55:01.108953	0.5690724895549125	18.75098437631649	100.0	100.0	2	130.0	0.006956289150275138	700.0	1.0116886148387019	0.000708215297450425	0.0007524787535410764	0.000708215297450425	0.000708215297450425	20510.268944759206	0.0009170370214484928	0.000708215297450425	0.0007524787535410764	0.000708215297450425	0.000708215297450425	20510.25995927762	0.0009170371137093545	0.000708215297450425	0.0007524787535410764	0.000708215297450425	0.000708215297450425	20510.277930240794	0.000917036929222778	3	0.000796742209631728	0.000767233238904627
4	TrialState.COMPLETE	0.0008410056657223796	2020-01-10 23:55:01.110129	2020-01-11 01:04:58.453669	0.9438436355540464	10.91313587774849	200.0	100.0	2	30.0	0.06283791013038595	600.0	1.0760380698715801	0.000708215297450425	0.0008410056657223796	0.000708215297450425	0.000708215297450425	21815.729151912183	0.000961380274901734	0.000708215297450425	0.0008410056657223796	0.000708215297450425	0.000708215297450425	21815.72012216714	0.0009613804207206713	0.000708215297450425	0.0008410056657223796	0.000708215297450425	0.000708215297450425	21815.738181657223	0.0009613801292181877	4	0.000796742209631728	0.0008262511803588291
5	TrialState.COMPLETE	0.0008852691218130312	2020-01-11 01:04:58.455178	2020-01-11 03:45:10.211865	0.1707316539734985	3.749127425476574	200.0	50.0	2	190.0	0.02152942517382838	800.0	0.9901249745599534	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.0007524787535410764	20072.48207330028	0.0009297630374646299	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.0007524787535410764	20072.474105878187	0.0009297631011238273	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.0007524787535410764	20072.49004072238	0.0009297629738209438	5	0.0008852691218130312	0.0008852691218130312
6	TrialState.COMPLETE	0.001903328611898017	2020-01-11 03:45:10.212687	2020-01-11 04:38:34.355183	0.9273221004389549	1.0706239521370722	50.0	50.0	2	110.0	0.030124622220361788	700.0	0.9333861580886668	0.000708215297450425	0.001903328611898017	0.0009295325779036828	0.0013279036827195468	18922.558317103398	0.001237602867329971	0.000708215297450425	0.001903328611898017	0.0009295325779036828	0.0013279036827195468	18922.55196529745	0.001237602920051765	0.000708215297450425	0.001903328611898017	0.0009295325779036828	0.0013279036827195468	18922.56466890935	0.0012376028146175988	6	0.0013279036827195468	0.0017115203021718602
7	TrialState.COMPLETE	0.0009295325779036828	2020-01-11 04:38:34.356034	2020-01-11 08:05:11.507311	0.35611957583138465	14.335398578566831	100.0	200.0	2	160.0	0.0073720892818	700.0	1.0291246959363547	0.000708215297450425	0.0009295325779036828	0.000708215297450425	0.0008852691218130312	20864.204696352692	0.0009495829799753745	0.000708215297450425	0.0009295325779036828	0.000708215297450425	0.0008852691218130312	20864.19316572238	0.0009495831676476284	0.000708215297450425	0.0009295325779036828	0.000708215297450425	0.0008852691218130312	20864.216226983004	0.0009495827924416183	7	0.0009737960339943342	0.0009442870632672333
8	TrialState.COMPLETE	0.0008410056657223796	2020-01-11 08:05:11.508401	2020-01-11 09:04:46.335995	0.9156383105197593	18.182053565797194	150.0	100.0	2	30.0	0.010067073524186532	900.0	1.0495251347996273	0.000708215297450425	0.0008410056657223796	0.000708215297450425	0.000708215297450425	21277.95480701133	0.0009358753029727431	0.000708215297450425	0.0008410056657223796	0.000708215297450425	0.000708215297450425	21277.945113314447	0.0009358754369821251	0.000708215297450425	0.0008410056657223796	0.000708215297450425	0.000708215297450425	21277.964500708214	0.0009358751690729123	8	0.000796742209631728	0.0008262511803588291
