number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.relation_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.0010623229461756375	2020-05-05 15:55:57.050097	2020-05-05 16:16:54.799466	7.213207864221595	128	128	2	24	0.05197918839164887	512	0.8574252624083804	0.00017705382436260624	0.0010623229461756375	0.000708215297450425	0.000708215297450425	17383.261597025496	0.0007442485717978092	0.00017705382436260624	0.0010623229461756375	0.000708215297450425	0.000708215297450425	17383.245396600567	0.0007442486766551144	3358420170	150	0.00017705382436260624	0.0010623229461756375	0.000708215297450425	0.000708215297450425	17383.277797450424	0.0007442484669744564	0	COMPLETE
1	0.000708215297450425	2020-05-05 16:16:54.846485	2020-05-05 16:44:15.747984	5.069481219902079	64	128	2	28	0.0048563096982179865	256	0.6871249215613865	0.0	0.000708215297450425	0.0005311614730878187	0.0005311614730878187	13929.69644121813	0.0010480042588639849	0.0	0.000708215297450425	0.0005311614730878187	0.0005311614730878187	13929.690155807366	0.0010480042886740596	3187474707	150	0.0	0.000708215297450425	0.0005311614730878187	0.0005311614730878187	13929.702726628895	0.0010480042290615544	1	COMPLETE
2	0.000708215297450425	2020-05-05 16:44:15.789931	2020-05-05 18:20:56.505022	9.168406111326709	256	128	1	75	0.01327383107367225	128	0.8505481831116045	0.00017705382436260624	0.000708215297450425	0.0003541076487252125	0.0005311614730878187	17243.703523371103	0.0006226805396700365	0.00017705382436260624	0.000708215297450425	0.0003541076487252125	0.0005311614730878187	17243.48866855524	0.0006228105975677942	2707763332	150	0.00017705382436260624	0.000708215297450425	0.0003541076487252125	0.0005311614730878187	17243.91837818697	0.0006225539981200251	2	COMPLETE
3	0.0010623229461756375	2020-05-05 18:20:56.544254	2020-05-05 19:26:51.997849	8.014870192513056	256	64	2	54	0.00112871830250763	128	0.7663043599993355	0.0	0.0010623229461756375	0.0003541076487252125	0.0008852691218130312	15535.721848441926	0.0011365120591932216	0.0	0.0010623229461756375	0.0003541076487252125	0.0008852691218130312	15535.643590651558	0.0011365341125072154	3353290845	150	0.0	0.0010623229461756375	0.0003541076487252125	0.0008852691218130312	15535.800106232295	0.0011364903082037208	3	COMPLETE
4	0.005488668555240793	2020-05-05 19:26:52.034744	2020-05-05 20:19:42.345944	0.8413379002424539	64	64	1	51	0.04196993667795902	128	0.7931772317402014	0.0008852691218130312	0.005488668555240793	0.002124645892351275	0.0035410764872521247	16080.19316572238	0.0030825857037192674	0.0008852691218130312	0.005488668555240793	0.002124645892351275	0.0035410764872521247	16080.18873937677	0.003082585741450969	3491589535	150	0.0008852691218130312	0.005488668555240793	0.002124645892351275	0.0035410764872521247	16080.197592067989	0.003082585665995649	4	COMPLETE
5	0.0003541076487252125	2020-05-05 20:19:42.407790	2020-05-05 21:51:10.247266	8.895612075153608	256	256	2	39	0.009833557690384314	128	0.8447759097876646	0.0	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	17126.444936260625	0.00039325421161757356	0.0	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	17126.244688385268	0.0003932696552131838	493313123	150	0.0	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	17126.645184135978	0.0003932388591240448	5	COMPLETE
6	0.0	2020-05-05 21:51:10.289173	2020-05-05 22:49:33.555944	9.70172043975819	256	128	2	27	0.016622939543829377	128	0.8977178188803118	0.0	0.0	0.0	0.0	18199.763987252125	0.0002926184593114385	0.0	0.0	0.0	0.0	18199.687322946174	0.00029262376806279744	2537233411	150	0.0	0.0	0.0	0.0	18199.840651558072	0.00029261317088799554	6	COMPLETE
7	0.0010623229461756375	2020-05-05 22:49:33.596047	2020-05-05 23:25:29.107161	7.551072102013807	64	128	2	65	0.0015550401053560149	256	0.8139730455451281	0.0	0.0010623229461756375	0.00017705382436260624	0.00017705382436260624	16501.716979461755	0.0009941715314212493	0.0	0.0010623229461756375	0.00017705382436260624	0.00017705382436260624	16501.70697592068	0.0009941715947960374	4261903855	150	0.0	0.0010623229461756375	0.00017705382436260624	0.00017705382436260624	16501.726983002834	0.0009941714680554226	7	COMPLETE
8	0.0010623229461756375	2020-05-05 23:25:29.143288	2020-05-06 00:06:56.078047	8.101966757910697	64	128	1	90	0.031231010936704637	256	0.8370640423813833	0.00017705382436260624	0.0010623229461756375	0.00017705382436260624	0.0003541076487252125	16970.768856232295	0.0006247949554535359	0.00017705382436260624	0.0010623229461756375	0.00017705382436260624	0.0003541076487252125	16970.611898016996	0.0006248016397664357	3722209381	150	0.00017705382436260624	0.0010623229461756375	0.00017705382436260624	0.0003541076487252125	16970.925814447593	0.0006247882935639953	8	COMPLETE
9	0.0005311614730878187	2020-05-06 00:06:56.120234	2020-05-06 00:35:34.549649	9.155620347084636	256	128	2	10	0.005657088227986939	256	0.7752840247115745	0.00017705382436260624	0.0005311614730878187	0.00017705382436260624	0.0003541076487252125	15717.56294263456	0.0005796010871754948	0.00017705382436260624	0.0005311614730878187	0.00017705382436260624	0.0003541076487252125	15717.511331444759	0.0005796036052302357	100297812	150	0.00017705382436260624	0.0005311614730878187	0.00017705382436260624	0.0003541076487252125	15717.614553824362	0.0005795985911938578	9	COMPLETE
