number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.1620734908136483	2020-02-29 16:58:02.456899	2020-02-29 17:30:53.327926	64	1	0.07096088173636696	512	0.07840261278723511	0.4650612305869037	0.05845600821636426	0.1620734908136483	0.09871048727604702	0.12247517973296816	3273.444924683328	0.09364126020249232	0.05845600821636426	0.1620734908136483	0.09871048727604702	0.12247517973296816	3273.4395184297614	0.09364126616302057	2744859854	150	0.05845600821636426	0.1620734908136483	0.09871048727604702	0.12247517973296816	3273.450330936894	0.09364125430458309	0	COMPLETE
1	0.21987333105100992	2020-02-29 17:30:53.374717	2020-02-29 19:08:36.170648	64	2	0.060365580079893	512	0.0014963898714073216	0.12917374035500653	0.06858381832705694	0.21987333105100992	0.1271254136711172	0.1590779413442885	888.6262267488303	0.12090120108719743	0.06861234736962228	0.21987333105100992	0.1271254136711172	0.1590779413442885	888.6248716193085	0.12091159676090227	3409646485	350	0.06858381832705694	0.21987333105100992	0.1271254136711172	0.1590779413442885	888.6275818783522	0.12089572467100927	1	COMPLETE
2	0.23165582563049184	2020-02-29 19:08:36.221830	2020-02-29 21:10:00.199278	256	1	0.003942848225963993	128	0.11141978103187071	0.2027280850238883	0.09714138993495379	0.23165582563049184	0.14980600251055576	0.18278557571607898	1381.9882745635057	0.1426738494166871	0.09714138993495379	0.23165582563049184	0.14980600251055576	0.18278557571607898	1381.987732511697	0.1426738527961132	2418708132	200	0.09714138993495379	0.23165582563049184	0.14980600251055576	0.18278557571607898	1381.9888166153144	0.1426738460809569	2	COMPLETE
3	0.21319753509072237	2020-02-29 21:10:00.245723	2020-02-29 22:02:53.562418	64	2	0.03027875367998259	128	0.03652397551830769	0.16538472861029951	0.0655597398151318	0.21319753509072237	0.1264977747346799	0.15491270112975009	1139.4332990984822	0.11835198376138292	0.0655597398151318	0.21319753509072237	0.12652630377724525	0.15491270112975009	1139.4314161816728	0.1183536111727891	4286483444	200	0.0655597398151318	0.21319753509072237	0.1264977747346799	0.15491270112975009	1139.4351820152915	0.11835071573984007	3	COMPLETE
4	0.25573433755563163	2020-02-29 22:02:53.595766	2020-02-29 22:55:44.747426	64	2	0.002077550018729659	128	0.0016759211853020408	0.08308397859139237	0.08624329567499715	0.25573433755563163	0.1449560652744494	0.19120164327285177	579.6544847654912	0.1406807287743764	0.08624329567499715	0.25573433755563163	0.1449560652744494	0.19120164327285177	579.6531724295332	0.14068086707423072	906520812	200	0.08624329567499715	0.25573433755563163	0.1449560652744494	0.19120164327285177	579.6557971014493	0.14068059613422504	4	COMPLETE
5	0.2333390391418464	2020-02-29 22:55:44.796913	2020-03-01 02:06:21.646695	256	2	0.0033475115643519546	128	0.1225845651729152	0.08592590405333576	0.0749743238616912	0.2333390391418464	0.1280383430332078	0.166609608581536	599.5059197763323	0.12676036726807632	0.0749743238616912	0.2333390391418464	0.1280383430332078	0.16663813762410135	599.5048499372361	0.1267609078083894	3832960407	300	0.0749743238616912	0.2333390391418464	0.1280383430332078	0.166609608581536	599.5069896154286	0.12675991354357422	5	COMPLETE
6	0.0323234052265206	2020-03-01 02:06:21.680194	2020-03-01 04:44:18.913223	256	1	0.02846404042521643	256	0.09551780111282077	0.7587993599393515	0.004792879150975694	0.0323234052265206	0.01549127011297501	0.018486819582334817	5399.122118566701	0.011809497187559822	0.004792879150975694	0.0323234052265206	0.01549127011297501	0.018486819582334817	5399.083932443227	0.011809523159106014	3329008311	250	0.004792879150975694	0.0323234052265206	0.01549127011297501	0.018486819582334817	5399.160304690175	0.011809471436594951	6	COMPLETE
7	0.2437521396781924	2020-03-01 04:44:18.946333	2020-03-01 05:33:31.324204	64	2	0.010471310016691193	512	0.047555146935148805	0.0899245422571411	0.08042337099166952	0.2437521396781924	0.13394385484423144	0.17725094145840464	623.7179904142417	0.1328754538350475	0.08042337099166952	0.2437521396781924	0.13394385484423144	0.17725094145840464	623.7167636654113	0.1328766127436447	1750947044	200	0.08042337099166952	0.2437521396781924	0.13394385484423144	0.17725094145840464	623.719217163072	0.13287449111822042	7	COMPLETE
8	0.12244665069040284	2020-03-01 05:33:31.358602	2020-03-01 06:22:29.631995	128	1	0.032676761529688014	256	0.004797722538422334	0.6213004431692183	0.034919548099965766	0.12244665069040284	0.07794134428848568	0.09445965993381263	4374.086542850622	0.06780090624544194	0.034919548099965766	0.12244665069040284	0.07794134428848568	0.09445965993381263	4374.080965422801	0.06780090719713122	2144713482	150	0.034919548099965766	0.12244665069040284	0.07794134428848568	0.09445965993381263	4374.092120278444	0.06780090529605808	8	COMPLETE
9	0.27171060139221725	2020-03-01 06:22:29.666416	2020-03-01 08:20:01.031721	128	2	0.06623843065377495	256	0.9804448439103293	0.0801688823689536	0.1105500399406596	0.27171060139221725	0.17351363688234622	0.21068697934497319	550.9899720415383	0.16534530553300816	0.1105500399406596	0.27171060139221725	0.17351363688234622	0.21068697934497319	550.9873616341436	0.1653482253262681	3344276208	300	0.1105500399406596	0.27171060139221725	0.17351363688234622	0.21068697934497319	550.992582448933	0.16534333960503728	9	COMPLETE
