number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	451	501	551	601	651	701	851	901
0	TrialState.COMPLETE	0.032607412653446646	2019-12-28 18:21:39.973111	2019-12-28 19:14:43.668437	0.6362778340484311	6.1380609363494125	350.0	2	30.0	0.07092059052938439	1300.0	0.9197270775062336	0.010401912181303116	0.032607412653446646	0.016657813975448535	0.02270715297450425	18644.788678883382	0.01745602280534501	0.010401912181303116	0.032607412653446646	0.016657813975448535	0.02270715297450425	18644.725389518415	0.01745603515806701	0.010401912181303116	0.032607412653446646	0.016657813975448535	0.02270715297450425	18644.85196824835	0.0174560108527792	0				0.031019830028328612	0.031885784187483904						
1	TrialState.COMPLETE	0.0003098441926345609	2019-12-28 19:14:43.669280	2019-12-28 19:28:04.666699	0.39187973267019627	9.091550267477645	450.0	2	80.0	0.003568182301067237	1400.0	1.012007590980512	0.0002213172804532578	0.0003098441926345609	0.0002213172804532578	0.0002213172804532578	20516.993913774786	0.0004312463353074232	0.0002213172804532578	0.0003098441926345609	0.0002213172804532578	0.0002213172804532578	20516.90306303116	0.0004312485882855072	0.0002213172804532578	0.0003098441926345609	0.0002213172804532578	0.0002213172804532578	20517.084764518415	0.0004312440869255865	1	0.0004426345609065156	0.0003541076487252125									
2	TrialState.COMPLETE	0.04122630202658531	2019-12-28 19:28:04.667570	2019-12-28 20:21:53.694304	0.9961776889827312	9.757541097400182	250.0	1	20.0	0.0042805857239782	600.0	0.6990700125484036	0.000708215297450425	0.04122630202658531	0.018577032033122685	0.026108629331008933	14170.574362606232	0.015910404731306286	0.000708215297450425	0.04122630202658531	0.018577032033122685	0.026108629331008933	14170.560497929831	0.015910409004887154	0.000708215297450425	0.04122630202658531	0.018577032033122685	0.026108629331008933	14170.588227282633	0.015910400506850216	2											
3	TrialState.COMPLETE	0.0005311614730878187	2019-12-28 20:21:53.695356	2019-12-28 20:33:25.318541	0.5207660872794198	17.93011354934555	350.0	2	80.0	0.0015691854095860505	900.0	1.0213660149624089	0.0002213172804532578	0.0005311614730878187	0.0002213172804532578	0.0003098441926345609	20706.200026558072	0.0004564147113248771	0.0002213172804532578	0.0005311614730878187	0.0002213172804532578	0.0003098441926345609	20706.132436260625	0.0004564155978314507	0.0002213172804532578	0.0005311614730878187	0.0002213172804532578	0.0003098441926345609	20706.267616855523	0.0004564138253380589	3	0.000708215297450425	0.0005901794145420207									
4	TrialState.COMPLETE	0.0018590651558073655	2019-12-28 20:33:25.319663	2019-12-28 20:41:13.514749	0.4667665750256662	6.587311035206349	50.0	1	60.0	0.045380804808420716	1000.0	0.8471704642743927	0.000708215297450425	0.0018590651558073655	0.0011951133144475921	0.0012836402266288953	17173.86479727337	0.0014405392216066944	0.000708215297450425	0.0018590651558073655	0.0011951133144475921	0.0012836402266288953	17173.859065155808	0.001440539690721101	0.000708215297450425	0.0018590651558073655	0.0011951133144475921	0.0012836402266288953	17173.870529390933	0.0014405387537203191	4	0.0012393767705382436	0.0016525023607176581									
5	TrialState.COMPLETE	0.0017262747875354107	2019-12-28 20:41:13.515781	2019-12-28 20:49:03.917068	0.23144482864982727	6.650535639820827	50.0	2	10.0	0.04389446308567363	1200.0	0.9985555568521464	4.426345609065156e-05	0.0017262747875354107	0.000398371104815864	0.0006639518413597734	20243.74457772663	0.0007245246169561164	4.426345609065156e-05	0.0017262747875354107	0.000398371104815864	0.0006639518413597734	20243.722556657223	0.0007245250950062758	4.426345609065156e-05	0.0017262747875354107	0.000398371104815864	0.0006639518413597734	20243.766598796035	0.0007245241394631964	5	0.0004426345609065156	0.0012983947119924457									
6	TrialState.COMPLETE	0.0007524787535410764	2019-12-28 20:49:03.918110	2019-12-28 20:57:06.983783	0.3041181344224164	12.796181117020971	50.0	1	40.0	0.053798481295825096	2000.0	0.8795344686693702	0.0005311614730878187	0.0007524787535410764	0.0005311614730878187	0.0006196883852691218	17829.991457152973	0.0009005842985917693	0.0005311614730878187	0.0007524787535410764	0.0005311614730878187	0.0006196883852691218	17829.984507790366	0.0009005845238495156	0.0005311614730878187	0.0007524787535410764	0.0005311614730878187	0.0006196883852691218	17829.99840651558	0.0009005840735246681	6	0.0004426345609065156	0.0006491973559962229									
7	TrialState.COMPLETE	0.000398371104815864	2019-12-28 20:57:06.984855	2019-12-28 21:06:33.877118	0.7320948535736156	14.516234608670306	250.0	2	20.0	0.0030835752904444704	600.0	1.0165233208787248	0.0003098441926345609	0.000398371104815864	0.0003541076487252125	0.0003541076487252125	20608.564469723795	0.0005545236715383923	0.0003098441926345609	0.000398371104815864	0.0003541076487252125	0.0003541076487252125	20608.495883498585	0.0005545249153490449	0.0003098441926345609	0.000398371104815864	0.0003541076487252125	0.0003541076487252125	20608.63305594901	0.0005545224285910437	7	0.0006196883852691218	0.00047214353163361664									
8	TrialState.COMPLETE	0.0010180594900849858	2019-12-28 21:06:33.878226	2019-12-28 21:17:32.366955	0.44676058958711584	28.27294801248627	350.0	1	40.0	0.002151035446594618	1300.0	0.9635438059855673	0.000708215297450425	0.0010180594900849858	0.000708215297450425	0.0008852691218130312	19533.742718661473	0.0010291698580079938	0.000708215297450425	0.0010180594900849858	0.000708215297450425	0.0008852691218130312	19533.72702726629	0.0010291701488723774	0.000708215297450425	0.0010180594900849858	0.000708215297450425	0.0008852691218130312	19533.758410056656	0.0010291695673708262	8	0.0009737960339943342	0.0010033050047214354									
