number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	501	551	601
0	TrialState.COMPLETE	0.005391989044847655	2020-01-19 00:41:51.822189	2020-01-19 01:21:27.798238	0.3167468987166749	12.878381918817349	350.0	130.0	0.009575632554167988	800.0	0.4270188376403126	0.0008986648408079424	0.005391989044847655	0.0019732587774354293	0.00293373654380159	3044.1907309140706	0.0036706603408328945	0.0008986648408079424	0.005391989044847655	0.0019732587774354293	0.00293373654380159	3044.0510289474687	0.00367066798340744	0.0008986648408079424	0.005391989044847655	0.0019732587774354293	0.00293373654380159	3044.3304328806726	0.003670652711437691	0			0.004792879150975694	0.00515234508729887								
1	TrialState.COMPLETE	0.086063730524733	2020-01-19 01:21:27.799123	2020-01-19 04:18:40.364894	0.849452875953686	7.8663464248952595	350.0	170.0	0.003168337443957603	800.0	0.1322928154639431	0.011190097401507676	0.086063730524733	0.03033644132079398	0.04774754818051836	932.7371963335146	0.0407720834271295	0.011190097401507676	0.086063730524733	0.03033644132079398	0.04774754818051836	932.7306119983084	0.040772084119700513	0.011190097401507676	0.086063730524733	0.03033644132079398	0.04774754818051836	932.7437806687208	0.040772082740061555	1												
2	TrialState.COMPLETE	0.23980752405949257	2020-01-19 04:18:40.365834	2020-01-19 05:35:59.170508	0.2444300072501899	7.1356075982151275	150.0	10.0	0.0017908717654434322	700.0	0.12316377450988827	0.045142455019209556	0.23980752405949257	0.10935942789759975	0.15697439993913803	869.3576800182586	0.10780224651048952	0.045142455019209556	0.23980752405949257	0.10935942789759975	0.15697439993913803	869.3567613830879	0.10780224704740021	0.045142455019209556	0.23980752405949257	0.10935942789759975	0.15697439993913803	869.3585986534292	0.10780224597906653	2												
3	TrialState.COMPLETE	0.0819082397309032	2020-01-19 05:35:59.171621	2020-01-19 10:10:02.842541	0.23770242944608375	14.03356591376058	450.0	190.0	0.00214494409795315	1000.0	0.1349347545795728	0.010437554001401998	0.0819082397309032	0.027788645984469333	0.04421050629540873	952.1533503964179	0.03867342710791861	0.010437554001401998	0.0819082397309032	0.027788645984469333	0.04421050629540873	952.1493631230878	0.038673429467211286	0.010437554001401998	0.0819082397309032	0.027788645984469333	0.04421050629540873	952.1573376697478	0.0386734248125543	3												
4	TrialState.COMPLETE	0.0016546844687892275	2020-01-19 10:10:02.843421	2020-01-19 10:33:10.912867	0.7984754219248102	26.83286534246615	450.0	130.0	0.09716335511635883	900.0	0.8216863192229984	0.0002781581650119822	0.0016546844687892275	0.0006205066757959603	0.0008630035376012782	5876.802001312336	0.0012823993991667698	0.0002781581650119822	0.0016546844687892275	0.0006205066757959603	0.0008630035376012782	5876.800731769942	0.0012823996009010128	0.0002781581650119822	0.0016546844687892275	0.0006205066757959603	0.0008630035376012782	5876.80327085473	0.0012823991981440169	4	0.0015690973410932329	0.001626155426223896										
5	TrialState.COMPLETE	0.004085358895355472	2020-01-19 10:33:10.913718	2020-01-19 10:51:37.208251	0.8760868320364724	8.391944031187299	350.0	10.0	0.029982419093556558	800.0	0.7477720292219495	0.0026760241926280953	0.004085358895355472	0.0031324888736733994	0.0034120734908136482	5340.490939176081	0.003694344722157448	0.0026760241926280953	0.004085358895355472	0.0031324888736733994	0.0034120734908136482	5340.490374301038	0.0036943447361921095	0.0026760241926280953	0.004085358895355472	0.0031324888736733994	0.0034120734908136482	5340.491504051124	0.0036943447081261324	5		0.003442504469550002	0.0038442884856784206									
6	TrialState.COMPLETE	0.3260698390961999	2020-01-19 10:51:37.209442	2020-01-19 12:25:23.056565	0.6317951696287658	1.383642902317842	250.0	70.0	0.001044029719766665	700.0	0.09569904854882712	0.06792194453954126	0.3260698390961999	0.1636578036441097	0.22790710943740727	671.3956131842216	0.14969945606783489	0.06792194453954126	0.3260698390961999	0.1636578036441097	0.22790710943740727	671.3954277454449	0.14969945689832365	0.06792194453954126	0.3260698390961999	0.1636578036441097	0.22790710943740727	671.3957986229982	0.14969945526053488	6												
7	TrialState.COMPLETE	0.017562478603218076	2020-01-19 12:25:23.057469	2020-01-19 13:45:37.539595	0.2217163139786531	16.337104736604942	450.0	100.0	0.004478171236343476	1000.0	0.2589085863367611	0.002878580394841949	0.017562478603218076	0.006755677279470501	0.009976606185096428	1837.5100222526532	0.010554852410148755	0.002878580394841949	0.017562478603218076	0.006755677279470501	0.009976606185096428	1837.4965137509985	0.010554852921522959	0.002878580394841949	0.017562478603218076	0.006755677279470501	0.009976606185096428	1837.5235307543078	0.010554851899171795	7							0.015683841150290995	0.016727528624139374				
8	TrialState.COMPLETE	0.0007132260641332877	2020-01-19 13:45:37.540453	2020-01-19 14:03:37.021444	0.7541351207336753	25.647909898081252	350.0	100.0	0.012294265679680647	700.0	0.67096772224257	6.41903457719959e-05	0.0007132260641332877	0.00017830651603332193	0.00034948077142531094	4793.326718161588	0.0008933157462483851	6.41903457719959e-05	0.0007132260641332877	0.00017830651603332193	0.00034948077142531094	4793.153514778044	0.0008933285122225445	6.41903457719959e-05	0.0007132260641332877	0.00017830651603332193	0.00034948077142531094	4793.499921545133	0.0008933030050335455	8	0.0007702841492639507	0.0007322454258435086										
9	TrialState.COMPLETE	0.003245178591806459	2020-01-19 14:03:37.022320	2020-01-19 14:20:12.002110	0.8711285504438414	7.394024622218623	350.0	80.0	0.0467773665538695	800.0	0.663235556245583	0.000748887367339952	0.003245178591806459	0.0015477005591692343	0.0020184297614972042	4742.811073547872	0.0022587259279681043	0.000748887367339952	0.003245178591806459	0.0015477005591692343	0.0020184297614972042	4742.810417379893	0.0022587259564265214	0.000748887367339952	0.003245178591806459	0.0015477005591692343	0.0020184297614972042	4742.811729715851	0.002258725899522549	9	0.002325116969074518	0.002938491384229145										
10	TrialState.COMPLETE	0.05008986648408079	2020-01-19 14:20:12.002977	2020-01-19 14:55:41.638191	0.5363007747592349	2.761033850542698	50.0	190.0	0.013628382347432265	1000.0	0.1259935371673598	0.0057878295104416295	0.05008986648408079	0.016083247746205637	0.026039883601506334	890.2968393386968	0.025506429415935356	0.0057878295104416295	0.05008986648408079	0.016083247746205637	0.026039883601506334	890.2967662330252	0.025506429453474328	0.0057878295104416295	0.05008986648408079	0.016083247746205637	0.026039883601506334	890.2969124443683	0.0255064293784714	10					0.04953592757427061	0.04985246409416214						
