number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.relation_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.27850051352276617	2020-03-20 16:44:00.393988	2020-03-20 21:43:07.761354	256	128	0.01092384391389878	512	0.3790804400335497	0.11111718256712926	0.08487390163186123	0.27850051352276617	0.16338582677165353	0.20886112062079196	760.9230714367226	0.14860692868419453	0.08487390163186123	0.27850051352276617	0.16338582677165353	0.20886112062079196	760.9227148236905	0.1486069288379146	814878274	150	0.08487390163186123	0.27850051352276617	0.16338582677165353	0.20886112062079196	760.9234280497546	0.14860692853066787	0	COMPLETE
1	0.030925482140819353	2020-03-20 21:43:07.778671	2020-03-21 14:41:34.350954	128	256	0.03620466149960045	128	0.23136384270541646	0.9286160595660944	0.011868081707177907	0.030925482140819353	0.019285632774164098	0.022110007988131918	6628.984808284834	0.01920719791822615	0.01551979915554034	0.03568983224922972	0.02350793107383316	0.0265320095857583	6570.42337099167	0.02321983376774482	3729628210	250	0.011868081707177907	0.03086842405568869	0.019200045646468104	0.022110007988131918	6687.546245577998	0.01910525780661392	1	COMPLETE
2	0.055546045874700446	2020-03-21 14:41:34.362993	2020-03-21 19:38:32.292123	128	128	0.03016572167301373	128	0.03433899156397703	0.7505601300562469	0.021796188519913273	0.055546045874700446	0.03577541937692571	0.04305032523108524	5351.940402830081	0.03367515349076837	0.021796188519913273	0.055546045874700446	0.03577541937692571	0.04305032523108524	5351.554576058427	0.033675270793843554	1857058858	150	0.021796188519913273	0.055546045874700446	0.03577541937692571	0.04305032523108524	5352.326229601735	0.033675039837296465	2	COMPLETE
