number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.7926029962546817	2020-05-15 12:56:52.408121	2020-05-15 13:09:27.034638	0.5899062320055367	22.005925902514566	256	0.26592005132963153	0.39568950671397557	35	0.2873147608907749	51	128	0.15517608885137077	0.25	0.7926029962546817	0.5196629213483146	0.6451310861423221	7.452247191011236	0.42828671318417655	0.25	0.7926029962546817	0.5196629213483146	0.6451310861423221	7.452247191011236	0.42828671318417655		3112350709.0	250.0	0.25	0.7926029962546817	0.5196629213483146	0.6451310861423221	7.452247191011236	0.42828671318417655	0		COMPLETE
1		2020-05-15 13:09:27.104101	2020-05-15 13:09:28.431476	0.6664543423045117	23.021203721418402	256	0.04826437740227979	0.040035865237932344	49	0.15418938599557364	92	256														The current model can't be trained on this hardware with these parameters.									1	Setting status of trial#1 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
2	0.8689138576779026	2020-05-15 13:09:28.445578	2020-05-15 13:16:41.302186	0.9614498093842125	24.007244068966063	64	0.12437064536804027	0.1404196981846293	50	0.3143948877986882	63	512	0.11431309543567456	0.24672284644194756	0.8689138576779026	0.522003745318352	0.6882022471910112	5.521067415730337	0.43759846320498796	0.24672284644194756	0.8689138576779026	0.522003745318352	0.6882022471910112	5.521067415730337	0.43759846320498796		2090992352.0	350.0	0.24672284644194756	0.8689138576779026	0.522003745318352	0.6882022471910112	5.521067415730337	0.43759846320498796	2		COMPLETE
3	0.9583333333333334	2020-05-15 13:16:41.336724	2020-05-15 13:23:15.996506	0.6929502801290784	2.298242274642453	64	0.07842963249618828	0.3053800889629833	41	0.17542616080148937	7	128	0.07309072788487353	0.38108614232209737	0.9583333333333334	0.7158239700374532	0.8506554307116105	3.527621722846442	0.5765995343739827	0.38108614232209737	0.9583333333333334	0.7158239700374532	0.8506554307116105	3.527621722846442	0.5765995343739827		67925755.0	500.0	0.38108614232209737	0.9583333333333334	0.7158239700374532	0.8506554307116105	3.527621722846442	0.5765995343739827	3		COMPLETE
4	0.7354868913857678	2020-05-15 13:23:16.025502	2020-05-15 13:26:41.284684	0.2655175916048907	14.851802430170432	64	0.409456377854014	0.11100307547904947	35	0.1421528730385957	20	256	0.16876179258398405	0.16385767790262173	0.7354868913857678	0.35346441947565543	0.4934456928838951	8.150280898876405	0.32417828801624043	0.16385767790262173	0.7354868913857678	0.35346441947565543	0.4934456928838951	8.150280898876405	0.32417828801624043		154180909.0	350.0	0.16385767790262173	0.7354868913857678	0.35346441947565543	0.4934456928838951	8.150280898876405	0.32417828801624043	4		COMPLETE
5	0.9325842696629213	2020-05-15 13:26:41.312465	2020-05-15 13:33:16.964419	0.35900925163144193	4.995505300440754	64	0.062038191563375256	0.2603020041305569	39	0.18302665673364688	25	256	0.08723448944183883	0.32209737827715357	0.9325842696629213	0.6526217228464419	0.7883895131086143	4.205056179775281	0.5199969359811736	0.32209737827715357	0.9325842696629213	0.6526217228464419	0.7883895131086143	4.205056179775281	0.5199969359811736		1719801060.0	550.0	0.32209737827715357	0.9325842696629213	0.6526217228464419	0.7883895131086143	4.205056179775281	0.5199969359811736	5		COMPLETE
6	0.9386704119850188	2020-05-15 13:33:17.005595	2020-05-15 13:42:55.518322	0.7082195702966521	4.40799951342069	64	0.3716790736228898	0.29803490602044636	18	0.32766752359168305	60	512	0.08450180003576482	0.3548689138576779	0.9386704119850188	0.6666666666666666	0.8122659176029963	4.093164794007491	0.544393635756303	0.3548689138576779	0.9386704119850188	0.6666666666666666	0.8122659176029963	4.093164794007491	0.544393635756303		1719155089.0	800.0	0.3548689138576779	0.9386704119850188	0.6666666666666666	0.8122659176029963	4.093164794007491	0.544393635756303	6		COMPLETE
7	0.8539325842696629	2020-05-15 13:42:55.556351	2020-05-15 13:45:16.956119	0.9109241799101229	4.566117805762239	256	0.47180946812401303	0.035685858431115824	42	0.001991922194089002	2	512	0.13187262382574574	0.22752808988764045	0.8539325842696629	0.5224719101123596	0.6788389513108615	6.38998127340824	0.4214091533491648	0.22752808988764045	0.8539325842696629	0.5224719101123596	0.6788389513108615	6.38998127340824	0.4214091533491648		2305357091.0	400.0	0.22752808988764045	0.8539325842696629	0.5224719101123596	0.6788389513108615	6.38998127340824	0.4214091533491648	7		COMPLETE
8		2020-05-15 13:45:16.978391	2020-05-15 13:45:17.894755	0.22560423273403768	23.3898341612123	256	0.2588667780592321	0.22143916286012638	41	0.03312512435311432	91	512														The current model can't be trained on this hardware with these parameters.									8	Setting status of trial#8 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
9	0.8534644194756554	2020-05-15 13:45:17.906078	2020-05-15 14:01:00.139439	0.39955883119423374	23.979606079291603	64	0.0021027437975712493	0.3628817589159202	35	0.4341050267374149	83	512	0.11917963867382694	0.24812734082397003	0.8534644194756554	0.5168539325842697	0.6722846441947565	5.74063670411985	0.43112951055612886	0.24812734082397003	0.8534644194756554	0.5168539325842697	0.6722846441947565	5.74063670411985	0.43112951055612886		2337534199.0	700.0	0.24812734082397003	0.8534644194756554	0.5168539325842697	0.6722846441947565	5.74063670411985	0.43112951055612886	9		COMPLETE
10	0.8923220973782772	2020-05-15 14:01:00.166608	2020-05-15 14:05:12.179512	0.5985981404369812	18.04103709163501	64	0.01798191197848731	0.20323131944987255	32	0.2849600309538825	24	512	0.10405916331444033	0.26919475655430714	0.8923220973782772	0.5683520599250936	0.7270599250936329	5.026685393258427	0.4639686932461762	0.26919475655430714	0.8923220973782772	0.5683520599250936	0.7270599250936329	5.026685393258427	0.4639686932461762		2018008814.0	500.0	0.26919475655430714	0.8923220973782772	0.5683520599250936	0.7270599250936329	5.026685393258427	0.4639686932461762	10		COMPLETE
11	0.9316479400749064	2020-05-15 14:05:12.208137	2020-05-15 14:14:03.018637	0.10312785908005251	16.59527304848576	128	0.3627916001298213	0.39587970635315384	17	0.2818816451179968	63	128	0.09172425099233451	0.29119850187265917	0.9316479400749064	0.6184456928838952	0.7635767790262172	4.420880149812734	0.4946926536535505	0.29119850187265917	0.9316479400749064	0.6184456928838952	0.7635767790262172	4.420880149812734	0.4946926536535505		745625145.0	350.0	0.29119850187265917	0.9316479400749064	0.6184456928838952	0.7635767790262172	4.420880149812734	0.4946926536535505	11		COMPLETE
12	0.8904494382022472	2020-05-15 14:14:03.046150	2020-05-15 14:20:19.950598	0.17076097633495863	22.114203118479658	64	0.13538874962004505	0.26950892369478785	31	0.09931539692731628	51	256	0.10719093019474116	0.2443820224719101	0.8904494382022472	0.5589887640449438	0.7130149812734082	5.199906367041199	0.4487747502922629	0.2443820224719101	0.8904494382022472	0.5589887640449438	0.7130149812734082	5.199906367041199	0.4487747502922629		3338262918.0	400.0	0.2443820224719101	0.8904494382022472	0.5589887640449438	0.7130149812734082	5.199906367041199	0.4487747502922629	12		COMPLETE
13	0.5786516853932584	2020-05-15 14:20:19.977069	2020-05-15 14:22:48.908786	0.9275441129838993	6.451662386975385	64	0.451313352413037	0.06983676238520559	25	0.4810386877116662	17	256	0.22785797432040594	0.10580524344569288	0.5786516853932584	0.26779026217228463	0.38108614232209737	10.99250936329588	0.25039906156174446	0.10580524344569288	0.5786516853932584	0.26779026217228463	0.38108614232209737	10.99250936329588	0.25039906156174446		1224271290.0	300.0	0.10580524344569288	0.5786516853932584	0.26779026217228463	0.38108614232209737	10.99250936329588	0.25039906156174446	13		COMPLETE
14	0.5500936329588015	2020-05-15 14:22:48.936074	2020-05-15 14:33:32.715180	0.3226512678274028	29.94404814843638	64	0.4109638918594836	0.41384239655191984	60	0.49822315679660106	3	128	0.25806120720915215	0.11610486891385768	0.5500936329588015	0.27668539325842695	0.37125468164794007	12.377106741573034	0.2539800357715229	0.11610486891385768	0.5500936329588015	0.27668539325842695	0.37125468164794007	12.37687265917603	0.2539930403491342		4048933694.0	900.0	0.11610486891385768	0.5500936329588015	0.27668539325842695	0.37125468164794007	12.377340823970037	0.2539696321094339	14		COMPLETE
15	0.9232209737827716	2020-05-15 14:33:32.737203	2020-05-15 14:37:10.161631	0.5866024021439143	21.262191410082934	128	0.42732323613997814	0.3009402484589055	18	0.2275905820303999	10	256	0.09458602383935105	0.27574906367041196	0.9232209737827716	0.6048689138576779	0.7471910112359551	4.575842696629214	0.479101576778328	0.27574906367041196	0.9232209737827716	0.6048689138576779	0.7471910112359551	4.575842696629214	0.479101576778328		1806825713.0	450.0	0.27574906367041196	0.9232209737827716	0.6048689138576779	0.7471910112359551	4.575842696629214	0.479101576778328	15		COMPLETE
16	0.8553370786516854	2020-05-15 14:37:10.221946	2020-05-15 14:49:11.474724	0.3031139358490733	28.30045487558347	128	0.44570808768183034	0.05731005147585638	62	0.36474104972504695	77	128	0.12785060088976882	0.18773408239700373	0.8553370786516854	0.4517790262172285	0.6132958801498127	6.1835205992509366	0.37877515067717593	0.18773408239700373	0.8553370786516854	0.4517790262172285	0.6132958801498127	6.1835205992509366	0.37877515067717593		643360002.0	250.0	0.18773408239700373	0.8553370786516854	0.4517790262172285	0.6132958801498127	6.1835205992509366	0.37877515067717593	16		COMPLETE
17	0.9049625468164794	2020-05-15 14:49:11.503781	2020-05-15 15:02:14.886738	0.4784860227900256	26.985183547513827	256	0.1860872480414199	0.28073807982498716	17	0.1246881293228368	87	128	0.1000278231518671	0.28651685393258425	0.9049625468164794	0.6264044943820225	0.7626404494382022	4.831460674157303	0.4908393086421819	0.28651685393258425	0.9049625468164794	0.6264044943820225	0.7626404494382022	4.831460674157303	0.4908393086421819		3121037954.0	250.0	0.28651685393258425	0.9049625468164794	0.6264044943820225	0.7626404494382022	4.831460674157303	0.4908393086421819	17		COMPLETE
