number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs
					loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	random_seed	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number
0	TrialState.COMPLETE	0.0014835102133972384	2020-01-22 03:51:36.889934	2020-01-22 07:04:44.776671	2.5295842203455488	50.0	11.0	0.0011678379142639928	600.0	0.998829266376003	0.00022823234052265205	0.0014835102133972384	0.0005135227661759672	0.0008558712769599452	7137.871005934041	0.0010731104216551242	0.00022823234052265205	0.0014835102133972384	0.0005135227661759672	0.0008558712769599452	7137.870906082392	0.0010731104251209846	263448300	0.00022823234052265205	0.0014835102133972384	0.0005135227661759672	0.0008558712769599452	7137.87110578569	0.0010731104181901387	0
1	TrialState.COMPLETE	0.2593289969188634	2020-01-22 07:04:44.777485	2020-01-22 11:41:03.152583	2.0786887858891983	350.0	46.0	0.0214883378043732	700.0	0.07934535181120496	0.07437521396781924	0.2593289969188634	0.14897866027616113	0.19217163072007304	553.6971784776903	0.13706534921210003	0.07437521396781924	0.2593289969188634	0.14897866027616113	0.19217163072007304	553.6971071550839	0.1370653497143801	82573780	0.07437521396781924	0.2593289969188634	0.14897866027616113	0.19217163072007304	553.6972498002967	0.1370653487121234	1
2	TrialState.COMPLETE	0.24951500627638937	2020-01-22 11:41:03.153397	2020-01-22 14:35:10.470296	3.1118293310389236	350.0	26.0	0.030016815573631946	500.0	0.09430655901854898	0.0657309140705238	0.24951500627638937	0.1387082049526418	0.18155882688576971	658.170118680817	0.12746994225084	0.0657309140705238	0.24951500627638937	0.1387082049526418	0.18155882688576971	658.1700330936894	0.12746994230494282	2443205534	0.0657309140705238	0.24951500627638937	0.1387082049526418	0.18155882688576971	658.1702042679448	0.1274699421967854	2
3	TrialState.COMPLETE	0.213340180303549	2020-01-22 14:35:10.471099	2020-01-22 18:40:27.788767	5.281076932784365	450.0	21.0	0.015068064652486267	700.0	0.0996791054213924	0.049298185552892844	0.213340180303549	0.10749743238616911	0.14809425995663586	697.2932357640077	0.10371388392145932	0.049298185552892844	0.213340180303549	0.10749743238616911	0.14809425995663586	697.2932214994864	0.10371388398154259	2096008433	0.049298185552892844	0.213340180303549	0.10749743238616911	0.14809425995663586	697.2932500285291	0.10371388386149914	3
4	TrialState.COMPLETE	0.20846171402487731	2020-01-22 18:40:27.789568	2020-01-23 00:43:24.495813	4.790313179919417	250.0	41.0	0.010160901136548765	1000.0	0.09582420609222832	0.054205180874129864	0.20846171402487731	0.10940887823804633	0.14467077484879606	674.7625813077713	0.10573629168516797	0.054205180874129864	0.20846171402487731	0.10940887823804633	0.14467077484879606	674.7624671916011	0.10573629795071442	3017150458	0.054205180874129864	0.20846171402487731	0.10940887823804633	0.14467077484879606	674.7626954239415	0.10573628553232585	4
5	TrialState.COMPLETE	0.07426109779755792	2020-01-23 00:43:24.496577	2020-01-23 05:34:17.017650	5.501587889470286	350.0	6.0	0.00135696912163717	900.0	0.7495097319309494	0.024534976606185095	0.07426109779755792	0.04305032523108524	0.05625927193883373	5355.449574917266	0.04056812562192697	0.024534976606185095	0.07426109779755792	0.04305032523108524	0.05625927193883373	5355.449475065617	0.040568125639655506	3855976711	0.024534976606185095	0.07426109779755792	0.04305032523108524	0.05625927193883373	5355.4496747689145	0.04056812560421119	5
