number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_regularizer.weight	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.22132831222184182	2020-03-20 17:45:15.785319	2020-03-20 19:55:45.209949	0.7386634416207515	256	1	32	0.00455688233999766	0.07580855055091286	128	0.1734900280866404	0.07500285290425654	0.22132831222184182	0.1295789113317357	0.1674084217733653	1226.4249828825746	0.12199423675901408	0.07500285290425654	0.22132831222184182	0.12960744037430103	0.1674084217733653	1226.4184069382632	0.12199560577816053	3373273903	250	0.07500285290425654	0.22132831222184182	0.1295789113317357	0.1674084217733653	1226.4315588268857	0.12199320747708502	0	COMPLETE
1	0.1541138879379208	2020-03-20 19:55:45.274938	2020-03-20 20:36:44.978662	8.806712705788975	128	2	72	0.008281475043071198	0.0422665035918709	256	0.23635130011595246	0.04764350108410362	0.1541138879379208	0.0910076457834075	0.1141732283464567	1672.429904142417	0.08571496737622979	0.04764350108410362	0.1541138879379208	0.0910076457834075	0.1141732283464567	1672.4243409791168	0.08571497850827861	911943270	150	0.04764350108410362	0.1541138879379208	0.0910076457834075	0.1141732283464567	1672.435467305717	0.08571495643485672	1	COMPLETE
2	0.06789912130548899	2020-03-20 20:36:45.011521	2020-03-20 20:59:42.011059	0.9878816691028842	256	1	18	0.058903633280105804	0.08135057823834621	512	0.7727836916972398	0.062022138537030695	0.06789912130548899	0.06390505534634258	0.06633002396439576	5499.98064304462	0.0645476939940715	0.062022138537030695	0.06789912130548899	0.06390505534634258	0.06633002396439576	5494.76745977405	0.06454965143388364	317474050	150	0.062022138537030695	0.06789912130548899	0.06390505534634258	0.06633002396439576	5505.193826315189	0.06454580906232732	2	COMPLETE
3	0.13614059112176197	2020-03-20 20:59:42.057000	2020-03-20 22:30:06.157830	8.836898383913528	64	2	32	0.05937720393710451	0.03082670528295891	256	0.7380167845552101	0.08207805546045875	0.13614059112176197	0.11348853132488873	0.12350222526532009	5246.865014835103	0.10288684265590683	0.08207805546045875	0.13616912016432728	0.11348853132488873	0.12353075430788543	5244.795674997147	0.10289242187208253	3426674988	300	0.08207805546045875	0.13614059112176197	0.11348853132488873	0.12350222526532009	5248.934354673057	0.10288187745640315	3	COMPLETE
4	0.15000570580851308	2020-03-20 22:30:06.198798	2020-03-20 23:15:42.471320	8.260179318391662	64	2	44	0.0096125494426022	0.19329745521404204	512	0.364446466395302	0.06943968960401689	0.15000570580851308	0.10393130206550268	0.12432956749971472	2590.7800553463426	0.09845890130211606	0.06943968960401689	0.15000570580851308	0.10393130206550268	0.12432956749971472	2590.7735079310737	0.09845890331914034	2859578483	250	0.06943968960401689	0.15000570580851308	0.10393130206550268	0.12432956749971472	2590.7866027616114	0.09845889928918755	4	COMPLETE
5	0.16991897751911444	2020-03-20 23:15:42.520693	2020-03-20 23:50:56.751404	7.229473021793508	256	2	26	0.00834556823131543	0.027463070631734636	512	0.2626141557373326	0.07702841492639508	0.16991897751911444	0.11140591121761953	0.135284719844802	1858.9413014949218	0.10955631061542283	0.07702841492639508	0.16991897751911444	0.11140591121761953	0.135284719844802	1858.9306458975236	0.10955633570448206	1467802820	200	0.07702841492639508	0.16991897751911444	0.11140591121761953	0.135284719844802	1858.95195709232	0.10955628631175932	5	COMPLETE
6	0.10861006504621705	2020-03-20 23:50:56.785709	2020-03-21 00:14:14.582240	9.560388310296881	128	2	35	0.06761609891097198	0.029407054217958098	512	0.7145535703283291	0.07468903343603789	0.10861006504621705	0.09294762067785005	0.1015919205751455	5076.244251397923	0.08739395522584908	0.07468903343603789	0.10861006504621705	0.09294762067785005	0.10162044961771083	5073.7121419605155	0.08739572565174224	97234885	150	0.07468903343603789	0.10861006504621705	0.09294762067785005	0.1015919205751455	5078.776360835331	0.08739230778843521	6	COMPLETE
7	0.11425881547415269	2020-03-21 00:14:14.629065	2020-03-21 00:40:09.784835	1.0910993569278553	64	2	98	0.022626789592388005	0.0169513545681259	512	0.31726793631690337	0.04784320438206094	0.11425881547415269	0.0708090836471528	0.08644299897295447	2249.41158849709	0.07179318048083767	0.04784320438206094	0.11425881547415269	0.0708090836471528	0.08644299897295447	2249.38867967591	0.07179319524669063	3965051169	150	0.04784320438206094	0.11425881547415269	0.0708090836471528	0.08644299897295447	2249.43449731827	0.07179316587292561	7	COMPLETE
8	0.27076914298756133	2020-03-21 00:40:09.841857	2020-03-21 02:48:22.282332	9.843303558128508	256	2	65	0.001054926774573159	0.018162177418819172	512	0.07610238120783044	0.10484423142759329	0.27076914298756133	0.17054661645555175	0.2088040625356613	528.8349452242383	0.1604601338313574	0.10484423142759329	0.27076914298756133	0.17054661645555175	0.2088040625356613	528.8347883145042	0.16046013393607333	2124189727	500	0.10484423142759329	0.27076914298756133	0.17054661645555175	0.2088040625356613	528.8351021339723	0.16046013372676213	8	COMPLETE
9	0.11474380919776332	2020-03-21 02:48:22.346291	2020-03-21 04:53:13.510291	2.626461460526691	64	1	20	0.022720035186009967	0.06232170768106916	128	0.4425461573222768	0.060424512153372134	0.11474380919776332	0.0901803035490129	0.09871048727604702	3149.536987903686	0.08098899582894992	0.060424512153372134	0.11474380919776332	0.0901803035490129	0.09871048727604702	3149.416381376241	0.08098973677293782	1378843688	250	0.060424512153372134	0.11474380919776332	0.0901803035490129	0.09871048727604702	3149.6575944311307	0.08098833117886209	9	COMPLETE
