number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.relation_dim	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.2940074906367041	2020-04-09 16:31:27.180730	2020-04-09 16:36:39.712874	64	256	128	0.0031956981564393388	0.554331092184849	0.006554307116104869	0.2940074906367041	0.09222846441947566	0.16104868913857678	26.413857677902623	0.10475350569813006	0.006554307116104869	0.2940074906367041	0.09222846441947566	0.16104868913857678	26.413857677902623	0.10475350569813006	256631114		0.006554307116104869	0.2940074906367041	0.09222846441947566	0.16104868913857678	26.413857677902623	0.10475350569813006	0	COMPLETE
1	0.1544943820224719	2020-04-09 16:36:39.743862	2020-04-09 16:37:45.106046	128	128	128	0.09325730251361317	0.7713965992443264	0.0	0.1544943820224719	0.032303370786516857	0.07116104868913857	37.01966292134831	0.06071604663286396	0.0	0.1544943820224719	0.032303370786516857	0.07116104868913857	37.01966292134831	0.06071604663286396	1732812083	250.0	0.0	0.1544943820224719	0.032303370786516857	0.07116104868913857	37.01966292134831	0.06071604663286396	1	COMPLETE
2	0.25046816479400746	2020-04-09 16:37:45.129402	2020-04-09 16:40:52.722485	256	128	256	0.028209959825177346	0.577654519305854	0.0023408239700374533	0.25046816479400746	0.06601123595505617	0.11891385767790262	27.500936329588015	0.08834999013800586	0.0023408239700374533	0.25046816479400746	0.06601123595505617	0.11891385767790262	27.500936329588015	0.08834999013800586	471363657	900.0	0.0023408239700374533	0.25046816479400746	0.06601123595505617	0.11891385767790262	27.500936329588015	0.08834999013800586	2	COMPLETE
3	0.10533707865168539	2020-04-09 16:40:52.744470	2020-04-09 16:41:19.133109	128	64	512	0.5008011160064098	0.9729150994994751	0.0	0.10533707865168539	0.019662921348314606	0.04353932584269663	46.914794007490634	0.0460098364041791	0.0	0.10533707865168539	0.019662921348314606	0.04353932584269663	46.914794007490634	0.0460098364041791	1367827423	200.0	0.0	0.10533707865168539	0.019662921348314606	0.04353932584269663	46.914794007490634	0.0460098364041791	3	COMPLETE
4	0.272940074906367	2020-04-09 16:41:19.191738	2020-04-09 16:44:57.904535	256	128	256	0.002817517300514748	0.5717656793123397	0.003745318352059925	0.272940074906367	0.08192883895131087	0.14372659176029962	27.271067415730336	0.09743771665577389	0.003745318352059925	0.272940074906367	0.08192883895131087	0.14372659176029962	27.271067415730336	0.09743771665577389	3678071334		0.003745318352059925	0.272940074906367	0.08192883895131087	0.14372659176029962	27.271067415730336	0.09743771665577389	4	COMPLETE
5	0.24391385767790263	2020-04-09 16:44:57.929025	2020-04-09 16:47:06.821074	256	128	512	0.0045738629835131925	0.6571903923571751	0.003745318352059925	0.24391385767790263	0.06460674157303371	0.1198501872659176	31.669007490636705	0.0853429415278198	0.003745318352059925	0.24391385767790263	0.06460674157303371	0.1198501872659176	31.669007490636705	0.0853429415278198	2608171366	800.0	0.003745318352059925	0.24391385767790263	0.06460674157303371	0.1198501872659176	31.669007490636705	0.0853429415278198	5	COMPLETE
6	0.12734082397003746	2020-04-09 16:47:06.847620	2020-04-09 16:48:14.499396	128	256	512	0.06815064877386447	0.8420314028639388	0.0	0.12734082397003746	0.028089887640449437	0.054775280898876406	40.54213483146067	0.05376386888199649	0.0	0.12734082397003746	0.028089887640449437	0.054775280898876406	40.54213483146067	0.05376386888199649	1621000728	400.0	0.0	0.12734082397003746	0.028089887640449437	0.054775280898876406	40.54213483146067	0.05376386888199649	6	COMPLETE
7	0.25046816479400746	2020-04-09 16:48:14.525931	2020-04-09 16:52:52.210817	128	256	128	0.0019288349650312087	0.5847198144473442	0.0023408239700374533	0.25046816479400746	0.06694756554307116	0.11844569288389513	27.772940074906366	0.08851832506147118	0.0023408239700374533	0.25046816479400746	0.06694756554307116	0.11844569288389513	27.772940074906366	0.08851832506147118	1567848054	950.0	0.0023408239700374533	0.25046816479400746	0.06694756554307116	0.11844569288389513	27.772940074906366	0.08851832506147118	7	COMPLETE
8	0.11235955056179775	2020-04-09 16:52:52.241041	2020-04-09 16:53:56.521302	64	128	128	0.3569358055548948	0.9144329258314009	0.0	0.11235955056179775	0.02247191011235955	0.04915730337078652	44.000936329588015	0.0488328259676954	0.0	0.11235955056179775	0.02247191011235955	0.04915730337078652	44.000936329588015	0.0488328259676954	2079469302	250.0	0.0	0.11235955056179775	0.02247191011235955	0.04915730337078652	44.000936329588015	0.0488328259676954	8	COMPLETE
9	0.34129213483146065	2020-04-09 16:53:56.547829	2020-04-09 16:57:28.067905	64	64	256	0.032841237399474886	0.508036498849765	0.008895131086142321	0.34129213483146065	0.11704119850187265	0.19054307116104868	24.336610486891384	0.11736807032800813	0.008895131086142321	0.34129213483146065	0.11704119850187265	0.19054307116104868	24.336610486891384	0.11736807032800813	2072512784		0.008895131086142321	0.34129213483146065	0.11704119850187265	0.19054307116104868	24.336610486891384	0.11736807032800813	9	COMPLETE
