number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_regularizer.weight	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.22893258426966293	2020-03-08 12:14:30.067948	2020-03-08 12:20:28.859239	0.9343960364079188	3.381170373816725	64	2	47	0.0066901981437457745	0.19791996469256734	128	0.6910429457202554	0.032303370786516857	0.22893258426966293	0.08099250936329588	0.12359550561797752	33.203183520599254	0.10262110302479785	0.032303370786516857	0.22893258426966293	0.08099250936329588	0.12359550561797752	33.203183520599254	0.10262110302479785	3718932756	250	0.032303370786516857	0.22893258426966293	0.08099250936329588	0.12359550561797752	33.203183520599254	0.10262110302479785	0	COMPLETE
1	0.10627340823970037	2020-03-08 12:20:28.876071	2020-03-08 12:27:39.350834	0.6030774750950155	25.779739820188915	128	2	74	0.04397076333030622	0.1062312518483436	128	0.9711693632896041	0.007022471910112359	0.10627340823970037	0.02855805243445693	0.04915730337078652	46.8562734082397	0.05209140258525175	0.007022471910112359	0.10627340823970037	0.02855805243445693	0.04915730337078652	46.8562734082397	0.05209140258525175	649985372	300	0.007022471910112359	0.10627340823970037	0.02855805243445693	0.04915730337078652	46.8562734082397	0.05209140258525175	1	COMPLETE
2	0.2144194756554307	2020-03-08 12:27:39.363164	2020-03-08 12:33:39.010331	0.5754903319473487	26.071451378569446	256	2	30	0.001553761580456491	0.023836429969028666	256	0.7588570669863708	0.03323970037453183	0.2144194756554307	0.07256554307116105	0.12359550561797752	36.54564606741573	0.09790921044293854	0.03323970037453183	0.2144194756554307	0.07256554307116105	0.12359550561797752	36.545411985018724	0.09790927712358147	709898099	450	0.03323970037453183	0.2144194756554307	0.07256554307116105	0.12359550561797752	36.54588014981273	0.09790914487363966	2	COMPLETE
3	0.22237827715355804	2020-03-08 12:33:39.022530	2020-03-08 12:36:56.888306	0.70379193543418	22.397825091627393	256	2	68	0.005639279680482049	0.014163805244702165	256	0.7564434766174688	0.028089887640449437	0.22237827715355804	0.07584269662921349	0.12265917602996254	36.44686329588015	0.09646170810164804	0.028089887640449437	0.22237827715355804	0.07631086142322098	0.12265917602996254	36.44662921348315	0.09648400166326745	854416544	250	0.028089887640449437	0.22237827715355804	0.07584269662921349	0.12265917602996254	36.44709737827716	0.09644498793043349	3	COMPLETE
4	0.10720973782771535	2020-03-08 12:36:56.900327	2020-03-08 12:39:08.119651	0.8629932933181526	25.951871249031132	256	1	23	0.035273983069407246	0.2759955194711078	256	0.9735824912551037	0.007958801498127341	0.10720973782771535	0.03089887640449438	0.05196629213483146	46.91432584269663	0.05326833017217557	0.007958801498127341	0.10720973782771535	0.03089887640449438	0.05196629213483146	46.91338951310861	0.05326939295275353	1020665422	200	0.007958801498127341	0.10720973782771535	0.03089887640449438	0.05196629213483146	46.91526217228464	0.05326731672902684	4	COMPLETE
5	0.21769662921348315	2020-03-08 12:39:08.131789	2020-03-08 12:41:54.793048	0.29625946176197326	12.55666405990032	128	1	9	0.004867820335110317	0.014101742344073832	256	0.7454017632185701	0.028089887640449437	0.21769662921348315	0.07771535580524344	0.12406367041198502	35.87312734082397	0.09763571405891205	0.028089887640449437	0.21769662921348315	0.07771535580524344	0.12406367041198502	35.87312734082397	0.09763571405891205	586434929	250	0.028089887640449437	0.21769662921348315	0.07771535580524344	0.12406367041198502	35.87312734082397	0.09763571405891205	5	COMPLETE
6	0.21582397003745318	2020-03-08 12:41:54.805331	2020-03-08 12:48:50.726088	0.67398474811683	10.36740625861343	64	2	70	0.002975381844758178	0.143287220982583	256	0.7380634540201894	0.025749063670411985	0.21582397003745318	0.08192883895131087	0.12125468164794008	35.506554307116104	0.09653006996896711	0.025749063670411985	0.21582397003745318	0.08192883895131087	0.12125468164794008	35.506554307116104	0.09653006996896711	3593572952	500	0.025749063670411985	0.21582397003745318	0.08192883895131087	0.12125468164794008	35.506554307116104	0.09653006996896711	6	COMPLETE
7	0.19709737827715357	2020-03-08 12:48:50.737227	2020-03-08 12:50:24.241713	0.8895326065172365	9.246490598899342	128	2	15	0.015738332251888632	0.030699895146469633	512	0.7468678340366396	0.02153558052434457	0.19709737827715357	0.06835205992509363	0.10767790262172285	35.948970037453186	0.08744357872015827	0.02153558052434457	0.19709737827715357	0.06835205992509363	0.10767790262172285	35.948970037453186	0.08744357872015827	2684057085	250	0.02153558052434457	0.19709737827715357	0.06835205992509363	0.10767790262172285	35.948970037453186	0.08744357872015827	7	COMPLETE
8	0.1853932584269663	2020-03-08 12:50:24.254005	2020-03-08 12:53:09.157996	0.7623301757871318	10.095044930174987	256	2	13	0.06875921015861235	0.025760972504268922	512	0.7957221023155872	0.020131086142322098	0.1853932584269663	0.050093632958801496	0.09597378277153558	38.359550561797754	0.08012748544046856	0.020131086142322098	0.1853932584269663	0.050093632958801496	0.09597378277153558	38.359550561797754	0.08012748544046856	1387807956	400	0.020131086142322098	0.1853932584269663	0.050093632958801496	0.09597378277153558	38.359550561797754	0.08012748544046856	8	COMPLETE
9	0.21254681647940074	2020-03-08 12:53:09.170280	2020-03-08 12:57:58.046675	0.5416451240356349	28.39947752777343	256	1	55	0.00157086741770472	0.044966785809444236	256	0.7563838332059553	0.035580524344569285	0.21254681647940074	0.0800561797752809	0.1254681647940075	36.423689138576776	0.10171024479179587	0.035580524344569285	0.21254681647940074	0.0800561797752809	0.1254681647940075	36.42322097378277	0.1017103979060562	2541205190	350	0.035580524344569285	0.21254681647940074	0.0800561797752809	0.1254681647940075	36.424157303370784	0.10171009445416115	9	COMPLETE
10	0.18679775280898878	2020-03-08 12:57:58.058678	2020-03-08 13:01:04.042237	0.15182169713278817	29.052597481280415	64	2	92	0.010187309262042622	0.11853274445561146	256	0.7732967069252196	0.03277153558052434	0.18679775280898878	0.06554307116104868	0.10674157303370786	37.20692883895131	0.09175484877933467	0.03277153558052434	0.18679775280898878	0.06554307116104868	0.10674157303370786	37.20692883895131	0.09175484877933467	2272195737	250	0.03277153558052434	0.18679775280898878	0.06554307116104868	0.10674157303370786	37.20692883895131	0.09175484877933467	10	COMPLETE
