number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.c_max	params_model.c_min	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.08715622503708775	2020-03-14 23:12:07.951307	2020-03-14 23:59:25.381000	0.270765925301058	8.884221118262824	8.889851286609794	0.027596231865473043	64	5	0.003926394678069296	128	0.5586052273902954	0.045075887253223784	0.08715622503708775	0.061936551409334704	0.07152230971128609	3957.0218817756477	0.06117574706981426	0.045075887253223784	0.08715622503708775	0.061936551409334704	0.07152230971128609	3957.0187435809653	0.06117574767594247	1083212142	200.0	0.045075887253223784	0.08715622503708775	0.061936551409334704	0.07152230971128609	3957.0250199703296	0.061175746464717566	0	COMPLETE
1	0.15870706379093918	2020-03-14 23:59:25.427855	2020-03-15 06:09:06.373965	0.16729213188894687	24.731012551852466	6.8228967863367735	0.01122921233357765	64	50	0.03934003095013241	128	0.29180114047958683	0.06022480885541481	0.15870706379093918	0.09979459089352961	0.12173342462626954	2082.742482597284	0.09451475257281232	0.06022480885541481	0.15870706379093918	0.09979459089352961	0.12173342462626954	2082.741013351592	0.09451475419327762	1073271175		0.06022480885541481	0.15870706379093918	0.09979459089352961	0.12173342462626954	2082.743951842976	0.09451475095774386	1	COMPLETE
2	0.09831108068013238	2020-03-15 06:09:06.422561	2020-03-15 06:41:14.970458	0.7410783197475794	14.47139293993105	7.273109642414826	0.047550324145159265	128	56	0.006052730905492579	256	0.5238888012681938	0.049412301723154174	0.09831108068013238	0.0657309140705238	0.07491726577656053	3710.0170175738904	0.06633743571863321	0.049412301723154174	0.09831108068013238	0.0657309140705238	0.07491726577656053	3710.012666894899	0.06633744219158536	1391402116	200.0	0.049412301723154174	0.09831108068013238	0.0657309140705238	0.07491726577656053	3710.0213682528815	0.0663374293491497	2	COMPLETE
3	0.10284719844802008	2020-03-15 06:41:15.004045	2020-03-15 07:04:04.121173	0.5337312933475348	17.840801673501073	5.476360648711297	0.02561873386597323	256	52	0.0047341634603016705	512	0.5259981073995315	0.06207919662216136	0.10284719844802008	0.08153600365171745	0.09083647152801552	3719.764164669634	0.078565023184863	0.06207919662216136	0.10284719844802008	0.08153600365171745	0.09083647152801552	3719.7595572292594	0.07856505593124541	530080359	200.0	0.06207919662216136	0.10284719844802008	0.08153600365171745	0.09083647152801552	3719.768772110008	0.07856499173624822	3	COMPLETE
4	0.1427022709117882	2020-03-15 07:04:04.155875	2020-03-15 13:23:23.418733	0.19276153272974192	5.194263112077014	6.517711113375099	0.07383586536801161	256	64	0.003826511233050103	128	0.45852153927735056	0.08567271482369052	0.1427022709117882	0.11283236334588612	0.12381604473353874	3242.655740043364	0.10680061550422523	0.08567271482369052	0.1427022709117882	0.11283236334588612	0.12381604473353874	3242.6500057058083	0.10680099228258631	2487707113		0.08567271482369052	0.1427022709117882	0.11283236334588612	0.12381604473353874	3242.6614743809196	0.1068002783568648	4	COMPLETE
5	0.08846856099509301	2020-03-15 13:23:23.453774	2020-03-15 13:50:08.637574	0.13202327819402787	19.244068977194527	8.735627044496592	0.09374551377736938	128	62	0.004282265004207259	512	0.6049138303042674	0.05203697363916467	0.08846856099509301	0.06635855300696109	0.07500285290425654	4289.722255506105	0.06621920482845935	0.05203697363916467	0.08846856099509301	0.06635855300696109	0.07500285290425654	4289.7161930845605	0.06621920939036353	2241791699	250.0	0.05203697363916467	0.08846856099509301	0.06635855300696109	0.07500285290425654	4289.72831792765	0.06621920031624993	5	COMPLETE
6	0.2888565559739815	2020-03-15 13:50:08.673101	2020-03-15 20:03:44.143735	0.16112135672551328	2.8252952356576335	7.653551865451503	0.07998915927814816	256	32	0.07969427085768489	128	0.2028117918806233	0.09112176195366883	0.2888565559739815	0.16792194453954126	0.22192742211571378	1434.406339153258	0.15383742417408974	0.09112176195366883	0.2888565559739815	0.16795047358210657	0.22192742211571378	1434.39412872304	0.15384066796852017	2258140920		0.09112176195366883	0.2888565559739815	0.16792194453954126	0.22192742211571378	1434.418549583476	0.1538347865321499	6	COMPLETE
7	0.09702727376469246	2020-03-15 20:03:44.194479	2020-03-15 20:59:15.253998	0.7501635097442017	12.573726724645581	3.6417567439317136	0.0689124693273015	128	11	0.006756604531894032	128	0.506743281045481	0.05189432842633801	0.09702727376469246	0.06826999885883829	0.07808398950131233	3588.6263979230857	0.06860571215596621	0.05189432842633801	0.09702727376469246	0.06826999885883829	0.07808398950131233	3588.6219901860095	0.06860571427900179	2151949175	200.0	0.05189432842633801	0.09702727376469246	0.06826999885883829	0.07808398950131233	3588.630805660162	0.06860571004300912	7	COMPLETE
8	0.1016775077028415	2020-03-15 20:59:15.290198	2020-03-15 21:32:20.980423	0.14068950026267008	3.201060166596429	6.766183141389523	0.0962923857702573	128	58	0.0032523950827114834	512	0.6042286965844478	0.06045304119593747	0.1016775077028415	0.07993837726805889	0.08709916695195709	4284.141546844688	0.07657204739138594	0.06045304119593747	0.1016775077028415	0.07993837726805889	0.08709916695195709	4284.135769713568	0.07657204853531886	2008664670	300.0	0.06045304119593747	0.1016775077028415	0.07993837726805889	0.08709916695195709	4284.147323975807	0.07657204624922875	8	COMPLETE
9	0.10724067100308114	2020-03-15 21:32:21.016874	2020-03-15 23:05:11.411493	0.995967059657321	11.365572340940163	8.40642959263296	0.046941293250749	128	28	0.0030640435360100977	128	0.5242079009944431	0.0536916581079539	0.10724067100308114	0.0698105671573662	0.08167864886454411	3711.1003081136596	0.07117080427931434	0.0536916581079539	0.10724067100308114	0.0698105671573662	0.08167864886454411	3711.095714937807	0.07117080926408319	2671361856	300.0	0.0536916581079539	0.10724067100308114	0.0698105671573662	0.08167864886454411	3711.104901289513	0.07117079936443675	9	COMPLETE
