Replicate	Epoch	Loss
0	0	3.902291170827455e-05
0	1	1.1744262577375273e-05
0	2	6.733885734204232e-06
0	3	4.2103432128953754e-06
0	4	2.959741331612842e-06
0	5	2.35045079953817e-06
0	6	2.036345399524641e-06
0	7	1.8621341603288364e-06
0	8	1.7441197886723821e-06
0	9	1.674017314118308e-06
0	10	1.6219492148680183e-06
0	11	1.5866149626630257e-06
0	12	1.5585523655886594e-06
0	13	1.5344311892860202e-06
0	14	1.518045695474263e-06
0	15	1.5115972799572449e-06
0	16	1.4971516868205387e-06
0	17	1.4769472206158401e-06
0	18	1.4766127317611426e-06
0	19	1.4654506762007144e-06
0	20	1.4596565390181729e-06
0	21	1.452323634835216e-06
0	22	1.4518332439979596e-06
0	23	1.446020766316719e-06
0	24	1.4391892846302213e-06
0	25	1.4370065393825659e-06
0	26	1.4380568650048505e-06
0	27	1.4394252187055557e-06
0	28	1.4288927947746818e-06
0	29	1.421535117525828e-06
0	30	1.4206595418252596e-06
0	31	1.4212419053129157e-06
0	32	1.4112148809604046e-06
0	33	1.4189437221935827e-06
0	34	1.4154053945757553e-06
0	35	1.4131158229494355e-06
0	36	1.4058013440277953e-06
0	37	1.4048555699538707e-06
0	38	1.3982487518248554e-06
0	39	1.4005036490258828e-06
0	40	1.3989451397853855e-06
0	41	1.4015538933936969e-06
0	42	1.3976439573875748e-06
0	43	1.3941840349373832e-06
0	44	1.389923949478926e-06
0	45	1.389310851682854e-06
0	46	1.3866173926102315e-06
0	47	1.3925914150843834e-06
0	48	1.3861882382907429e-06
0	49	1.3809420495532215e-06
0	50	1.3766094992964007e-06
0	51	1.3791897343849927e-06
0	52	1.3748187005980356e-06
0	53	1.3693064678652448e-06
0	54	1.3732846327956566e-06
0	55	1.3741926588492134e-06
0	56	1.3672297177408253e-06
0	57	1.3684527172758426e-06
0	58	1.3659641850553518e-06
0	59	1.3629753068600602e-06
0	60	1.366169726255558e-06
0	61	1.3590452842613143e-06
0	62	1.3612113398459531e-06
0	63	1.3571189948053875e-06
0	64	1.3563784656499273e-06
0	65	1.3575009542969174e-06
0	66	1.3532285284924226e-06
0	67	1.3509885516796626e-06
0	68	1.3520001647442852e-06
0	69	1.351752974792451e-06
0	70	1.3441678695487736e-06
