number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	501	551	601	651	701	751	951	1001	1051	1101	1151
0	TrialState.COMPLETE	0.359670089707271	2020-01-03 12:17:00.720690	2020-01-03 14:03:05.039799	450.0	2	11.0	0.0014507978732654196	1700.0	0.08171866597655554	0.000708215297450425	0.359670089707271	0.18394416902738434	0.2649389164305949	1656.034289423985	0.1223307252639816	0.000708215297450425	0.359670089707271	0.18394416902738434	0.2649389164305949	1656.0336476038715	0.12233072596132749	0.000708215297450425	0.359670089707271	0.18394416902738434	0.2649389164305949	1656.0349312440983	0.122330724572252	0											0.35805112026783414	0.3588957999753664	
1	TrialState.COMPLETE	0.000708215297450425	2020-01-03 14:03:05.040806	2020-01-03 14:09:35.706482	50.0	1	11.0	0.07476878785923911	700.0	1.0011185807029905	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20295.827195467424	0.0009347429330844342	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20295.823654390933	0.0009347429478466345	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20295.83073654391	0.0009347429183236163	1	0.000708215297450425	0.000708215297450425											
2	TrialState.COMPLETE	0.0010623229461756375	2020-01-03 14:09:35.707262	2020-01-03 14:18:03.299453	350.0	1	21.0	0.022407973726368612	500.0	1.0160532944795235	0.000708215297450425	0.0010623229461756375	0.000708215297450425	0.0008852691218130312	20598.8851805949	0.0009568473408972499	0.000708215297450425	0.0010623229461756375	0.000708215297450425	0.0008852691218130312	20598.8677407932	0.0009568476197373205	0.000708215297450425	0.0010623229461756375	0.000708215297450425	0.0008852691218130312	20598.902620396602	0.0009568470621846834	2	0.0010623229461756375	0.0010623229461756375											
3	TrialState.COMPLETE	0.000708215297450425	2020-01-03 14:18:03.300430	2020-01-03 14:24:55.282946	150.0	1	51.0	0.02541041865300799	1600.0	1.0030979273850025	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20335.834543201134	0.0009666503967803786	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20335.824539660058	0.0009666505583828425	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20335.84454674221	0.0009666502352591826	3	0.000708215297450425	0.000708215297450425											
4	TrialState.COMPLETE	0.0010623229461756375	2020-01-03 14:24:55.283916	2020-01-03 14:31:49.747796	150.0	1	21.0	0.02980008528088578	900.0	1.0108194905269505	0.000708215297450425	0.0010623229461756375	0.000708215297450425	0.0008852691218130312	20492.60879957507	0.000990813589292246	0.000708215297450425	0.0010623229461756375	0.000708215297450425	0.0008852691218130312	20492.600035410764	0.0009908136528087518	0.000708215297450425	0.0010623229461756375	0.000708215297450425	0.0008852691218130312	20492.617563739375	0.0009908135257883353	4	0.0010623229461756375	0.0010623229461756375											
5	TrialState.COMPLETE	0.000708215297450425	2020-01-03 14:31:49.748864	2020-01-03 14:38:54.809530	250.0	1	31.0	0.005851941383735543	1700.0	0.9913144955563921	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20097.169440509915	0.0009270193527532735	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20097.15864022663	0.0009270194014805562	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20097.1802407932	0.0009270193040318748	5	0.000708215297450425	0.000708215297450425											
6	TrialState.COMPLETE	0.000708215297450425	2020-01-03 14:38:54.810534	2020-01-03 14:45:54.910650	150.0	1	91.0	0.0751550068260518	1300.0	1.0075306766754717	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20425.968927053826	0.0009085111134130919	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20425.959985835692	0.000908511498391228	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20425.977868271955	0.0009085107289044694	6	0.000708215297450425	0.000708215297450425											
7	TrialState.COMPLETE	0.38029297748620844	2020-01-03 14:45:54.911660	2020-01-03 15:48:34.963238	150.0	2	91.0	0.0017887817325334396	900.0	0.09040301837427644	0.000708215297450425	0.38029297748620844	0.19426531981511852	0.28049053227970777	1831.9931228567168	0.1290061960049089	0.000708215297450425	0.38029297748620844	0.19426531981511852	0.28049053227970777	1831.9923028179514	0.12900620402026236	0.000708215297450425	0.38029297748620844	0.19426531981511852	0.28049053227970777	1831.9939428954824	0.12900618818102774	7													
8	TrialState.COMPLETE	0.000708215297450425	2020-01-03 15:48:34.964058	2020-01-03 15:56:46.522182	350.0	1	11.0	0.008284974885886956	1600.0	0.9902850620223081	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20076.331710339942	0.0009006533702920204	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20076.31568696884	0.0009006537041773695	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20076.34773371105	0.0009006530365849768	8	0.000708215297450425	0.000708215297450425											
