number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.relation_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.5079588014981273	2020-05-19 15:21:30.094911	2020-05-19 15:40:51.199785	64	256	2	5	128	0.2851571467869012	0.08848314606741572	0.5079588014981273	0.20177902621722846	0.29213483146067415	13.74438202247191	0.21176413533367397	0.08848314606741572	0.5079588014981273	0.20177902621722846	0.29213483146067415	13.74438202247191	0.21176413533367397	579326912		0.08848314606741572	0.5079588014981273	0.20177902621722846	0.29213483146067415	13.74438202247191	0.21176413533367397	0	COMPLETE
1	0.060861423220973786	2020-05-19 15:40:51.218214	2020-05-19 15:42:38.052304	64	128	2	67	256	1.1341716877973118	0.0	0.060861423220973786	0.010299625468164793	0.026217228464419477	54.69475655430712	0.03399418530293597	0.0	0.060861423220973786	0.010299625468164793	0.026217228464419477	54.69475655430712	0.03399418530293597	6489785	150.0	0.0	0.060861423220973786	0.010299625468164793	0.026217228464419477	54.69475655430712	0.03399418530293597	1	COMPLETE
2	0.25749063670411987	2020-05-19 15:42:38.062406	2020-05-19 15:52:02.378778	128	256	1	14	256	0.4862404566620954	0.0	0.25749063670411987	0.07724719101123595	0.1343632958801498	23.31554307116105	0.09496042322906961	0.0	0.25749063670411987	0.07724719101123595	0.1343632958801498	23.31554307116105	0.09496042322906961	1742298624	650.0	0.0	0.25749063670411987	0.07724719101123595	0.1343632958801498	23.31554307116105	0.09496042322906961	2	COMPLETE
3	0.3202247191011236	2020-05-19 15:52:02.390967	2020-05-19 16:18:54.558872	256	128	2	46	128	0.5010450006277765	0.0	0.3202247191011236	0.041666666666666664	0.11891385767790262	24.030898876404493	0.08800508178539868	0.0	0.3202247191011236	0.041666666666666664	0.11891385767790262	24.030898876404493	0.08800508178539868	1791618170	800.0	0.0	0.3202247191011236	0.041666666666666664	0.11891385767790262	24.030898876404493	0.08800508178539868	3	COMPLETE
4	0.05056179775280899	2020-05-19 16:18:54.569120	2020-05-19 16:22:30.431992	64	256	1	75	128	1.2069154310280854	0.0	0.05056179775280899	0.008426966292134831	0.02200374531835206	58.299157303370784	0.030783170258556116	0.0	0.05056179775280899	0.008426966292134831	0.02200374531835206	58.299157303370784	0.030783170258556116	1556720584	150.0	0.0	0.05056179775280899	0.008426966292134831	0.02200374531835206	58.299157303370784	0.030783170258556116	4	COMPLETE
5	0.25702247191011235	2020-05-19 16:22:30.441959	2020-05-19 16:45:11.749012	256	256	2	24	256	0.4518451589414299	0.0	0.25702247191011235	0.056179775280898875	0.10767790262172285	21.67181647940075	0.0887600797772904	0.0	0.25702247191011235	0.056179775280898875	0.10767790262172285	21.67181647940075	0.0887600797772904	4284433674	800.0	0.0	0.25702247191011235	0.056179775280898875	0.10767790262172285	21.67181647940075	0.0887600797772904	5	COMPLETE
6	0.05290262172284644	2020-05-19 16:45:11.759165	2020-05-19 16:55:41.909844	256	256	2	89	256	1.2050507116630282	0.0	0.05290262172284644	0.0149812734082397	0.027153558052434457	58.21301498127341	0.03277243097830648	0.0	0.05290262172284644	0.0149812734082397	0.027153558052434457	58.21301498127341	0.03277243097830648	3210217516	150.0	0.0	0.05290262172284644	0.0149812734082397	0.027153558052434457	58.21301498127341	0.03277243097830648	6	COMPLETE
7	0.29307116104868913	2020-05-19 16:55:41.921879	2020-05-19 17:03:10.689651	128	256	2	9	256	0.4154560543232238	0.019194756554307114	0.29307116104868913	0.10393258426966293	0.15636704119850187	19.929775280898877	0.11772589654154801	0.019194756554307114	0.29307116104868913	0.10393258426966293	0.15636704119850187	19.929775280898877	0.11772589654154801	3196627497	600.0	0.019194756554307114	0.29307116104868913	0.10393258426966293	0.15636704119850187	19.929775280898877	0.11772589654154801	7	COMPLETE
8	0.26170411985018727	2020-05-19 17:03:10.701734	2020-05-19 17:04:04.660736	128	128	2	2	512	0.43195925275219627	0.02762172284644195	0.26170411985018727	0.09691011235955056	0.15262172284644196	20.69943820224719	0.11779867758184294	0.02762172284644195	0.26170411985018727	0.09691011235955056	0.15262172284644196	20.69943820224719	0.11779867758184294	1289628812	200.0	0.02762172284644195	0.26170411985018727	0.09691011235955056	0.15262172284644196	20.69943820224719	0.11779867758184294	8	COMPLETE
9	0.25795880149812733	2020-05-19 17:04:04.671115	2020-05-19 17:46:45.134062	256	128	2	75	128	0.7587230631363079	0.0	0.25795880149812733	0.03838951310861423	0.09878277153558053	36.427434456928836	0.07386790326388347	0.0	0.25795880149812733	0.03838951310861423	0.09878277153558053	36.427434456928836	0.07386790326388347	4126357997	900.0	0.0	0.25795880149812733	0.03838951310861423	0.09878277153558053	36.427434456928836	0.07386790326388347	9	COMPLETE
