number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	551	601	651	701	751
0	TrialState.COMPLETE	0.001106586402266289	2019-12-31 02:18:49.624862	2019-12-31 02:29:51.313455	50.0	91.0	0.09655088052729494	500.0	0.9291069135324938	0.0004426345609065156	0.001106586402266289	0.0006196883852691218	0.0007524787535410764	18835.48008144476	0.0008265707054807477	0.0004426345609065156	0.001106586402266289	0.0006196883852691218	0.0007524787535410764	18835.47791253541	0.0008265707171207732	0.0004426345609065156	0.001106586402266289	0.0006196883852691218	0.0007524787535410764	18835.482250354107	0.0008265706938440839	0	0.0016820113314447592	0.0012983947119924457												
1	TrialState.COMPLETE	0.368862134088763	2019-12-31 02:29:51.314378	2019-12-31 05:19:29.347684	450.0	91.0	0.0021566788464632753	700.0	0.31361238432486926	0.2716359773371105	0.368862134088763	0.330842776203966	0.3481586402266289	6356.505777856469	0.3084327293908452	0.2716359773371105	0.368862134088763	0.330842776203966	0.3481586402266289	6356.504945703494	0.30843272941255423	0.2716359773371105	0.368862134088763	0.330842776203966	0.3481586402266289	6356.506610009443	0.3084327293691509	1														
2	TrialState.COMPLETE	0.04335851432168713	2019-12-31 05:19:29.348627	2019-12-31 06:05:33.981220	250.0	41.0	0.011890142248004915	600.0	0.6407650751166794	0.027049889833175952	0.04335851432168713	0.0341123701605288	0.037397702234812716	12989.668378186969	0.0332357930527159	0.027049889833175952	0.04335851432168713	0.0341123701605288	0.037397702234812716	12989.667079792256	0.03323579308365735	0.027049889833175952	0.04335851432168713	0.0341123701605288	0.037397702234812716	12989.669676581681	0.03323579302180554	2						0.04178470254957507	0.0426699716713881							
3	TrialState.COMPLETE	0.043925444244141125	2019-12-31 06:05:33.982195	2019-12-31 06:55:42.665770	150.0	21.0	0.014312858406823285	1000.0	0.6290140894428484	0.02819984548029874	0.043925444244141125	0.034380633530775175	0.037680272984805564	12751.59629313675	0.034053337513149436	0.02819984548029874	0.043925444244141125	0.034380633530775175	0.037680272984805564	12751.595174478496	0.0340533375192794	0.02819984548029874	0.043925444244141125	0.034380633530775175	0.037680272984805564	12751.597411795005	0.03405333750702037	3								0.04302407932011332	0.04351983002832861					
4	TrialState.COMPLETE	0.06112291469940195	2019-12-31 06:55:42.666749	2019-12-31 07:45:47.279060	250.0	61.0	0.01052214400041537	600.0	0.5719838059787854	0.035017311929493235	0.06112291469940195	0.04636842933585143	0.05227022348127164	11594.951487252125	0.04473728323431113	0.035017311929493235	0.06112291469940195	0.04636842933585143	0.05227022348127164	11594.950169184765	0.044737283262351935	0.035017311929493235	0.06112291469940195	0.04636842933585143	0.05227022348127164	11594.952805319484	0.044737283206290966	4						0.05981889923108053	0.06055240793201133							
5	TrialState.COMPLETE	0.3097224681303116	2019-12-31 07:45:47.280024	2019-12-31 09:11:57.380975	250.0	21.0	0.0032065980423312906	1000.0	0.28491859092244837	0.1842798335694051	0.3097224681303116	0.25035410764872523	0.2762371635977337	5774.904822503541	0.22909432014060307	0.1842798335694051	0.3097224681303116	0.25035410764872523	0.2762371635977337	5774.904224946884	0.22909432016123726	0.1842798335694051	0.3097224681303116	0.25035410764872523	0.2762371635977337	5774.905420060199	0.22909432011998468	5												0.30897157021448807	0.3093720491029273	
6	TrialState.COMPLETE	0.008321529745042492	2019-12-31 09:11:57.381808	2019-12-31 09:22:30.589776	150.0	1.0	0.04426105603148196	800.0	0.9384953807080288	0.005178824362606233	0.008321529745042492	0.006462464589235127	0.007037889518413598	19026.372587641643	0.006548248291059074	0.005178824362606233	0.008321529745042492	0.006462464589235127	0.007037889518413598	19026.37229992918	0.0065482482935741515	0.005178824362606233	0.008321529745042492	0.006462464589235127	0.007037889518413598	19026.372875354107	0.006548248288544356	6	0.008144475920679886	0.008262511803588292												
7	TrialState.COMPLETE	0.09196681505463375	2019-12-31 09:22:30.590699	2019-12-31 10:41:22.683966	150.0	91.0	0.010681022386804594	1000.0	0.4637331642138786	0.05005564548765682	0.09196681505463375	0.06692634560906516	0.0769425333872926	9400.323097936058	0.06489159156548659	0.05005564548765682	0.09196681505463375	0.06692634560906516	0.0769425333872926	9400.322035613111	0.06489159159909295	0.05005564548765682	0.09196681505463375	0.06692634560906516	0.0769425333872926	9400.324160259004	0.06489159153192417	7										0.09109419263456091	0.09156406624536936			
8	TrialState.COMPLETE	0.0013279036827195468	2019-12-31 10:41:22.684884	2019-12-31 10:57:29.393537	450.0	11.0	0.0626382589788463	500.0	0.9921370692749072	0.0005311614730878187	0.0013279036827195468	0.000708215297450425	0.0008852691218130312	20113.94644121813	0.0009153479965995761	0.0005311614730878187	0.0013279036827195468	0.000708215297450425	0.0008852691218130312	20113.945733002834	0.0009153480034904644	0.0005311614730878187	0.0013279036827195468	0.000708215297450425	0.0008852691218130312	20113.94714943343	0.0009153479897117132	8	0.0008852691218130312	0.0011803588290840415												
