number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.relation_dim	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.3192883895131086	2020-04-09 12:27:26.544353	2020-04-09 12:29:20.155387	4.484854610322663	128	64	46	512	0.5207833980858912	0.062265917602996254	0.3192883895131086	0.14279026217228463	0.18867041198501872	25.04868913857678	0.15192198752613972	0.062265917602996254	0.3192883895131086	0.14279026217228463	0.18867041198501872	25.04868913857678	0.15192198752613972	796785723	200	0.062265917602996254	0.3192883895131086	0.14279026217228463	0.18867041198501872	25.04868913857678	0.15192198752613972	0	COMPLETE
1	0.23174157303370788	2020-04-09 12:29:20.198999	2020-04-09 12:32:07.304771	8.0122254667884	64	64	77	512	0.710587566396682	0.03323970037453183	0.23174157303370788	0.08426966292134831	0.13670411985018727	33.91736891385768	0.10396857368060865	0.03323970037453183	0.23174157303370788	0.08426966292134831	0.13670411985018727	33.91713483146067	0.10396867853274616	2908698519	250	0.03323970037453183	0.23174157303370788	0.08426966292134831	0.13670411985018727	33.91760299625468	0.10396847101289067	1	COMPLETE
2	0.3600187265917603	2020-04-09 12:32:07.327167	2020-04-09 12:45:47.547744	4.110969555414307	64	64	48	128	0.47042444918639537	0.08192883895131087	0.3600187265917603	0.16619850187265917	0.22565543071161048	22.511001872659175	0.17546590237899296	0.08192883895131087	0.3600187265917603	0.16619850187265917	0.22565543071161048	22.51076779026217	0.17546678905473917	332280878	350	0.08192883895131087	0.3600187265917603	0.16619850187265917	0.22565543071161048	22.51123595505618	0.17546506786064356	2	COMPLETE
3	0.4012172284644195	2020-04-09 12:45:47.579423	2020-04-09 12:52:53.417291	1.348897883002968	256	64	7	512	0.4175221970878639	0.06460674157303371	0.4012172284644195	0.18398876404494383	0.25749063670411987	20.012172284644194	0.17679784897967152	0.06460674157303371	0.4012172284644195	0.18398876404494383	0.25749063670411987	20.012172284644194	0.17679784897967152	3477335441	600	0.06460674157303371	0.4012172284644195	0.18398876404494383	0.25749063670411987	20.012172284644194	0.17679784897967152	3	COMPLETE
4	0.2893258426966292	2020-04-09 12:52:53.449040	2020-04-09 12:55:47.461113	3.6795604826716724	128	256	73	512	0.5475391983159221	0.050093632958801496	0.2893258426966292	0.11938202247191011	0.16713483146067415	26.17930711610487	0.13442107947784024	0.050093632958801496	0.2893258426966292	0.11938202247191011	0.16713483146067415	26.17930711610487	0.13442107947784024	1358942867	200	0.050093632958801496	0.2893258426966292	0.11938202247191011	0.16713483146067415	26.17930711610487	0.13442107947784024	4	COMPLETE
5	0.224250936329588	2020-04-09 12:55:47.500334	2020-04-09 13:04:04.000563	6.730371862503779	64	64	45	128	0.7278518876983445	0.02200374531835206	0.224250936329588	0.07209737827715355	0.12359550561797752	34.74250936329588	0.09296552955805898	0.02200374531835206	0.224250936329588	0.07209737827715355	0.12359550561797752	34.74204119850187	0.09296570847125234	1801415103	250	0.02200374531835206	0.224250936329588	0.07209737827715355	0.12359550561797752	34.74297752808989	0.09296535446437527	5	COMPLETE
6	0.39840823970037453	2020-04-09 13:04:04.027504	2020-04-09 13:15:03.248080	2.394408722672157	128	256	82	512	0.42545868887231175	0.0847378277153558	0.39840823970037453	0.1956928838951311	0.25702247191011235	20.378277153558052	0.19015953387817003	0.0847378277153558	0.39840823970037453	0.1956928838951311	0.25702247191011235	20.378277153558052	0.19015953387817003	152614828	600	0.0847378277153558	0.39840823970037453	0.1956928838951311	0.25702247191011235	20.378277153558052	0.19015953387817003	6	COMPLETE
7	0.3366104868913858	2020-04-09 13:15:03.269606	2020-04-09 13:33:43.608376	0.6199940383652016	128	128	74	128	0.4656775995237885	0.020131086142322098	0.3366104868913858	0.11844569288389513	0.19194756554307116	22.272940074906366	0.12496948785031689	0.020131086142322098	0.3366104868913858	0.11844569288389513	0.19194756554307116	22.272940074906366	0.12496948785031689	2744820582	500	0.020131086142322098	0.3366104868913858	0.11844569288389513	0.19194756554307116	22.272940074906366	0.12496948785031689	7	COMPLETE
8	0.36142322097378277	2020-04-09 13:33:43.630156	2020-04-09 13:45:38.350777	5.559659479810824	128	64	62	256	0.4715071226477149	0.0749063670411985	0.36142322097378277	0.16338951310861424	0.2350187265917603	22.596910112359552	0.17265037376534184	0.0749063670411985	0.36142322097378277	0.16338951310861424	0.2350187265917603	22.596910112359552	0.17265037376534184	116257899	600	0.0749063670411985	0.36142322097378277	0.16338951310861424	0.2350187265917603	22.596910112359552	0.17265037376534184	8	COMPLETE
9	0.34176029962546817	2020-04-09 13:45:38.377775	2020-04-09 13:51:53.976842	3.0757426496187787	256	128	68	128	0.4616383182901666	0.07631086142322098	0.34176029962546817	0.16760299625468164	0.22752808988764045	22.073970037453183	0.17131338009807018	0.07631086142322098	0.34176029962546817	0.16760299625468164	0.22752808988764045	22.073970037453183	0.17131338009807018	2960727892	200	0.07631086142322098	0.34176029962546817	0.16760299625468164	0.22752808988764045	22.073970037453183	0.17131338009807018	9	COMPLETE
