number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.9316479400749064	2020-05-14 10:00:55.992641	2020-05-14 10:30:14.754633	0.8432320982271891	2.6626100435297917	128	2	39	256	0.08767664378896105	0.3609550561797753	0.9316479400749064	0.7008426966292135	0.829119850187266	4.219101123595506	0.5567580865768138	0.3609550561797753	0.9316479400749064	0.7008426966292135	0.829119850187266	4.219101123595506	0.5567580865768138	3873678055		0.3609550561797753	0.9316479400749064	0.7008426966292135	0.829119850187266	4.219101123595506	0.5567580865768138	0	COMPLETE
1	0.9461610486891385	2020-05-14 10:30:14.770064	2020-05-14 10:47:14.973412	0.4889604539696766	14.505070520746186	256	1	21	512	0.07379684856768405	0.40402621722846443	0.9461610486891385	0.7471910112359551	0.8661048689138576	3.571629213483146	0.5981612252888927	0.40402621722846443	0.9461610486891385	0.7471910112359551	0.8661048689138576	3.571629213483146	0.5981612252888927	2335568551	350.0	0.40402621722846443	0.9461610486891385	0.7471910112359551	0.8661048689138576	3.571629213483146	0.5981612252888927	1	COMPLETE
2	0.2602996254681648	2020-05-14 10:47:14.991266	2020-05-14 11:27:34.594021	0.8898035154128098	9.865121057217895	256	2	51	256	0.5640365130953449	0.03838951310861423	0.2602996254681648	0.08146067415730338	0.1352996254681648	26.84737827715356	0.11518028337632864	0.03838951310861423	0.2602996254681648	0.08146067415730338	0.1352996254681648	26.84737827715356	0.11518028337632864	1142953135	350.0	0.03838951310861423	0.2602996254681648	0.08146067415730338	0.1352996254681648	26.84737827715356	0.11518028337632864	2	COMPLETE
3	0.8965355805243446	2020-05-14 11:27:34.606271	2020-05-14 11:43:48.738868	0.9179441130575826	26.44923615971855	128	1	65	512	0.10135082241534936	0.3445692883895131	0.8965355805243446	0.648876404494382	0.7888576779026217	4.9344569288389515	0.5305441863086591	0.3445692883895131	0.8965355805243446	0.648876404494382	0.7888576779026217	4.9344569288389515	0.5305441863086591	1807498794	500.0	0.3445692883895131	0.8965355805243446	0.648876404494382	0.7888576779026217	4.9344569288389515	0.5305441863086591	3	COMPLETE
4	0.21161048689138576	2020-05-14 11:43:48.752305	2020-05-14 11:51:04.685685	0.9521322267163149	11.279969227820098	128	2	39	512	0.6734573890111489	0.025280898876404494	0.21161048689138576	0.0800561797752809	0.12219101123595505	32.35159176029963	0.0976594378076338	0.025280898876404494	0.21161048689138576	0.0800561797752809	0.12219101123595505	32.35159176029963	0.0976594378076338	2447309892	350.0	0.025280898876404494	0.21161048689138576	0.0800561797752809	0.12219101123595505	32.35159176029963	0.0976594378076338	4	COMPLETE
5	0.9709737827715356	2020-05-14 11:51:04.699129	2020-05-14 12:16:31.566010	0.6034878234449268	7.33452809135868	256	1	71	512	0.05661473781383188	0.5056179775280899	0.9709737827715356	0.8455056179775281	0.9367977528089888	2.7298689138576777	0.6857402996074372	0.5056179775280899	0.9709737827715356	0.8455056179775281	0.9367977528089888	2.7298689138576777	0.6857402996074372	1140844772	200.0	0.5056179775280899	0.9709737827715356	0.8455056179775281	0.9367977528089888	2.7298689138576777	0.6857402996074372	5	COMPLETE
6	0.9377340823970037	2020-05-14 12:16:31.583899	2020-05-14 15:26:33.490753	0.6843901302668896	1.1071916932553023	256	2	78	512	0.08236239103718979	0.3693820224719101	0.9377340823970037	0.6966292134831461	0.8235018726591761	3.9850187265917603	0.5596054001911475	0.3693820224719101	0.9377340823970037	0.6966292134831461	0.8235018726591761	3.9850187265917603	0.5596054001911475	2224929139	900.0	0.3693820224719101	0.9377340823970037	0.6966292134831461	0.8235018726591761	3.9850187265917603	0.5596054001911475	6	COMPLETE
7	0.9634831460674157	2020-05-14 15:26:33.502934	2020-05-14 15:32:01.823218	0.4345146204286542	6.794412766932871	64	1	100	512	0.06752726063045084	0.4419475655430712	0.9634831460674157	0.7752808988764045	0.8834269662921348	3.2677902621722845	0.6272535032613993	0.4419475655430712	0.9634831460674157	0.7752808988764045	0.8834269662921348	3.2677902621722845	0.6272535032613993	2605330779	350.0	0.4419475655430712	0.9634831460674157	0.7752808988764045	0.8834269662921348	3.2677902621722845	0.6272535032613993	7	COMPLETE
8	0.9419475655430711	2020-05-14 15:32:01.836860	2020-05-14 16:56:33.034422	0.5745838000094619	5.5033676093999295	256	2	32	128	0.07958618310203407	0.3529962546816479	0.9419475655430711	0.6947565543071161	0.822565543071161	3.8384831460674156	0.5521973336989219	0.3529962546816479	0.9419475655430711	0.6947565543071161	0.822565543071161	3.8384831460674156	0.5521973336989219	3004700973		0.3529962546816479	0.9419475655430711	0.6947565543071161	0.822565543071161	3.8384831460674156	0.5521973336989219	8	COMPLETE
9	0.26591760299625467	2020-05-14 16:56:33.046430	2020-05-14 17:18:24.802724	0.20238337635579562	15.807885083491819	128	2	87	128	0.5671269155791107	0.03277153558052434	0.26591760299625467	0.07958801498127341	0.1306179775280899	26.93562734082397	0.11152029825170064	0.03277153558052434	0.26591760299625467	0.07958801498127341	0.1306179775280899	26.935393258426966	0.1115247569640245	1304113801	400.0	0.03277153558052434	0.26591760299625467	0.07958801498127341	0.1306179775280899	26.935861423220974	0.11151639687841725	9	COMPLETE
10	0.9363295880149812	2020-05-14 17:18:24.816299	2020-05-14 17:30:37.239292	0.6823911763350412	14.797305458263292	64	1	94	128	0.08159180143534132	0.38717228464419473	0.9363295880149812	0.7382958801498127	0.846441947565543	3.959737827715356	0.581930633807156	0.38717228464419473	0.9363295880149812	0.7382958801498127	0.846441947565543	3.959737827715356	0.581930633807156	3377293858	400.0	0.38717228464419473	0.9363295880149812	0.7382958801498127	0.846441947565543	3.959737827715356	0.581930633807156	10	COMPLETE
11	0.7027153558052435	2020-05-14 17:30:37.251553	2020-05-14 17:47:53.652238	0.9796187059102014	28.711100784107778	64	1	99	128	0.23224253615639992	0.22191011235955055	0.7027153558052435	0.47191011235955055	0.5819288389513109	11.380149812734082	0.3862987714993635	0.22191011235955055	0.7027153558052435	0.47191011235955055	0.5819288389513109	11.380149812734082	0.3862987714993635	3249763924	550.0	0.22191011235955055	0.7027153558052435	0.47191011235955055	0.5819288389513109	11.380149812734082	0.3862987714993635	11	COMPLETE
12	0.9578651685393258	2020-05-14 17:47:53.664388	2020-05-14 17:52:27.039671	0.677182152212946	11.385004836947465	128	1	24	256	0.06619897664503686	0.45224719101123595	0.9578651685393258	0.7879213483146067	0.8848314606741573	3.200374531835206	0.6360511870792109	0.45224719101123595	0.9578651685393258	0.7879213483146067	0.8848314606741573	3.200374531835206	0.6360511870792109	1720116618	250.0	0.45224719101123595	0.9578651685393258	0.7879213483146067	0.8848314606741573	3.200374531835206	0.6360511870792109	12	COMPLETE
