number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs
					loss.adversarial_temperature	loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	random_seed	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number
0	TrialState.COMPLETE	0.16929133858267717	2020-01-20 04:04:22.083167	2020-01-20 06:51:15.207610	0.8414146370850862	20.14598980417623	150.0	30.0	0.08113489396503332	1000.0	0.07925614470790569	0.022167066073262583	0.16929133858267717	0.07280611662672601	0.10241926280954011	554.1917722241242	0.07234761475843061	0.022167066073262583	0.16929133858267717	0.07280611662672601	0.10241926280954011	554.1911160561451	0.07234761794460554	652995618	0.022167066073262583	0.16929133858267717	0.07280611662672601	0.10241926280954011	554.1924283921031	0.0723476115905126	0
1	TrialState.COMPLETE	0.16238731028186695	2020-01-20 06:51:15.208418	2020-01-20 11:57:16.977349	0.22339093003056737	22.40206554642067	350.0	170.0	0.07522084551941663	1000.0	0.07208792846647502	0.0066757959602875725	0.16238731028186695	0.02365057628665982	0.06367682300581992	501.39531267830654	0.050372870882171225	0.0066757959602875725	0.16238731028186695	0.02365057628665982	0.06367682300581992	501.39487047814674	0.05037288239113482	2198489714	0.0066757959602875725	0.16238731028186695	0.02365057628665982	0.06367682300581992	501.3957548784663	0.05037285951974344	1
2	TrialState.COMPLETE	0.03996918863402944	2020-01-20 11:57:16.978150	2020-01-20 15:34:39.651870	0.7869223817155623	28.90346340255625	250.0	150.0	0.02846664976563431	900.0	0.22840557901695485	0.008473125641903457	0.03996918863402944	0.011297500855871277	0.011468675111263265	1619.4860065046216	0.023175730127879927	0.008473125641903457	0.03996918863402944	0.011297500855871277	0.011468675111263265	1619.484109323291	0.02317575438738664	2730640941	0.008473125641903457	0.03996918863402944	0.011297500855871277	0.011468675111263265	1619.4879036859522	0.023175706502741842	2
3	TrialState.COMPLETE	0.0014264521282665755	2020-01-20 15:34:39.652645	2020-01-20 16:59:02.726310	0.5682374023889105	27.87036234288287	50.0	90.0	0.009811643846125553	500.0	1.0029741305504767	0.00028529042565331506	0.0014264521282665755	0.0005135227661759672	0.0008844003195252767	7167.080665867854	0.001071792534549512	0.00028529042565331506	0.0014264521282665755	0.0005135227661759672	0.0008844003195252767	7167.080537487162	0.0010717958951279856	2477721446	0.00028529042565331506	0.0014264521282665755	0.0005135227661759672	0.0008844003195252767	7167.080794248545	0.0010717892247397013	3
4	TrialState.COMPLETE	0.0008273422343946138	2020-01-20 16:59:02.727114	2020-01-20 19:17:24.208862	0.5940498996081971	19.525365448903734	50.0	180.0	0.002972729751579659	800.0	1.010058156362961	0.00011411617026132602	0.0008273422343946138	0.00022823234052265205	0.00048499372361063563	7217.022866027616	0.0007472517090532959	0.00011411617026132602	0.0008273422343946138	0.00022823234052265205	0.00048499372361063563	7217.02279470501	0.0007472517223084685	3231629741	0.00011411617026132602	0.0008273422343946138	0.00022823234052265205	0.00048499372361063563	7217.0229373502225	0.0007472516958073133	4
5	TrialState.COMPLETE	0.0007417551066986192	2020-01-20 19:17:24.209672	2020-01-20 20:41:50.144689	0.1970886652984245	14.899170010221054	50.0	80.0	0.0027954490832036312	500.0	0.9997773228513721	2.8529042565331506e-05	0.0007417551066986192	0.00011411617026132602	0.0003138194682186466	7144.33952413557	0.0006747542066179695	2.8529042565331506e-05	0.0007417551066986192	0.00011411617026132602	0.0003138194682186466	7144.339352961315	0.0006747542744494348	4225149728	2.8529042565331506e-05	0.0007417551066986192	0.00011411617026132602	0.0003138194682186466	7144.339695309825	0.0006747541388597994	5
6	TrialState.COMPLETE	0.003879949788885085	2020-01-20 20:41:50.145448	2020-01-21 00:42:05.463370	0.6710502284024227	25.20808373916685	450.0	160.0	0.01568511772839911	700.0	1.0926404162043055	0.002539084788314504	0.003879949788885085	0.0032808398950131233	0.0035090722355357756	7815.870763437179	0.0034213090465770772	0.002539084788314504	0.003879949788885085	0.0032808398950131233	0.0035090722355357756	7815.870620791966	0.0034213090654832087	872496356	0.002539084788314504	0.003879949788885085	0.0032808398950131233	0.0035090722355357756	7815.870906082392	0.003421309027680841	6
7	TrialState.COMPLETE	0.0007988131918292822	2020-01-21 00:42:05.464184	2020-01-21 03:55:53.592814	0.648129809697112	27.87265231176575	150.0	190.0	0.003312619091086957	900.0	0.9991425312534882	2.8529042565331506e-05	0.0007988131918292822	0.00019970329795732054	0.0002567613830879836	7138.796131461828	0.0007063139363884087	2.8529042565331506e-05	0.0007988131918292822	0.00019970329795732054	0.0002567613830879836	7138.796074403743	0.0007063140315950681	3903296469	2.8529042565331506e-05	0.0007988131918292822	0.00019970329795732054	0.0002567613830879836	7138.796188519913	0.0007063138414186114	7
8	TrialState.COMPLETE	0.0007132260641332877	2020-01-21 03:55:53.593580	2020-01-21 06:09:45.108616	0.8977299291845491	24.427198799226588	250.0	10.0	0.0027834608057893517	800.0	0.9991552356688944	0.00017117425539198904	0.0007132260641332877	0.00028529042565331506	0.0003994065959146411	7139.074517859181	0.0008031657219805124	0.00017117425539198904	0.0007132260641332877	0.00028529042565331506	0.0003994065959146411	7139.0744608010955	0.0008031657444660408	3773784439	0.00017117425539198904	0.0007132260641332877	0.00028529042565331506	0.0003994065959146411	7139.074574917266	0.0008031656995214935	8
