number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.09925093632958802	2020-04-05 18:33:32.622157	2020-04-05 18:33:41.244433	128	256	0.10492481481542631	1.0105949702929036	0.010767790262172285	0.09925093632958802	0.028089887640449437	0.05102996254681648	48.7813670411985	0.05218539001140008	0.010767790262172285	0.09925093632958802	0.028089887640449437	0.05102996254681648	48.7813670411985	0.05218539001140008	1784796255	150	0.010767790262172285	0.09925093632958802	0.028089887640449437	0.05102996254681648	48.7813670411985	0.05218539001140008	0	COMPLETE
1	0.10252808988764045	2020-04-05 18:33:41.276807	2020-04-05 18:33:49.941016	64	256	0.012321568947377754	0.9861801014672477	0.006554307116104869	0.10252808988764045	0.02855805243445693	0.046348314606741575	47.575842696629216	0.0500991813308097	0.006554307116104869	0.10252808988764045	0.02855805243445693	0.046348314606741575	47.575842696629216	0.0500991813308097	2826661805	150	0.006554307116104869	0.10252808988764045	0.02855805243445693	0.046348314606741575	47.575842696629216	0.0500991813308097	1	COMPLETE
2	0.10440074906367042	2020-04-05 18:33:49.973076	2020-04-05 18:33:58.718983	256	256	0.12587673485725612	0.9626606550339735	0.015917602996254682	0.10440074906367042	0.04307116104868914	0.05898876404494382	46.49485018726592	0.06134701611917511	0.015917602996254682	0.10440074906367042	0.04307116104868914	0.05898876404494382	46.49485018726592	0.06134701611917511	3052837294	150	0.015917602996254682	0.10440074906367042	0.04307116104868914	0.05898876404494382	46.49485018726592	0.06134701611917511	2	COMPLETE
3	0.12687265917602997	2020-04-05 18:33:58.751435	2020-04-05 18:34:07.356232	64	256	0.737572010304201	0.9538676528424053	0.015917602996254682	0.12687265917602997	0.03745318352059925	0.06460674157303371	46.02247191011236	0.06265369629743384	0.015917602996254682	0.12687265917602997	0.03745318352059925	0.06460674157303371	46.02247191011236	0.06265369629743384	2715895398	150	0.015917602996254682	0.12687265917602997	0.03745318352059925	0.06460674157303371	46.02247191011236	0.06265369629743384	3	COMPLETE
4	0.10955056179775281	2020-04-05 18:34:07.382555	2020-04-05 18:34:15.915922	128	256	0.09337362099778378	0.9902407340033935	0.006086142322097378	0.10955056179775281	0.02294007490636704	0.04353932584269663	47.74625468164794	0.049623506778510566	0.006086142322097378	0.10955056179775281	0.02294007490636704	0.04353932584269663	47.74625468164794	0.049623506778510566	3716127149	150	0.006086142322097378	0.10955056179775281	0.02294007490636704	0.04353932584269663	47.74625468164794	0.049623506778510566	4	COMPLETE
5	0.11470037453183521	2020-04-05 18:34:15.941915	2020-04-05 18:34:23.511177	64	512	0.0424162591280755	0.9504225981658959	0.010299625468164793	0.11470037453183521	0.03464419475655431	0.05290262172284644	45.844569288389515	0.0568952932398283	0.010299625468164793	0.11470037453183521	0.03464419475655431	0.05290262172284644	45.844569288389515	0.0568952932398283	4095585890	150	0.010299625468164793	0.11470037453183521	0.03464419475655431	0.05290262172284644	45.844569288389515	0.0568952932398283	5	COMPLETE
6	0.0945692883895131	2020-04-05 18:34:23.537878	2020-04-05 18:34:34.314084	256	128	0.02366359153138464	0.9954116345088483	0.011704119850187267	0.0945692883895131	0.023408239700374533	0.04353932584269663	48.05149812734082	0.05184369350991643	0.011704119850187267	0.0945692883895131	0.023408239700374533	0.04353932584269663	48.05149812734082	0.05184369350991643	3587382351	150	0.011704119850187267	0.0945692883895131	0.023408239700374533	0.04353932584269663	48.05149812734082	0.05184369350991643	6	COMPLETE
7	0.10814606741573034	2020-04-05 18:34:34.340620	2020-04-05 18:34:50.447348	128	256	0.07591742969287607	0.9912760206742373	0.011235955056179775	0.10814606741573034	0.03136704119850187	0.052434456928838954	47.73548689138577	0.055489085669323084	0.011235955056179775	0.10814606741573034	0.03136704119850187	0.052434456928838954	47.73548689138577	0.055489085669323084	781116781	250	0.011235955056179775	0.10814606741573034	0.03136704119850187	0.052434456928838954	47.73548689138577	0.055489085669323084	7	COMPLETE
8	0.09925093632958802	2020-04-05 18:34:50.474752	2020-04-05 18:34:58.045843	128	512	0.5102053308674354	1.0087074914716938	0.009831460674157303	0.09925093632958802	0.02902621722846442	0.04728464419475655	48.64887640449438	0.051516067225931335	0.009831460674157303	0.09925093632958802	0.02902621722846442	0.04728464419475655	48.64887640449438	0.051516067225931335	331506519	150	0.009831460674157303	0.09925093632958802	0.02902621722846442	0.04728464419475655	48.64887640449438	0.051516067225931335	8	COMPLETE
9	0.10627340823970037	2020-04-05 18:34:58.070631	2020-04-05 18:35:05.655745	64	512	0.001522114905854612	0.9918977910624852	0.006086142322097378	0.10627340823970037	0.030430711610486893	0.05149812734082397	47.86938202247191	0.05116581779613117	0.006086142322097378	0.10627340823970037	0.030430711610486893	0.05149812734082397	47.86938202247191	0.05116581779613117	1794984121	150	0.006086142322097378	0.10627340823970037	0.030430711610486893	0.05149812734082397	47.86938202247191	0.05116581779613117	9	COMPLETE
