number	value	datetime_start	datetime_complete	params_model.dropout_0	params_model.dropout_1	params_model.dropout_2	params_model.embedding_dim	params_model.relation_dim	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.950374531835206	2020-05-18 10:27:59.345298	2020-05-18 10:29:33.232684	0.3862194840923262	0.4695699366549563	0.36519984478562983	64	64	256	0.0609297248646026	0.07202105853560098	0.45318352059925093	0.950374531835206	0.7823033707865169	0.8764044943820225	3.4691011235955056	0.6340563145435726	0.45318352059925093	0.950374531835206	0.7823033707865169	0.8764044943820225	3.4691011235955056	0.6340563145435726		2064253930.0	450.0	0.45318352059925093	0.950374531835206	0.7823033707865169	0.8764044943820225	3.4691011235955056	0.6340563145435726	0		COMPLETE
1	0.9700374531835206	2020-05-18 10:29:33.299486	2020-05-18 10:45:52.111992	0.3028558215950341	0.280818130902702	0.4581109486426107	256	256	256	0.16422239856056578	0.06070046754962022	0.5191947565543071	0.9700374531835206	0.8389513108614233	0.9316479400749064	2.9190074906367043	0.6918881986554112	0.5191947565543071	0.9700374531835206	0.8389513108614233	0.9316479400749064	2.9190074906367043	0.6918881986554112		997098930.0	300.0	0.5191947565543071	0.9700374531835206	0.8389513108614233	0.9316479400749064	2.9190074906367043	0.6918881986554112	1		COMPLETE
2	0.9728464419475655	2020-05-18 10:45:52.171465	2020-05-18 10:58:51.596891	0.1653176668134934	0.337051383680825	0.15496434733007086	256	256	128	0.10474864268252389	0.06006358496230863	0.5402621722846442	0.9728464419475655	0.8562734082397003	0.9316479400749064	2.889044943820225	0.7068850462572657	0.5402621722846442	0.9728464419475655	0.8562734082397003	0.9316479400749064	2.889044943820225	0.7068850462572657		773859909.0	250.0	0.5402621722846442	0.9728464419475655	0.8562734082397003	0.9316479400749064	2.889044943820225	0.7068850462572657	2		COMPLETE
3	0.9653558052434457	2020-05-18 10:58:51.662113	2020-05-18 11:05:45.219180	0.3923237955241232	0.1964840778264415	0.4128612731862312	128	256	512	0.64859635859362	0.06563384755695943	0.5032771535580525	0.9653558052434457	0.8230337078651685	0.9129213483146067	3.1540262172284645	0.6782076380603222	0.5032771535580525	0.9653558052434457	0.8230337078651685	0.9129213483146067	3.1540262172284645	0.6782076380603222		1250158756.0	500.0	0.5032771535580525	0.9653558052434457	0.8230337078651685	0.9129213483146067	3.1540262172284645	0.6782076380603222	3		COMPLETE
4	0.9658239700374532	2020-05-18 11:05:45.280090	2020-05-18 11:08:13.453038	0.1529638569460924	0.4660456999021363	0.2602354290230612	64	128	512	0.19004711222524287	0.06591101497244299	0.4911048689138577	0.9658239700374532	0.8132022471910112	0.901685393258427	3.168539325842697	0.6673874864091787	0.4911048689138577	0.9658239700374532	0.8132022471910112	0.901685393258427	3.168539325842697	0.6673874864091787		291380236.0	600.0	0.4911048689138577	0.9658239700374532	0.8132022471910112	0.901685393258427	3.168539325842697	0.6673874864091787	4		COMPLETE
5	0.973314606741573	2020-05-18 11:08:13.513195	2020-05-18 11:18:09.097142	0.38007927898852467	0.45899663193678497	0.11867193969287962	256	128	128	0.019395457762671035	0.06046250576418493	0.5304307116104869	0.973314606741573	0.8632958801498127	0.9339887640449438	2.9049625468164795	0.7041591148108428	0.5304307116104869	0.973314606741573	0.8632958801498127	0.9339887640449438	2.9049625468164795	0.7041591148108428		4072613398.0	350.0	0.5304307116104869	0.973314606741573	0.8632958801498127	0.9339887640449438	2.9049625468164795	0.7041591148108428	5		COMPLETE
6	0.9719101123595506	2020-05-18 11:18:09.162107	2020-05-18 11:31:23.606324	0.21794962980357835	0.43092464698262356	0.48017483253240556	256	128	128	0.007406950669994574	0.060921802044207794	0.5276217228464419	0.9719101123595506	0.8459737827715356	0.9264981273408239	2.925561797752809	0.6975748365546404	0.5276217228464419	0.9719101123595506	0.8459737827715356	0.9264981273408239	2.925561797752809	0.6975748365546404		415610720.0	450.0	0.5276217228464419	0.9719101123595506	0.8459737827715356	0.9264981273408239	2.925561797752809	0.6975748365546404	6		COMPLETE
7	0.971441947565543	2020-05-18 11:31:23.664998	2020-05-18 11:35:33.546045	0.4910327444323114	0.24430716437304645	0.296754984300637	256	64	128	0.0962501853191538	0.06108802994050448	0.5121722846441947	0.971441947565543	0.848314606741573	0.9264981273408239	2.9297752808988764	0.689082512244016	0.5121722846441947	0.971441947565543	0.848314606741573	0.9264981273408239	2.9297752808988764	0.689082512244016		183849270.0	300.0	0.5121722846441947	0.971441947565543	0.848314606741573	0.9264981273408239	2.9297752808988764	0.689082512244016	7		COMPLETE
8	0.9597378277153558	2020-05-18 11:35:33.605740	2020-05-18 11:36:56.687537	0.481226750047851	0.16845528982044633	0.44469747771131196	64	128	256	0.45120786388943385	0.0710377196845867	0.449438202247191	0.9597378277153558	0.7823033707865169	0.8815543071161048	3.412921348314607	0.6332182369668635	0.449438202247191	0.9597378277153558	0.7823033707865169	0.8815543071161048	3.412921348314607	0.6332182369668635		1186617283.0	350.0	0.449438202247191	0.9597378277153558	0.7823033707865169	0.8815543071161048	3.412921348314607	0.6332182369668635	8		COMPLETE
9	0.9676966292134831	2020-05-18 11:36:56.740512	2020-05-18 11:38:55.283069	0.28732303204327964	0.21118356690147957	0.3606914251241903	64	128	128	0.0278645381861059	0.06378975894898595	0.5112359550561798	0.9676966292134831	0.8342696629213483	0.9218164794007491	3.0669475655430714	0.6867711485473165	0.5112359550561798	0.9676966292134831	0.8342696629213483	0.9218164794007491	3.0669475655430714	0.6867711485473165		1273125192.0	400.0	0.5112359550561798	0.9676966292134831	0.8342696629213483	0.9218164794007491	3.0669475655430714	0.6867711485473165	9		COMPLETE
