number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	regularizer.weight	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	201	251	301
0	TrialState.COMPLETE	0.0006196883852691218	2020-01-08 16:17:50.479031	2020-01-08 16:46:10.397914	0.7563993341060139	3.3769403849694823	50.0	80.0	0.001547160402604385	0.0410048065614919	600.0	0.9994767393692257	8.852691218130312e-05	0.0006196883852691218	0.0002213172804532578	0.0003541076487252125	20262.659591890933	0.00042449478466747366	8.852691218130312e-05	0.0006196883852691218	0.0002213172804532578	0.0003541076487252125	20262.659348441928	0.0004244947862490349	8.852691218130312e-05	0.0006196883852691218	0.0002213172804532578	0.0003541076487252125	20262.659835339942	0.0004244947830861408	0	0.0005311614730878187	0.0005901794145420207			
1	TrialState.COMPLETE	0.000398371104815864	2020-01-08 16:46:10.399106	2020-01-08 17:26:00.288869	0.40954392906477477	6.469035682723231	150.0	200.0	0.03947425402342327	0.007109942646539299	900.0	1.0009837636575314	0.0	0.000398371104815864	0.0	0.0001327903682719547	20293.34270980878	0.0003581361566533641	0.0	0.000398371104815864	0.0	0.0001327903682719547	20293.342687677054	0.00035813615672094715	0.0	0.000398371104815864	0.0	0.0001327903682719547	20293.34273194051	0.0003581361565857847	1	0.0006196883852691218	0.00047214353163361664			
2	TrialState.COMPLETE	0.0008852691218130312	2020-01-08 17:26:00.290117	2020-01-08 18:19:56.809914	0.3682114716863205	6.161815409756148	350.0	140.0	0.006186476208765679	0.0015291563509008735	800.0	1.0053166205736026	0.0001327903682719547	0.0008852691218130312	0.0003541076487252125	0.0005754249291784702	20381.16565598442	0.0007142826013680856	0.0001327903682719547	0.0008852691218130312	0.0003541076487252125	0.0005754249291784702	20381.165589589236	0.0007142826015555965	0.0001327903682719547	0.0008852691218130312	0.0003541076487252125	0.0005754249291784702	20381.165722379603	0.0007142826011805854	2	0.0010623229461756375	0.0009442870632672333			
3	TrialState.COMPLETE	0.05139619587211655	2020-01-08 18:19:56.811161	2020-01-08 19:42:11.713838	0.9560204013985967	14.83647352507132	150.0	110.0	0.04928298089360746	0.00023868980864320515	1000.0	0.2680677621440669	0.014695467422096316	0.05139619587211655	0.027974504249291786	0.03629603399433428	5433.486543909348	0.030028449276421294	0.014695467422096316	0.05139619587211655	0.027974504249291786	0.03629603399433428	5433.485481586402	0.030028450648990856	0.014695467422096316	0.05139619587211655	0.027974504249291786	0.03629603399433428	5433.487606232295	0.030028447913412765	3			0.05084985835694051	0.0511685552407932	
4	TrialState.COMPLETE	0.0003541076487252125	2020-01-08 19:42:11.715072	2020-01-08 20:29:05.915736	0.9077777582032096	4.222892646681702	350.0	100.0	0.020855535970233628	0.00036953089284945384	800.0	1.0016047530420993	0.0	0.0003541076487252125	8.852691218130312e-05	8.852691218130312e-05	20305.878341890933	0.0003588292765921039	0.0	0.0003541076487252125	8.852691218130312e-05	8.852691218130312e-05	20305.878231232295	0.0003588292767704049	0.0	0.0003541076487252125	8.852691218130312e-05	8.852691218130312e-05	20305.878452549576	0.00035882927641381037	4	0.0003541076487252125	0.0003541076487252125			
5	TrialState.COMPLETE	0.0010180594900849858	2020-01-08 20:29:05.916957	2020-01-08 21:00:10.057478	0.4609134443410029	22.954147036670328	250.0	10.0	0.003162882953897191	0.0017432565674182921	500.0	0.987054988410258	0.00017705382436260624	0.0010180594900849858	0.0005754249291784702	0.0006639518413597734	20010.984175814447	0.0007618028295958086	0.00017705382436260624	0.002921388101983003	0.0010623229461756375	0.0016820113314447592	17020.344502478754	0.001993078812904146	0.00017705382436260624	0.0009737960339943342	0.0005754249291784702	0.0006639518413597734	23001.623849150143	0.0007547303863504675	5	0.0016820113314447592	0.0012393767705382436			
6	TrialState.COMPLETE	0.4634523632026241	2020-01-08 21:00:10.058738	2020-01-09 02:13:25.200668	0.3535669236902471	16.161659747330525	250.0	10.0	0.002372401721857435	0.00028676351513375547	900.0	0.2463894186880631	0.35454562397495154	0.4634523632026241	0.42101535708960786	0.4391773520202773	4994.382617973759	0.39644962782231696	0.35454562397495154	0.4634523632026241	0.42101535708960786	0.4391773520202773	4994.381103697629	0.39644963018980117	0.35454562397495154	0.4634523632026241	0.42101535708960786	0.4391773520202773	4994.384132249888	0.3964496254860591	6					
7	TrialState.COMPLETE	0.000398371104815864	2020-01-09 02:13:25.202386	2020-01-09 02:49:13.685227	0.24821754289863085	18.63475596401829	50.0	170.0	0.0011625654635497307	0.07907588601777892	500.0	1.0035056263726412	4.426345609065156e-05	0.000398371104815864	0.0001327903682719547	0.00017705382436260624	20344.717112252125	0.000395850535745675	4.426345609065156e-05	0.000398371104815864	0.0001327903682719547	0.00017705382436260624	20344.716979461755	0.0003958505380664	4.426345609065156e-05	0.000398371104815864	0.0001327903682719547	0.00017705382436260624	20344.71724504249	0.00039585053342553156	7	0.0004426345609065156	0.00041312559017941453			
8	TrialState.COMPLETE	0.0005311614730878187	2020-01-09 02:49:13.686407	2020-01-09 03:25:32.460708	0.6521633036370807	20.71841472158315	50.0	180.0	0.004132180047875987	0.0034277577246473617	700.0	0.9962734301650631	4.426345609065156e-05	0.0005311614730878187	4.426345609065156e-05	0.0003541076487252125	20197.74353753541	0.0004089005433580594	4.426345609065156e-05	0.0005311614730878187	4.426345609065156e-05	0.0003541076487252125	20197.7434490085	0.00040890054409814194	4.426345609065156e-05	0.0005311614730878187	4.426345609065156e-05	0.0003541076487252125	20197.74362606232	0.0004089005426180665	8	0.000708215297450425	0.0005901794145420207			
