number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.c_max	model.c_min	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201
0	TrialState.COMPLETE	0.0003541076487252125	2020-01-17 14:38:58.041539	2020-01-17 14:55:30.550483	2.795910603624482	0.04005036645783086	250.0	21.0	0.057382424592865466	600.0	0.9914252928965266	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20099.344281161473	0.00026521120505331103	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20099.33445467422	0.00026521126183335324	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20099.354107648724	0.0002652111482815548	0	0.0003541076487252125	0.0003541076487252125		
1	TrialState.COMPLETE	0.00017705382436260624	2020-01-17 14:55:30.565093	2020-01-17 15:12:26.805110	4.27720746424405	0.018898732837668387	250.0	11.0	0.001120105289974182	1600.0	1.0064112090126773	0.0	0.00017705382436260624	0.0	0.0	20403.40536473088	0.0001957203629113765	0.0	0.00017705382436260624	0.0	0.0	20403.39695467422	0.00019572044829124254	0.0	0.00017705382436260624	0.0	0.0	20403.413774787536	0.00019572027754838776	1	0.00017705382436260624	0.00017705382436260624		
2	TrialState.COMPLETE	0.0	2020-01-17 15:12:26.815282	2020-01-17 15:38:18.241894	5.018628363581921	0.0547832989088998	450.0	91.0	0.008711636876209192	2000.0	0.989072326025135	0.0	0.0	0.0	0.0	20051.936437677054	0.00019429306957316868	0.0	0.0	0.0	0.0	20051.927584985835	0.00019429331727876528	0.0	0.0	0.0	0.0	20051.945290368272	0.00019429282216780372	2	0.0	0.0		
3	TrialState.COMPLETE	0.0003541076487252125	2020-01-17 15:38:18.249585	2020-01-17 15:53:32.335255	6.841460019990526	0.039116080268267024	150.0	11.0	0.004782286073725035	1100.0	0.9981729198488166	0.0	0.0003541076487252125	0.0	0.0	20236.02142351275	0.0002672088155564951	0.0	0.0003541076487252125	0.0	0.0	20236.016820113313	0.0002672088554719564	0.0	0.0003541076487252125	0.0	0.0	20236.026026912183	0.0002672087756495436	3	0.0003541076487252125	0.0003541076487252125		
4	TrialState.COMPLETE	0.0	2020-01-17 15:53:32.336718	2020-01-17 16:15:04.977934	2.1155460429608026	0.052328443744606094	350.0	71.0	0.002161840642585613	1000.0	0.9893696176355821	0.0	0.0	0.0	0.0	20057.892351274786	0.0001887470680260901	0.0	0.0	0.0	0.0	20057.881728045326	0.00018874731412226738	0.0	0.0	0.0	0.0	20057.90297450425	0.0001887468220481299	4	0.0	0.0		
5	TrialState.COMPLETE	0.0005311614730878187	2020-01-17 16:15:04.991152	2020-01-17 16:31:14.826960	1.9239531443942928	0.07572694218018874	250.0	1.0	0.026177472866171007	600.0	1.0072251621461799	0.0	0.0005311614730878187	0.00017705382436260624	0.0003541076487252125	20419.7194582153	0.0003649760503122064	0.0	0.0005311614730878187	0.00017705382436260624	0.0003541076487252125	20419.70910056657	0.00036497620307619674	0.0	0.0005311614730878187	0.00017705382436260624	0.0003541076487252125	20419.729815864022	0.0003649758975940812	5	0.0005311614730878187	0.0005311614730878187		
6	TrialState.COMPLETE	0.00017705382436260624	2020-01-17 16:31:14.828131	2020-01-17 16:48:13.409274	3.4777985418189377	0.0484938066955589	250.0	31.0	0.0011679137346136013	1900.0	1.0063207465531527	0.0	0.00017705382436260624	0.0	0.0	20401.346671388103	0.00024204553198722023	0.0	0.00017705382436260624	0.0	0.0	20401.33604815864	0.00024204568697872283	0.0	0.00017705382436260624	0.0	0.0	20401.357294617563	0.00024204537707158213	6	0.00017705382436260624	0.00017705382436260624		
7	TrialState.COMPLETE	0.0003541076487252125	2020-01-17 16:48:13.410696	2020-01-17 17:13:07.353215	8.436078716457022	0.03932397897217253	450.0	71.0	0.05992649299171411	500.0	1.0247340616043086	0.0	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	20774.57179532578	0.0002866483199789818	0.0	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	20774.558250708214	0.0002866493823760574	0.0	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	20774.585339943344	0.0002866472601361329	7	0.0003541076487252125	0.0003541076487252125		
8	TrialState.COMPLETE	0.000708215297450425	2020-01-17 17:13:07.357537	2020-01-17 17:37:25.341660	6.247053019009197	0.012727379674581428	450.0	61.0	0.05524572926919445	900.0	0.9864831951732264	0.0	0.000708215297450425	0.0	0.00017705382436260624	19999.273016997166	0.0003036002884766485	0.0	0.000708215297450425	0.0	0.00017705382436260624	19999.263987252125	0.0003036004643437249	0.0	0.000708215297450425	0.0	0.00017705382436260624	19999.28204674221	0.0003036001126861694	8	0.000708215297450425	0.000708215297450425		
