number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.c_max	model.c_min	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	1151	1201	1251	1301	1351
0	TrialState.COMPLETE	0.3636488825936418	2020-01-13 12:34:26.221751	2020-01-13 15:36:58.728144	1.1217644097626736	8.088203101909354	0.029620801899165914	250.0	46.0	0.029962201494741797	2000.0	0.4294307499554084	0.15692870632672332	0.3636488825936418	0.26802014479068303	0.3064277095792676	8703.9116042388	0.22756319385494392	0.15692870632672332	0.3636488825936418	0.26802014479068303	0.3064277095792676	8703.905702444654	0.2275638677166339	0.15692870632672332	0.3636488825936418	0.26802014479068303	0.3064277095792676	8703.917506032945	0.227562739369131	0		0.36274079320113317	0.3632123011549357		
1	TrialState.COMPLETE	0.3517075857727416	2020-01-13 15:36:58.729257	2020-01-13 18:05:09.637078	8.545410084895549	1.0107200116053638	0.010473302314538135	50.0	46.0	0.014267958367162836	1300.0	0.3486268347913272	0.14498740950582312	0.3517075857727416	0.26528564683663836	0.30672279928653867	7066.420492996537	0.2193941181252831	0.14498740950582312	0.3517075857727416	0.26528564683663836	0.30672279928653867	7066.417840467947	0.2193941456621536	0.14498740950582312	0.3517075857727416	0.26528564683663836	0.30672279928653867	7066.423145525128	0.21939409199166962	1					
2	TrialState.COMPLETE	0.25564489251791367	2020-01-13 18:05:09.638235	2020-01-13 20:05:33.986818	0.9612336346139843	3.1101940686096134	0.02761793951187559	350.0	1.0	0.008362064331933497	800.0	0.4317125007868898	0.11803241126478921	0.25564489251791367	0.18696883852691218	0.21581819696717214	8750.855414722546	0.16577815140293942	0.11803241126478921	0.25564489251791367	0.18696883852691218	0.21581819696717214	8750.847744125978	0.16577849663437247	0.11803241126478921	0.25564489251791367	0.18696883852691218	0.21581819696717214	8750.863085319113	0.16577786698517083	2					
3	TrialState.COMPLETE	0.3780658267481736	2020-01-13 20:05:33.988114	2020-01-13 22:12:14.550386	7.956119072201602	1.5086677655496004	0.04302005652145385	250.0	36.0	0.012246582215019206	900.0	0.42183413395170544	0.15983301028775906	0.3780658267481736	0.2776856269569107	0.3165536007156702	8549.672827829134	0.23445626068588651	0.15983301028775906	0.3780658267481736	0.2776856269569107	0.3165536007156702	8549.665116669152	0.23445630062484127	0.15983301028775906	0.3780658267481736	0.2776856269569107	0.3165536007156702	8549.680538989116	0.23445622384298884	3					
4	TrialState.COMPLETE	0.2800574904182636	2020-01-13 22:12:14.551853	2020-01-14 00:28:56.254337	2.5005826463008196	7.8675114037083755	0.08488318807293271	450.0	1.0	0.010797746453429397	800.0	0.419964937547134	0.12250041659723379	0.2800574904182636	0.20445550741543075	0.23750208298616898	8512.651037327112	0.17703497826294898	0.12250041659723379	0.2800574904182636	0.20445550741543075	0.23750208298616898	8512.636675137477	0.17703502048706302	0.12250041659723379	0.2800574904182636	0.20445550741543075	0.23750208298616898	8512.665399516747	0.17703493835403014	4					
5	TrialState.COMPLETE	0.316418791312559	2020-01-14 00:28:56.264174	2020-01-14 01:59:33.857259	3.702004489006078	8.755130100651586	0.06405161291492613	250.0	1.0	0.0016024506821544213	700.0	0.4647651610993947	0.08184608120868744	0.316418791312559	0.1548984891406988	0.20877006610009444	9420.47203729934	0.1441449887492092	0.08184608120868744	0.316418791312559	0.1548984891406988	0.20877006610009444	9420.454804060435	0.14414501673557348	0.08184608120868744	0.316418791312559	0.1548984891406988	0.20877006610009444	9420.489270538244	0.1441449618372844	5					
6	TrialState.COMPLETE	0.3081417520156897	2020-01-14 01:59:33.858411	2020-01-14 03:24:03.744045	3.735829966999309	7.9063166189414416	0.07584373325536467	250.0	31.0	0.09121480464611363	600.0	0.4128513418973443	0.12717912399215514	0.3081417520156897	0.20950915232076706	0.24396655044672041	8367.635704946611	0.18641619626166472	0.12717912399215514	0.3081417520156897	0.20950915232076706	0.24396655044672041	8367.629930268033	0.18641619951136365	0.12717912399215514	0.3081417520156897	0.20950915232076706	0.24396655044672041	8367.64147962519	0.18641619304096851	6					
7	TrialState.COMPLETE	0.387003028230927	2020-01-14 03:24:03.745150	2020-01-14 07:44:55.560345	7.936574586429951	3.7563581856804484	0.014219051352051641	450.0	41.0	0.0033454065955083926	2000.0	0.4374211023287588	0.17858015043469766	0.387003028230927	0.2900935332616978	0.3230194392888542	8866.376529378724	0.24823948585801087	0.17858015043469766	0.387003028230927	0.2900935332616978	0.3230194392888542	8866.36590309661	0.24823958238512095	0.17858015043469766	0.387003028230927	0.2900935332616978	0.3230194392888542	8866.387155660837	0.24823940141513362	7				0.38530846710733396	0.38618600768919464
8	TrialState.COMPLETE	0.3866061834521833	2020-01-14 07:44:55.561628	2020-01-14 10:50:27.953451	4.993954050829474	6.894624371700873	0.08733233279974269	250.0	6.0	0.0022483475679100713	1400.0	0.4397324708412461	0.18256691413500048	0.3866061834521833	0.32009499853472695	0.3516105792712709	8913.180036265507	0.25993868910699147	0.18256691413500048	0.3866061834521833	0.32009499853472695	0.3516105792712709	8913.162962782066	0.2599387690313858	0.18256691413500048	0.3866061834521833	0.32009499853472695	0.3516105792712709	8913.19710974895	0.25993861646102984	8				0.38490845661525547	0.3857876365843788
