number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	501	551	601	651	701	751	901	951
0	TrialState.COMPLETE	0.009433603408269618	2020-01-22 09:49:41.027171	2020-01-22 10:15:11.647690	350.0	11.0	0.023524267241510646	800.0	0.5685932425581758	0.004003575640001522	0.009433603408269618	0.005173266385180114	0.00634771197078626	4049.8365452280423	0.007194885702790317	0.004003575640001522	0.009433603408269618	0.005173266385180114	0.00634771197078626	4049.8362813343983	0.007194885736008364	0.004003575640001522	0.009433603408269618	0.005173266385180114	0.00634771197078626	4049.8368091216857	0.007194885669601327	0			0.008715622503708775	0.009146411046445282													
1	TrialState.COMPLETE	0.1276086243295675	2020-01-22 10:15:11.648505	2020-01-22 12:31:27.483701	450.0	81.0	0.005422280353742325	900.0	0.22167248667531456	0.02324047129978318	0.1276086243295675	0.05437457206436152	0.07869558085130662	1567.9652819382632	0.059431865543904186	0.02324047129978318	0.1276086243295675	0.05437457206436152	0.07869558085130662	1567.9627125413672	0.05943186620812683	0.02324047129978318	0.1276086243295675	0.05437457206436152	0.07869558085130662	1567.9678513351591	0.05943186489234726	1													0.12592923167212794	0.1268249077560957			
2	TrialState.COMPLETE	0.28458861120620793	2020-01-22 12:31:27.484558	2020-01-22 13:47:04.961902	50.0	11.0	0.0025091411818346093	700.0	0.10860378317671573	0.07313895545665487	0.28458861120620793	0.15001901936171022	0.20072653961733045	767.5495482901594	0.14179297129339766	0.07313895545665487	0.28458861120620793	0.15001901936171022	0.20072653961733045	767.5489025828293	0.14179297143787195	0.07313895545665487	0.28458861120620793	0.15001901936171022	0.20072653961733045	767.5501939974895	0.1417929711500768	2																	
3	TrialState.COMPLETE	0.039798014378637454	2020-01-22 13:47:04.962794	2020-01-22 14:29:41.003995	350.0	11.0	0.011104182331920091	500.0	0.3484827588925758	0.00812443734388274	0.039798014378637454	0.016578543624075976	0.02402145384000913	2476.468627562859	0.02113681242470332	0.00812443734388274	0.039798014378637454	0.016578543624075976	0.02402145384000913	2476.468421519774	0.02113681247203496	0.00812443734388274	0.039798014378637454	0.016578543624075976	0.02402145384000913	2476.4688336059444	0.021136812377438478	3						0.039520875108002805	0.039676765947734796										
4	TrialState.COMPLETE	0.25468913717801084	2020-01-22 14:29:41.004792	2020-01-22 15:34:50.273481	150.0	91.0	0.0010067118995891662	500.0	0.18590142621459863	0.04459348707893727	0.25468913717801084	0.11404873797889888	0.16609867936468417	1321.7817437469525	0.11076046633807389	0.04459348707893727	0.25468913717801084	0.11404873797889888	0.16609867936468417	1321.780598694926	0.11076046657364462	0.04459348707893727	0.25468913717801084	0.11404873797889888	0.16609867936468417	1321.7828887989792	0.11076046610331593	4																	
5	TrialState.COMPLETE	0.012540551996217864	2020-01-22 15:34:50.274332	2020-01-22 16:02:54.104025	50.0	81.0	0.041835127064849195	900.0	0.4767560707999638	0.0013734696206452455	0.012540551996217864	0.004364943512495721	0.006822516750623563	3391.9419107937597	0.0068837063176599746	0.0013734696206452455	0.012540551996217864	0.004364943512495721	0.006822516750623563	3391.9414543290786	0.006883706467199979	0.0013734696206452455	0.012540551996217864	0.004364943512495721	0.006822516750623563	3391.9423672584403	0.0068837061684582125	5				0.01260413100536346	0.012567043250028529												
6	TrialState.COMPLETE	0.10158673347649726	2020-01-22 16:02:54.104839	2020-01-22 17:01:17.053927	150.0	91.0	0.009660323672358279	600.0	0.22085149144051375	0.01768022574253317	0.10158673347649726	0.041846918344693076	0.061340035064786864	1561.3003965536916	0.04806169290218781	0.01768022574253317	0.10158673347649726	0.041846918344693076	0.061340035064786864	1561.3000140051663	0.048061693095956044	0.01768022574253317	0.10158673347649726	0.041846918344693076	0.061340035064786864	1561.300779102217	0.04806169270919151	6								0.10023520610648307	0.10097854615999087								
7	TrialState.COMPLETE	0.11015776560538629	2020-01-22 17:01:17.054744	2020-01-22 18:18:39.670743	350.0	61.0	0.006654876783646745	900.0	0.24428530995831113	0.020559930008748905	0.11015776560538629	0.0470824299136521	0.0683223021035414	1730.425256285899	0.05223667959064875	0.020559930008748905	0.11016014302560007	0.0470824299136521	0.0683223021035414	1730.4246001179201	0.05223669141937551	0.020559930008748905	0.11015776560538629	0.0470824299136521	0.0683223021035414	1730.425912453878	0.052236668797710245	7									0.1094402601848682	0.10983162677787806							
8	TrialState.COMPLETE	0.22401004222298299	2020-01-22 18:18:39.671588	2020-01-22 18:30:10.266039	350.0	1.0	0.0034861787387690637	500.0	0.10097427638747127	0.06342006162273194	0.22401004222298299	0.12062792422686294	0.15755876982768457	708.366815730914	0.11708733671262168	0.06342006162273194	0.22401004222298299	0.12062792422686294	0.15755876982768457	708.3667622389593	0.11708734222470808	0.06342006162273194	0.22401004222298299	0.12062792422686294	0.15755876982768457	708.3668692228689	0.11708733135758907	8	0.24400890106128037	0.23067632850241546															
