number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_regularizer.weight	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.09269662921348315	2020-03-09 09:14:47.244464	2020-03-09 09:15:15.074763	0.3945258328234915	24.003125955405824	128	1	66	0.0029454020400781493	0.05772172954590769	512	1.0171074710144532	0.0	0.09269662921348315	0.018726591760299626	0.04400749063670412	49.059925093632955	0.04336444825566746	0.0	0.09269662921348315	0.018726591760299626	0.04400749063670412	49.059925093632955	0.04336444825566746	2989428855	150.0	0.0	0.09269662921348315	0.018726591760299626	0.04400749063670412	49.059925093632955	0.04336444825566746	0	COMPLETE
1	0.09410112359550561	2020-03-09 09:15:15.093547	2020-03-09 09:15:59.738776	0.39183673747930103	26.528193227213524	128	1	14	0.0020863368312343967	0.053276706635815574	256	0.9868029905116876	0.0	0.09410112359550561	0.02762172284644195	0.046348314606741575	47.67649812734082	0.04597222392963947	0.0	0.09410112359550561	0.02762172284644195	0.046348314606741575	47.67649812734082	0.04597222392963947	3418033734	150.0	0.0	0.09410112359550561	0.02762172284644195	0.046348314606741575	47.67649812734082	0.04597222392963947	1	COMPLETE
2	0.1306179775280899	2020-03-09 09:15:59.757324	2020-03-09 09:21:30.776891	0.29161463171143165	12.276944506592436	256	2	18	0.007894270611959223	0.050910593806650126	256	0.9236763663326603	0.011235955056179775	0.1306179775280899	0.040262172284644196	0.06367041198501873	44.55383895131086	0.06109764230076953	0.011235955056179775	0.1306179775280899	0.040262172284644196	0.06367041198501873	44.55383895131086	0.06109764230076953	1764140199	750.0	0.011235955056179775	0.1306179775280899	0.040262172284644196	0.06367041198501873	44.55383895131086	0.06109764230076953	2	COMPLETE
3	0.09597378277153558	2020-03-09 09:21:30.795825	2020-03-09 09:23:00.041961	0.5380049738637344	26.605170170799006	128	2	63	0.008593382454259696	0.05299697529537222	128	1.0104996806938438	0.0	0.09597378277153558	0.018258426966292134	0.03838951310861423	48.7560861423221	0.043285183600823146	0.0	0.09597378277153558	0.018258426966292134	0.03838951310861423	48.7560861423221	0.043285183600823146	1222251180	150.0	0.0	0.09597378277153558	0.018258426966292134	0.03838951310861423	48.7560861423221	0.043285183600823146	3	COMPLETE
4	0.08848314606741572	2020-03-09 09:23:00.054180	2020-03-09 09:24:18.133205	0.23850030200181355	27.123693152524446	256	1	58	0.02966388139473533	0.02196454194673122	256	1.0420049655526764	0.005149812734082397	0.08848314606741572	0.025280898876404494	0.040262172284644196	50.27387640449438	0.04561449988986806	0.005149812734082397	0.08848314606741572	0.025280898876404494	0.040262172284644196	50.27387640449438	0.04561449988986806	1929689614	200.0	0.005149812734082397	0.08848314606741572	0.025280898876404494	0.040262172284644196	50.27387640449438	0.04561449988986806	4	COMPLETE
5	0.09129213483146068	2020-03-09 09:24:18.146206	2020-03-09 09:25:53.149069	0.7697515565141339	20.76284495902474	256	1	77	0.02362857965294522	0.010580992618740764	128	1.0131352255478403	0.007022471910112359	0.09129213483146068	0.024344569288389514	0.0449438202247191	48.92977528089887	0.04812547970409723	0.007022471910112359	0.09129213483146068	0.024344569288389514	0.0449438202247191	48.92977528089887	0.04812547970409723	2876471851	150.0	0.007022471910112359	0.09129213483146068	0.024344569288389514	0.0449438202247191	48.92977528089887	0.04812547970409723	5	COMPLETE
6	0.09691011235955056	2020-03-09 09:25:53.161768	2020-03-09 09:26:46.614495	0.944263917404677	12.4468082117679	128	2	47	0.03848257610929289	0.024702024984801008	512	0.990957939844711	0.0009363295880149813	0.09691011235955056	0.025280898876404494	0.048220973782771535	47.831460674157306	0.04688633230517952	0.0009363295880149813	0.09691011235955056	0.025280898876404494	0.048220973782771535	47.831460674157306	0.04688633230517952	3975887194	250.0	0.0009363295880149813	0.09691011235955056	0.025280898876404494	0.048220973782771535	47.831460674157306	0.04688633230517952	6	COMPLETE
7	0.0852059925093633	2020-03-09 09:26:46.627081	2020-03-09 09:27:47.671145	0.7265000072105025	15.746988948066251	64	2	1	0.03363941802806753	0.01100011518429398	128	1.0434511915103912	0.007958801498127341	0.0852059925093633	0.02153558052434457	0.039794007490636704	50.3623595505618	0.046429814759102406	0.007958801498127341	0.0852059925093633	0.02153558052434457	0.039794007490636704	50.3623595505618	0.046429814759102406	2756149850	150.0	0.007958801498127341	0.0852059925093633	0.02153558052434457	0.039794007490636704	50.3623595505618	0.046429814759102406	7	COMPLETE
8	0.175561797752809	2020-03-09 09:27:47.683898	2020-03-09 09:31:39.614881	0.9814582754604815	1.8854797328887476	64	2	64	0.044753034209129426	0.03977446286809019	512	0.8152042513439425	0.013108614232209739	0.175561797752809	0.0650749063670412	0.0997191011235955	39.25983146067416	0.07787658825944195	0.013108614232209739	0.175561797752809	0.0650749063670412	0.0997191011235955	39.25983146067416	0.07787658825944195	3101237074	900.0	0.013108614232209739	0.175561797752809	0.0650749063670412	0.0997191011235955	39.25983146067416	0.07787658825944195	8	COMPLETE
9	0.09129213483146068	2020-03-09 09:31:39.633441	2020-03-09 09:33:47.043697	0.7889414302813011	26.07871968238961	64	2	33	0.018023503336684073	0.04754210475682853	128	1.0305700969449785	0.010299625468164793	0.09129213483146068	0.031835205992509365	0.04915730337078652	49.754447565543074	0.0510414769104733	0.010299625468164793	0.09129213483146068	0.031835205992509365	0.04915730337078652	49.75421348314607	0.0510417702468104	251015087	200.0	0.010299625468164793	0.09129213483146068	0.031835205992509365	0.04915730337078652	49.754681647940075	0.051041193689182314	9	COMPLETE
