number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	model.relation_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	151	201	251	301	351	401	451
0	TrialState.COMPLETE	0.0113609537299339	2020-01-18 15:44:38.693268	2020-01-18 16:58:17.785948	7.645492004856702	150.0	50.0	31.0	0.05656867197729337	500.0	0.8056509229810717	0.0033935316336166197	0.0113609537299339	0.005783758262511804	0.008587110481586403	16331.944906751653	0.006347579718133809	0.0033935316336166197	0.0113609537299339	0.005783758262511804	0.008587110481586403	16331.912476392823	0.006347602944843784	0.0033935316336166197	0.0113609537299339	0.005783758262511804	0.008587110481586403	16331.977337110482	0.0063475572248704775	0	0.010401912181303116	0.010977337110481586					
1	TrialState.COMPLETE	0.0073772426817752595	2020-01-18 16:58:17.787752	2020-01-18 18:08:54.969509	8.254346760130854	50.0	150.0	36.0	0.01091243372803422	1000.0	0.8472034663135249	0.001475448536355052	0.0073772426817752595	0.00398371104815864	0.005075542965061379	17174.45337582625	0.0037721114946284366	0.001475448536355052	0.0073772426817752595	0.00398371104815864	0.005075542965061379	17174.441100094427	0.0037721143024312333	0.001475448536355052	0.0073772426817752595	0.00398371104815864	0.005075542965061379	17174.465651558072	0.0037721087199418706	1	0.006728045325779037	0.00711756373937677					
2	TrialState.COMPLETE	0.016603714195782184	2020-01-18 18:08:54.970359	2020-01-18 20:10:34.127264	4.253520960273629	50.0	50.0	36.0	0.030162850088053247	500.0	0.7554438897374705	0.0038558388416745355	0.016603714195782184	0.009029745042492918	0.012019987409505823	15313.975723953416	0.008396586259289102	0.0038558388416745355	0.016603714195782184	0.009029745042492918	0.012019987409505823	15313.965376141014	0.008396587102788731	0.0038558388416745355	0.016603714195782184	0.009029745042492918	0.012019987409505823	15313.986071765818	0.008396585418002391	2				0.015074868474301902	0.01593484419263456		
3	TrialState.COMPLETE	0.019440509915014163	2020-01-18 20:10:34.128139	2020-01-18 22:49:32.982346	6.069831537121955	250.0	350.0	21.0	0.001501616913767625	800.0	0.8570686096385112	0.000708215297450425	0.019440509915014163	0.010605524079320113	0.014252832861189802	17374.75420502833	0.00794618990371813	0.000708215297450425	0.019440509915014163	0.010605524079320113	0.014252832861189802	17374.74187322946	0.007946190931549888	0.000708215297450425	0.019440509915014163	0.010605524079320113	0.014252832861189802	17374.766536827196	0.007946188882413843	3					0.01792669971671388	0.018767705382436262	
4	TrialState.COMPLETE	0.028171230720805792	2020-01-18 22:49:32.983450	2020-01-19 01:24:53.904408	1.024216858420532	350.0	350.0	21.0	0.005192704867527768	800.0	0.7230543586475244	0.000708215297450425	0.028171230720805792	0.015305319483789739	0.019810355681460497	14656.649797371734	0.011094442042684442	0.000708215297450425	0.028171230720805792	0.015305319483789739	0.019810355681460497	14656.640620081838	0.011094442348897534	0.000708215297450425	0.028171230720805792	0.015305319483789739	0.019810355681460497	14656.65897466163	0.011094441736738493	4				0.026912181303116147	0.02762039660056657		
5	TrialState.COMPLETE	0.012865911237016053	2020-01-19 01:24:53.905467	2020-01-19 03:32:49.075560	3.539856864622208	150.0	50.0	26.0	0.0026794999107038393	800.0	0.85388636751417	0.005173906200818382	0.012865911237016053	0.007928076802014478	0.00965926975133774	17310.22353045326	0.007911560762615802	0.005173906200818382	0.012865911237016053	0.007928076802014478	0.00965926975133774	17310.21801227573	0.007911560937602355	0.005173906200818382	0.012865911237016053	0.007928076802014478	0.00965926975133774	17310.229048630783	0.007911560587771357	5				0.011432618373128289	0.012238845609065156		
6	TrialState.COMPLETE	0.010601097733711049	2020-01-19 03:32:49.076567	2020-01-19 05:15:03.606406	3.1977234243121124	50.0	150.0	16.0	0.014952642758034046	500.0	0.7691322183877484	0.0027443342776203965	0.010601097733711049	0.006440332861189802	0.0077682365439093485	15591.691970609065	0.005943966174317938	0.0027443342776203965	0.010601097733711049	0.006440332861189802	0.0077682365439093485	15591.684733533993	0.005943967823353623	0.0027443342776203965	0.010601097733711049	0.006440332861189802	0.0077682365439093485	15591.699207684136	0.005943964531596313	6			0.009826487252124646	0.010269121813031162			
7	TrialState.COMPLETE	0.016314245244840146	2020-01-19 05:15:03.607238	2020-01-19 06:46:24.601139	8.316586450121097	150.0	450.0	21.0	0.007539669423046408	800.0	0.7975552796146526	0.0020234722784297854	0.016314245244840146	0.008852691218130312	0.0117867260218535	16167.456002124645	0.007461168753476158	0.0020234722784297854	0.016314245244840146	0.008852691218130312	0.0117867260218535	16167.438309388912	0.007461169225553	0.0020234722784297854	0.016314245244840146	0.008852691218130312	0.0117867260218535	16167.47369486038	0.0074611682817560645	7		0.015757790368271955	0.016082389046270067				
8	TrialState.COMPLETE	0.014665958451369216	2020-01-19 06:46:24.602184	2020-01-19 07:48:10.024414	6.072134310431127	150.0	250.0	1.0	0.012410086315837057	700.0	0.7564259495962408	0.0016820113314447592	0.014665958451369216	0.0074657695939565625	0.00994452313503305	15333.801404627007	0.006745491929982185	0.0016820113314447592	0.014665958451369216	0.0074657695939565625	0.00994452313503305	15333.785823890463	0.0067454947595097636	0.0016820113314447592	0.014665958451369216	0.0074657695939565625	0.00994452313503305	15333.81698536355	0.006745489118579728	8	0.01420856940509915	0.01448300283286119					
