number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	model.relation_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	301	351
0	TrialState.COMPLETE	0.000796742209631728	2020-01-06 12:04:39.513840	2020-01-06 12:43:08.215577	0.28783033581213924	23.628834643934642	50.0	250.0	170.0	0.08044508017534938	700.0	1.071635505814069	0.000708215297450425	0.000796742209631728	0.000708215297450425	0.000708215297450425	21726.389009383853	0.0009437934401399156	0.000708215297450425	0.000796742209631728	0.000708215297450425	0.000708215297450425	21726.375929532576	0.0009437935921939238	0.000708215297450425	0.000796742209631728	0.000708215297450425	0.000708215297450425	21726.40208923513	0.0009437932881738876	0	0.000708215297450425	0.000767233238904627		
1	TrialState.COMPLETE	0.0009295325779036828	2020-01-06 12:43:08.216534	2020-01-06 13:48:34.949372	0.6664354963416369	9.560961736327123	450.0	350.0	150.0	0.003288226180310829	600.0	1.0537331163828767	0.000708215297450425	0.0009295325779036828	0.000796742209631728	0.0008410056657223796	21363.18254249292	0.0009397775547940512	0.000708215297450425	0.0009295325779036828	0.000796742209631728	0.0008410056657223796	21363.16846671388	0.0009397778793352905	0.000708215297450425	0.0009295325779036828	0.000796742209631728	0.0008410056657223796	21363.196618271955	0.0009397772306365586	1	0.0009737960339943342	0.0009442870632672333		
2	TrialState.COMPLETE	0.028033522190745987	2020-01-06 13:48:34.950458	2020-01-06 16:32:41.466280	0.20096088709833915	1.9629509125195792	350.0	450.0	70.0	0.03077150309669646	700.0	0.7017091881421702	0.0007475605917532264	0.028033522190745987	0.011980642115203022	0.018551306263770852	14224.381924771797	0.010009616748867165	0.0007475605917532264	0.028033522190745987	0.011980642115203022	0.018551306263770852	14224.373190116463	0.010009617655677202	0.0007475605917532264	0.028033522190745987	0.011980642115203022	0.018551306263770852	14224.390659427132	0.010009615844447156	2			0.02658336705787131	0.027399079320113314
3	TrialState.COMPLETE	0.0011951133144475921	2020-01-06 16:32:41.467620	2020-01-06 17:31:54.438533	0.5701652945288741	7.39289765148214	250.0	350.0	200.0	0.05427712280974921	600.0	1.111676164970795	0.000708215297450425	0.0011951133144475921	0.0008410056657223796	0.0009295325779036828	22537.895848087817	0.001052586854854216	0.000708215297450425	0.0011951133144475921	0.0008410056657223796	0.0009295325779036828	22537.8840740085	0.001052587159448085	0.000708215297450425	0.0011951133144475921	0.0008410056657223796	0.0009295325779036828	22537.90762216714	0.0010525865506769076	3	0.000796742209631728	0.0010623229461756375		
4	TrialState.COMPLETE	0.0009737960339943342	2020-01-06 17:31:54.439408	2020-01-06 18:38:48.037844	0.8006224974897691	10.514073822247001	450.0	350.0	160.0	0.006674358817895972	800.0	1.062232131199149	0.000708215297450425	0.0009737960339943342	0.000796742209631728	0.0009295325779036828	21535.52129072238	0.0010059993396771718	0.000708215297450425	0.0009737960339943342	0.000796742209631728	0.0009295325779036828	21535.51066749292	0.0010059998231631486	0.000708215297450425	0.0009737960339943342	0.000796742209631728	0.0009295325779036828	21535.53191395184	0.0010059988573897073	4	0.0010623229461756375	0.0010033050047214354		
5	TrialState.COMPLETE	0.0013721671388101982	2020-01-06 18:38:48.038744	2020-01-06 19:14:30.791014	0.9442645414377533	11.577546287957071	150.0	150.0	120.0	0.046666390600903114	900.0	1.081971252109968	0.000708215297450425	0.0013721671388101982	0.000708215297450425	0.0008852691218130312	21936.04992917847	0.001060672922834536	0.000708215297450425	0.0013721671388101982	0.000708215297450425	0.0008852691218130312	21936.03837641643	0.0010606730614689413	0.000708215297450425	0.0013721671388101982	0.000708215297450425	0.0008852691218130312	21936.06148194051	0.0010606727842664971	5	0.0013279036827195468	0.0013574126534466478		
6	TrialState.COMPLETE	0.0002655807365439094	2020-01-06 19:14:30.791883	2020-01-06 19:58:36.544662	0.9912392996916849	27.403085454505412	350.0	50.0	90.0	0.009560857346754204	700.0	1.0177902129179808	0.0	0.0002655807365439094	4.426345609065156e-05	0.00017705382436260624	20634.38869953966	0.0002643700272581692	0.0	0.0002655807365439094	4.426345609065156e-05	0.00017705382436260624	20634.37309667139	0.0002643701996902158	0.0	0.0002655807365439094	4.426345609065156e-05	0.00017705382436260624	20634.404302407933	0.00026436985489707384	6	0.0003541076487252125	0.0002950897072710104		
7	TrialState.COMPLETE	0.0009737960339943342	2020-01-06 19:58:36.545546	2020-01-06 20:52:49.247699	0.797498426316626	7.113349422670976	450.0	150.0	140.0	0.03852839451585384	500.0	1.0312591953801797	0.0005754249291784702	0.0009737960339943342	0.0006639518413597734	0.000708215297450425	20907.49229815864	0.0008980151633039463	0.0005754249291784702	0.0009737960339943342	0.0006639518413597734	0.000708215297450425	20907.475610835692	0.0008980153385665648	0.0005754249291784702	0.0009737960339943342	0.0006639518413597734	0.000708215297450425	20907.508985481585	0.0008980149880981691	7	0.0010623229461756375	0.0010033050047214354		
8	TrialState.COMPLETE	0.0010180594900849858	2020-01-06 20:52:49.248599	2020-01-06 21:39:24.371956	0.9773012155883786	14.057807105462997	350.0	250.0	80.0	0.008787235587649498	700.0	1.0524033242948099	0.000708215297450425	0.0010180594900849858	0.0009737960339943342	0.0009737960339943342	21335.941395184134	0.001050615426581819	0.000708215297450425	0.0010180594900849858	0.0009737960339943342	0.0009737960339943342	21335.929886685553	0.0010506155672643251	0.000708215297450425	0.0010180594900849858	0.0009737960339943342	0.0009737960339943342	21335.95290368272	0.0010506152859616948	8	0.0009737960339943342	0.0010033050047214354		
