number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs
					loss.adversarial_temperature	loss.margin	model.c_max	model.c_min	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	random_seed	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number
0	TrialState.COMPLETE	0.30309254821408194	2020-01-19 02:01:37.226865	2020-01-19 14:19:39.142951	0.9844851495838446	12.129717418096408	5.541990600001748	0.036675768580487135	450.0	90.0	0.014589254489433412	1300.0	0.10470003952200851	0.08578683099395185	0.30309254821408194	0.1694054547529385	0.2204724409448819	738.7494151546274	0.15593826444188114	0.08578683099395185	0.30309254821408194	0.1694054547529385	0.2204724409448819	738.7478032637225	0.15593847872999844	4129753873	0.08578683099395185	0.30309254821408194	0.1694054547529385	0.2204724409448819	738.7510270455324	0.15593806566136414	0
1	TrialState.COMPLETE	0.24392331393358438	2020-01-19 14:19:39.143852	2020-01-19 19:04:06.546801	0.6938876250336637	18.476784810759924	8.43106622025735	0.03130248282590702	450.0	10.0	0.05393935610384304	700.0	0.1032239505743102	0.05945452470615086	0.24392331393358438	0.12432956749971472	0.16946251283806915	727.1662102019857	0.11971184418102884	0.05945452470615086	0.24392331393358438	0.12432956749971472	0.16946251283806915	727.1647552208148	0.11971197142117394	3572585169	0.05945452470615086	0.24392331393358438	0.12432956749971472	0.16946251283806915	727.1676651831565	0.11971172405032807	1
2	TrialState.COMPLETE	0.23416638137624102	2020-01-19 19:04:06.547660	2020-01-20 00:16:48.530021	0.46401398415486994	7.038938442219963	1.8038396515635076	0.0345651381916314	150.0	10.0	0.0316810594588088	800.0	0.10948859098170946	0.0734337555631633	0.23416638137624102	0.13642588154741528	0.17214424283921032	769.7557200730344	0.12809370004365264	0.0734337555631633	0.23416638137624102	0.13642588154741528	0.17214424283921032	769.7533378979801	0.1280938247244119	2565014740	0.0734337555631633	0.23416638137624102	0.13642588154741528	0.17214424283921032	769.7581022480886	0.12809358176675315	2
3	TrialState.COMPLETE	0.26084103617482596	2020-01-20 00:16:48.530939	2020-01-20 11:45:08.048530	0.8435564608673957	19.589118053979742	6.8216619731597525	0.07982599255289811	250.0	40.0	0.02946805036155845	1700.0	0.1179315856501708	0.060424512153372134	0.26084103617482596	0.1304062535661303	0.17879150975693256	830.7493866255849	0.12463919653064714	0.060424512153372134	0.26084103617482596	0.1304062535661303	0.17879150975693256	830.7474609152117	0.12463922472193226	1309104837	0.060424512153372134	0.26084103617482596	0.1304062535661303	0.17879150975693256	830.751312335958	0.12463916895491174	3
