number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.9180711610486891	2020-05-15 23:15:55.983255	2020-05-16 01:21:30.129259	0.2872583003166447	24.73895927349559	256	0.48992176182674696	100	76	0.0015905898219252695	256	0.09468968633966945	0.3099250936329588	0.9180711610486891	0.6193820224719101	0.7668539325842697	4.557116104868914	0.5038049245487939	0.3099250936329588	0.9180711610486891	0.6193820224719101	0.7668539325842697	4.557116104868914	0.5038049245487939	3399026988	750	0.3099250936329588	0.9180711610486891	0.6193820224719101	0.7668539325842697	4.557116104868914	0.5038049245487939	0	COMPLETE
1	0.9054307116104869	2020-05-16 01:21:30.307406	2020-05-16 01:34:37.032550	0.6383237325146185	6.1415757288998725	64	0.2542628632524414	350	52	0.02812644603635348	512	0.10108353466507089	0.2846441947565543	0.9054307116104869	0.6175093632958801	0.775749063670412	4.891385767790262	0.48848218335047616	0.2846441947565543	0.9054307116104869	0.6175093632958801	0.775749063670412	4.891385767790262	0.48848218335047616	3583524685	250	0.2846441947565543	0.9054307116104869	0.6175093632958801	0.775749063670412	4.891385767790262	0.48848218335047616	1	COMPLETE
2	0.9190074906367042	2020-05-16 01:34:37.135467	2020-05-16 02:34:31.457632	0.4104833832199821	8.64537499450942	128	0.2740639197940289	350	98	0.00513655048808358	512	0.09474677987804825	0.30664794007490637	0.9190074906367042	0.6282771535580525	0.7860486891385767	4.551498127340824	0.5056198639118479	0.30664794007490637	0.9190074906367042	0.6282771535580525	0.7860486891385767	4.551498127340824	0.5056198639118479	591909809	300	0.30664794007490637	0.9190074906367042	0.6282771535580525	0.7860486891385767	4.551498127340824	0.5056198639118479	2	COMPLETE
3	0.924625468164794	2020-05-16 02:34:31.565675	2020-05-16 02:42:57.597473	0.3791524936404943	29.93612399711471	256	0.21566608376225124	350	9	0.014846952208586346	256	0.09008218775492872	0.3258426966292135	0.924625468164794	0.6437265917602997	0.7851123595505618	4.334269662921348	0.5200606850823046	0.3258426966292135	0.924625468164794	0.6437265917602997	0.7851123595505618	4.334269662921348	0.5200606850823046	380601247	200	0.3258426966292135	0.924625468164794	0.6437265917602997	0.7851123595505618	4.334269662921348	0.5200606850823046	3	COMPLETE
4	0.9115168539325843	2020-05-16 02:42:57.709712	2020-05-16 03:10:29.702784	0.14548004370697804	9.334396924737923	256	0.29628538874911	50	78	0.015331332872301815	256	0.09928881015091409	0.2808988764044944	0.9115168539325843	0.6048689138576779	0.7574906367041199	4.7799625468164795	0.48432556065401516	0.2808988764044944	0.9115168539325843	0.6048689138576779	0.7574906367041199	4.7799625468164795	0.48432556065401516	1945412591	350	0.2808988764044944	0.9115168539325843	0.6048689138576779	0.7574906367041199	4.7799625468164795	0.48432556065401516	4	COMPLETE
5	0.9185393258426966	2020-05-16 03:10:29.801525	2020-05-16 03:14:00.515960	0.6822697509990172	15.177064268354808	256	0.17301105650241466	200	2	0.03466543337701906	512	0.09650993805417045	0.30664794007490637	0.9185393258426966	0.6072097378277154	0.7635767790262172	4.646067415730337	0.5006404440710489	0.30664794007490637	0.9185393258426966	0.6072097378277154	0.7635767790262172	4.646067415730337	0.5006404440710489	4241475638	350	0.30664794007490637	0.9185393258426966	0.6072097378277154	0.7635767790262172	4.646067415730337	0.5006404440710489	5	COMPLETE
6	0.8984082397003745	2020-05-16 03:14:00.619573	2020-05-16 06:24:03.077719	0.6273817708587083	18.15117626322403	128	0.23799048389235053	450	81	0.00106654064110687	512	0.10623803499245438	0.29307116104868913	0.8984082397003745	0.5969101123595506	0.7420411985018727	5.110955056179775	0.4848940680015507	0.29307116104868913	0.8984082397003745	0.5969101123595506	0.7420411985018727	5.110955056179775	0.4848940680015507	83104070	800	0.29307116104868913	0.8984082397003745	0.5969101123595506	0.7420411985018727	5.110955056179775	0.4848940680015507	6	COMPLETE
7	0.9021535580524345	2020-05-16 06:24:03.168760	2020-05-16 06:51:11.490142	0.5643312988598825	3.5396663066356955	128	0.32097590311867086	500	52	0.013289297396787202	128	0.09944069278792719	0.350187265917603	0.9021535580524345	0.6343632958801498	0.7654494382022472	4.803838951310861	0.5310679332501292	0.350187265917603	0.9021535580524345	0.6343632958801498	0.7654494382022472	4.803838951310861	0.5310679332501292	231077010	200	0.350187265917603	0.9021535580524345	0.6343632958801498	0.7654494382022472	4.803838951310861	0.5310679332501292	7	COMPLETE
8	0.9222846441947565	2020-05-16 06:51:11.586553	2020-05-16 07:08:00.406337	0.8059903113486401	4.448016722127669	64	0.328943841304398	400	80	0.019973864142476778	256	0.09254210190463825	0.32256554307116103	0.9222846441947565	0.6638576779026217	0.7991573033707865	4.468632958801498	0.5271008343930693	0.32256554307116103	0.9222846441947565	0.6638576779026217	0.7991573033707865	4.468632958801498	0.5271008343930693	1391975365	200	0.32256554307116103	0.9222846441947565	0.6638576779026217	0.7991573033707865	4.468632958801498	0.5271008343930693	8	COMPLETE
9	0.923689138576779	2020-05-16 07:08:00.516869	2020-05-16 07:12:11.830514	0.29781974054702687	7.0887313799961955	64	0.19321621520162893	350	13	0.021024146607647516	512	0.08690944490500827	0.3684456928838951	0.923689138576779	0.6811797752808989	0.8033707865168539	4.207397003745318	0.5548434690997385	0.3684456928838951	0.923689138576779	0.6811797752808989	0.8033707865168539	4.207397003745318	0.5548434690997385	3425861092	250	0.3684456928838951	0.923689138576779	0.6811797752808989	0.8033707865168539	4.207397003745318	0.5548434690997385	9	COMPLETE
10	0.674625468164794	2020-05-16 07:12:11.968008	2020-05-16 07:38:36.107837	0.17382079936199402	15.62789572317013	64	0.10473459386208064	500	60	0.0875644772190355	512	0.18487947489124504	0.10252808988764045	0.674625468164794	0.27668539325842695	0.41713483146067415	8.966760299625468	0.26362808476209937	0.14700374531835206	0.7088014981273408	0.35908239700374533	0.49953183520599254	8.27059925093633	0.3144986563636476	3281858121	300	0.10252808988764045	0.6296816479400749	0.27153558052434457	0.3960674157303371	9.662921348314606	0.25531886025596867	10	COMPLETE
11	0.8764044943820225	2020-05-16 07:38:36.212250	2020-05-16 08:22:16.877648	0.552993254542449	23.55229150588932	256	0.2504328460380865	100	32	0.0012106858154087932	128	0.11677045096671174	0.26919475655430714	0.8764044943820225	0.5632022471910112	0.7055243445692884	5.607677902621723	0.46117312569191204	0.26919475655430714	0.8764044943820225	0.5632022471910112	0.7055243445692884	5.607677902621723	0.46117312569191204	211162832	550	0.26919475655430714	0.8764044943820225	0.5632022471910112	0.7055243445692884	5.607677902621723	0.46117312569191204	11	COMPLETE
12	0.8787453183520599	2020-05-16 08:22:17.007000	2020-05-16 15:29:27.085327	0.2030053972518377	7.862190465225014	256	0.190738338298025	500	91	0.004028725379729588	256	0.11406187991234945	0.25702247191011235	0.8787453183520599	0.5435393258426966	0.699438202247191	5.470505617977528	0.4481835518003967	0.25702247191011235	0.8787453183520599	0.5435393258426966	0.699438202247191	5.470505617977528	0.4481835518003967	1244770745	700	0.25702247191011235	0.8787453183520599	0.5435393258426966	0.699438202247191	5.470505617977528	0.4481835518003967	12	COMPLETE
13	0.8679775280898876	2020-05-16 15:29:27.208328	2020-05-16 15:33:18.674388	0.6443264300575898	8.73078266274665	256	0.11668840460119045	200	7	0.014481322239133433	512	0.11439085018835013	0.2954119850187266	0.8679775280898876	0.5828651685393258	0.723314606741573	5.532771535580524	0.48125099700553037	0.2954119850187266	0.8679775280898876	0.5828651685393258	0.723314606741573	5.532771535580524	0.48125099700553037	2737313212	200	0.2954119850187266	0.8679775280898876	0.5828651685393258	0.723314606741573	5.532771535580524	0.48125099700553037	13	COMPLETE
14	0.901685393258427	2020-05-16 15:33:18.756570	2020-05-16 16:02:11.140806	0.9390810446146273	5.022826236445965	256	0.14288399527107387	150	33	0.011495458032243966	128	0.10445613534999	0.28558052434456926	0.901685393258427	0.600187265917603	0.7490636704119851	5.050561797752809	0.4804019555017624	0.28558052434456926	0.901685393258427	0.600187265917603	0.7490636704119851	5.050561797752809	0.4804019555017624	3298149578	400	0.28558052434456926	0.901685393258427	0.600187265917603	0.7490636704119851	5.050561797752809	0.4804019555017624	14	COMPLETE
15	0.9105805243445693	2020-05-16 16:02:11.296780	2020-05-16 16:52:24.790188	0.8089380247958525	16.30007123380981	128	0.3116934177750629	500	74	0.03156354031621187	512	0.09784258587097519	0.30290262172284643	0.9105805243445693	0.6198501872659176	0.7715355805243446	4.707865168539326	0.5014583809451744	0.30290262172284643	0.9105805243445693	0.6198501872659176	0.7715355805243446	4.707865168539326	0.5014583809451744	2512786540	250	0.30290262172284643	0.9105805243445693	0.6198501872659176	0.7715355805243446	4.707865168539326	0.5014583809451744	15	COMPLETE
16	0.9339887640449438	2020-05-16 16:52:24.893986	2020-05-16 17:16:40.879848	0.21456555902197005	29.359686460610117	64	0.2724233106082461	400	81	0.009784288328377033	128	0.08589010997780003	0.3913857677902622	0.9339887640449438	0.6970973782771536	0.826310861423221	4.147471910112359	0.5732742313261042	0.3913857677902622	0.9339887640449438	0.6970973782771536	0.826310861423221	4.147471910112359	0.5732742313261042	2228657702	250	0.3913857677902622	0.9339887640449438	0.6970973782771536	0.826310861423221	4.147471910112359	0.5732742313261042	16	COMPLETE
