number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.017351274787535412	2020-05-11 20:36:46.944111	2020-05-11 20:59:50.669403	128	0.20405932395619164	0.12306579350604202	35	0.321623464203097	0.06495075044085406	128	0.006296720475905462	0.7525846073465557	0.007082152974504249	0.017351274787535412	0.011154390934844192	0.013456090651558074	15255.879249291786	0.011268584097529318	0.007259206798866855	0.017351274787535412	0.0113314447592068	0.01363314447592068	15255.87376062323	0.011427000744289513	201358224	150	0.007082152974504249	0.017174220963172806	0.011154390934844192	0.013456090651558074	15255.88473796034	0.011259783109389333	0	COMPLETE
1	0.4943342776203966	2020-05-11 20:59:51.228065	2020-05-11 22:57:00.269177	128	0.03211307094899152	0.44606090622719	25	0.3080385471406709	0.005214660757105356	256	0.0025409056544795526	0.15464663221169828	0.27744334277620397	0.4943342776203966	0.40421388101983	0.4461756373937677	3134.8282577903683	0.3551435166531704	0.27744334277620397	0.4943342776203966	0.40421388101983	0.4461756373937677	3134.8259560906517	0.35514354689331235	664384459	750	0.27744334277620397	0.4943342776203966	0.40421388101983	0.4461756373937677	3134.830559490085	0.3551434869600421	1	COMPLETE
2	0.48654390934844194	2020-05-11 22:57:00.321910	2020-05-12 00:30:56.544233	128	0.03559839405214177	0.22875463010480496	27	0.20760870422258398	0.0021437804051349855	512	0.01986560280418848	0.2441301063513325	0.3029390934844193	0.48654390934844194	0.41359773371104813	0.45042492917847027	4949.202195467422	0.36909039383274905	0.3029390934844193	0.48654390934844194	0.41359773371104813	0.45042492917847027	4949.2011331444755	0.36909039475206057	3830029889	650	0.3029390934844193	0.48654390934844194	0.41359773371104813	0.45042492917847027	4949.203257790368	0.3690903929161354	2	COMPLETE
3	0.043909348441926344	2020-05-12 00:30:56.595116	2020-05-12 01:20:06.585032	64	0.02104647360048645	0.00484286236173237	17	0.19447149966052252	0.038751696770089196	128	0.08629671310956072	0.6922479874629899	0.016288951841359773	0.043909348441926344	0.029390934844192633	0.03541076487252125	14034.982560198301	0.026457505125951176	0.016288951841359773	0.043909348441926344	0.029390934844192633	0.03541076487252125	14034.974327195467	0.026457505304799164	2044135645	350	0.016288951841359773	0.043909348441926344	0.029390934844192633	0.03541076487252125	14034.990793201134	0.026457504947155465	3	COMPLETE
4	0.07507082152974505	2020-05-12 01:20:06.628145	2020-05-12 02:57:55.148756	64	0.020869423626629302	0.1977600198675577	21	0.2983503859114761	0.018971390400499912	128	0.0013520953369300327	0.5019646486989541	0.030276203966005666	0.07507082152974505	0.054178470254957506	0.0626770538243626	10175.40748937677	0.04690711562379474	0.030276203966005666	0.07507082152974505	0.054178470254957506	0.0626770538243626	10175.40385977337	0.046907116073761926	3503561861	650	0.030276203966005666	0.07507082152974505	0.054178470254957506	0.0626770538243626	10175.41111898017	0.04690711517444285	4	COMPLETE
5	0.02531869688385269	2020-05-12 02:57:55.184289	2020-05-12 03:22:10.310136	256	0.05864875325175589	0.028898675989250944	19	0.37343406310525157	0.08835873440196225	256	0.1770409985861556	0.7079937697239385	0.006728045325779037	0.02531869688385269	0.01451841359773371	0.018767705382436262	14352.019918555241	0.013880030912155861	0.006728045325779037	0.02531869688385269	0.01451841359773371	0.018767705382436262	14352.008852691219	0.013880031008362102	2374847433	150	0.006728045325779037	0.02531869688385269	0.01451841359773371	0.018767705382436262	14352.030984419263	0.013880030815991595	5	COMPLETE
6	0.07046742209631728	2020-05-12 03:22:10.385040	2020-05-12 04:51:44.949483	256	0.2532351865052726	0.1239481522940441	61	0.4354868113006373	0.015081719086897689	128	0.8952966834788929	0.817389754387561	0.02779745042492918	0.07046742209631728	0.04461756373937677	0.05524079320113314	16570.837464589236	0.041884159517369166	0.02779745042492918	0.07046742209631728	0.04461756373937677	0.05524079320113314	16570.81161473088	0.041884160132518305	1863938390	350	0.02779745042492918	0.07046742209631728	0.04461756373937677	0.05524079320113314	16570.863314447593	0.04188415890308125	6	COMPLETE
7	0.4068696883852691	2020-05-12 04:51:44.983240	2020-05-12 06:22:40.209363	256	0.39332729075375245	0.20381257923040103	55	0.21689511648337667	0.005985258459542496	512	0.0014969147984311055	0.3483625837585098	0.23406515580736545	0.4068696883852691	0.3351628895184136	0.37075070821529743	7061.871724504249	0.2955065761960569	0.23406515580736545	0.4068696883852691	0.3351628895184136	0.37075070821529743	7061.870219546742	0.2955065762077381	3845008261	400	0.23406515580736545	0.4068696883852691	0.3351628895184136	0.37075070821529743	7061.873229461757	0.295506576184378	7	COMPLETE
8	0.049043909348441925	2020-05-12 06:22:40.251957	2020-05-12 07:21:54.174564	128	0.4831359043708978	0.11985943661588405	56	0.41709721412734235	0.04813840978263673	256	0.4050377883869765	0.7650759252122007	0.01504957507082153	0.049043909348441925	0.02762039660056657	0.03629603399433428	15509.96954674221	0.026517442446098966	0.01504957507082153	0.049043909348441925	0.02762039660056657	0.03629603399433428	15509.956090651558	0.026517442959222804	3621795994	350	0.01504957507082153	0.049043909348441925	0.02762039660056657	0.03629603399433428	15509.983002832862	0.026517441933739783	8	COMPLETE
9	0.4798158640226629	2020-05-12 07:21:54.210343	2020-05-12 09:32:11.180052	256	0.1162435948739659	0.26474296374475004	49	0.33345326019399385	0.008194528185893288	512	0.1024170931861409	0.23231716733960667	0.254957507082153	0.4798158640226629	0.39624645892351273	0.4369688385269122	4709.814447592068	0.3377813972729156	0.254957507082153	0.4798158640226629	0.39624645892351273	0.4369688385269122	4709.812677053825	0.33778139728781925	1670262945	600	0.254957507082153	0.4798158640226629	0.39624645892351273	0.4369688385269122	4709.816218130311	0.3377813972580143	9	COMPLETE
10	0.01363314447592068	2020-05-12 09:32:11.220897	2020-05-12 10:07:31.246968	256	0.04778994138325138	0.49661838323442087	51	0.41318451980766663	0.061764244119984414	256	0.02715459120066979	0.7406442551683017	0.0047804532577903685	0.01363314447592068	0.008321529745042492	0.010446175637393768	15014.033817280453	0.008490008992733333	0.004957507082152974	0.013987252124645893	0.008675637393767706	0.01080028328611898	15014.025495750708	0.008727215745381546	3629287703	150	0.0047804532577903685	0.01363314447592068	0.008321529745042492	0.010446175637393768	15014.042138810199	0.008476710191049239	10	COMPLETE
11	0.209985835694051	2020-05-12 10:07:31.291779	2020-05-12 10:50:05.660006	256	0.03545059522802674	0.4884785524321659	36	0.30987539543471343	0.005724341604743095	128	0.8344419040344084	0.39887095772665476	0.061260623229461755	0.209985835694051	0.13686260623229463	0.16873229461756373	8086.167935552408	0.11288230774861815	0.061260623229461755	0.209985835694051	0.13686260623229463	0.16873229461756373	8086.164660056657	0.11288230780057451	3065130313	200	0.061260623229461755	0.209985835694051	0.13686260623229463	0.16873229461756373	8086.1712110481585	0.11288230769667744	11	COMPLETE
