number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	501	551	901	951
0	TrialState.COMPLETE	0.0011508498583569404	2020-01-06 11:15:33.412015	2020-01-06 11:28:35.663640	0.28625606045967966	6.8177530993501385	350.0	80.0	0.09544771769217807	700.0	0.9548071057874195	0.00017705382436260624	0.0011508498583569404	0.000796742209631728	0.0008852691218130312	19357.04871193343	0.0008199253680667363	0.00017705382436260624	0.0011508498583569404	0.000796742209631728	0.0008852691218130312	19357.045901203965	0.0008199253782857698	0.00017705382436260624	0.0011508498583569404	0.000796742209631728	0.0008852691218130312	19357.05152266289	0.0008199253578491031	0	0.0010623229461756375	0.0011213408876298394											
1	TrialState.COMPLETE	0.0007524787535410764	2020-01-06 11:28:35.664688	2020-01-06 11:46:57.141213	0.2618579312321653	22.351088271942583	450.0	130.0	0.08318978626890124	700.0	0.9914814646258321	0.0001327903682719547	0.0007524787535410764	0.0002655807365439094	0.0003541076487252125	20100.416032223795	0.000532026567150392	0.0001327903682719547	0.0007524787535410764	0.0002655807365439094	0.0003541076487252125	20100.40828611898	0.0005320265977455436	0.0001327903682719547	0.0007524787535410764	0.0002655807365439094	0.0003541076487252125	20100.42377832861	0.0005320265365619137	1	0.0009737960339943342	0.0008262511803588291											
2	TrialState.COMPLETE	0.00141643059490085	2020-01-06 11:46:57.142312	2020-01-06 12:00:39.618036	0.22545268940827878	8.855437476481631	250.0	150.0	0.08708014691820995	700.0	0.9140004090896703	0.0002655807365439094	0.00141643059490085	0.0007524787535410764	0.0008410056657223796	18530.059910587817	0.0009050997796044338	0.0002655807365439094	0.00141643059490085	0.0007524787535410764	0.0008410056657223796	18530.055329320112	0.0009051002618135971	0.0002655807365439094	0.00141643059490085	0.0007524787535410764	0.0008410056657223796	18530.064491855523	0.0009050992990176521	2	0.0008852691218130312	0.0012393767705382436											
3	TrialState.COMPLETE	0.06333698171516869	2020-01-06 12:00:39.619167	2020-01-06 12:36:36.205959	0.2585948891156805	4.176210048376156	150.0	40.0	0.009743869213217711	700.0	0.3269188288962019	0.0062129796549060005	0.06333698171516869	0.04118915786762812	0.049896986865825395	6627.1592277234095	0.029472834795896356	0.0062129796549060005	0.06333698171516869	0.04118915786762812	0.049896986865825395	6627.158768993047	0.02947283480203747	0.0062129796549060005	0.06333698171516869	0.04118915786762812	0.049896986865825395	6627.159686453773	0.02947283478975688	3								0.06210654705697199	0.06278328611898017				
4	TrialState.COMPLETE	0.024767862763613473	2020-01-06 12:36:36.207195	2020-01-06 13:08:07.613160	0.846748868577463	27.93445368706616	150.0	100.0	0.0071236975383666655	1000.0	0.4367217590644195	0.011488825936418005	0.024767862763613473	0.016603714195782184	0.020007082152974504	8853.216841753227	0.01659021570143571	0.011488825936418005	0.024767862763613473	0.016603714195782184	0.020007082152974504	8853.21519908719	0.016590215762714106	0.011488825936418005	0.024767862763613473	0.016603714195782184	0.020007082152974504	8853.218484419263	0.016590215640232688	4						0.024256373937677055	0.02454408640226629						
5	TrialState.COMPLETE	0.021246458923512748	2020-01-06 13:08:07.614358	2020-01-06 14:29:44.770305	0.9693658469856896	20.74503626301927	350.0	190.0	0.006833145681157809	600.0	0.4683759725315792	0.003219160442956477	0.021246458923512748	0.012941024980685037	0.016433814061292816	9495.072672547	0.010546600377048822	0.003219160442956477	0.021246458923512748	0.012941024980685037	0.016433814061292816	9495.071465361834	0.010546600387931279	0.003219160442956477	0.021246458923512748	0.012941024980685037	0.016433814061292816	9495.073879732166	0.010546600366168772	5								0.019475920679886686	0.02044971671388102				
6	TrialState.COMPLETE	0.2077882852857857	2020-01-06 14:29:44.771843	2020-01-06 16:19:31.343269	0.1937895986442563	22.493436904345728	350.0	110.0	0.0018413338909731044	800.0	0.2714431829110715	0.09553616063989336	0.2077882852857857	0.1444446758873521	0.16900308281953008	5502.025985252458	0.13460651780001362	0.09553616063989336	0.2077882852857857	0.1444446758873521	0.16900308281953008	5502.024860439927	0.13460651791798636	0.09553616063989336	0.2077882852857857	0.1444446758873521	0.16900308281953008	5502.027110064989	0.13460651768224427	6													
7	TrialState.COMPLETE	0.03829674220963173	2020-01-06 16:19:31.345000	2020-01-06 17:49:28.740260	0.9185034654877449	29.012196654582716	450.0	200.0	0.0035773175934937333	600.0	0.3410902446519704	0.009012039660056656	0.03829674220963173	0.023495042492917846	0.029284702549575072	6914.305240793201	0.020730373424029187	0.009012039660056656	0.03829674220963173	0.023495042492917846	0.029284702549575072	6914.3035587818695	0.020730373436566692	0.009012039660056656	0.03829674220963173	0.023495042492917846	0.029284702549575072	6914.306922804532	0.020730373411494626	7							0.036096848441926344	0.037319011646207115					
8	TrialState.COMPLETE	0.3654390934844193	2020-01-06 17:49:28.743150	2020-01-06 19:00:23.066122	0.8725441200279666	26.37018500464654	150.0	100.0	0.0010168756984465827	800.0	0.32743132308558354	0.21082944509248458	0.3654390934844193	0.2972212964505916	0.32943467755374106	6636.822071321447	0.26565801770841796	0.21082944509248458	0.3654390934844193	0.2972212964505916	0.32943467755374106	6636.819873771038	0.26565801781287185	0.21082944509248458	0.3654390934844193	0.2972212964505916	0.32943467755374106	6636.824268871855	0.2656580176041045	8													
