model	loss	training_approach	inverse_relations	model_bytes	hits@10
MuRE	SPL	sLCWA	True	64110136	0.668506623845845
ConvKB	NSSAL	sLCWA	False	31547684	0.529205138498595
DistMult	SPL	sLCWA	True	31543552	0.5056202328382176
TransE	BCEL	sLCWA	False	31534080	0.1466278602970694
