model	loss	training_approach	inverse_relations	hits@10	model_bytes
RotatE	SPL	LCWA	True	0.6017441860465116	83109888
RotatE	BCEL	LCWA	True	0.5928522571819426	20777472
ConvE	SPL	LCWA	True	0.530608755129959	11112100
ConvKB	BCEL	sLCWA	False	0.4186046511627907	5211396
ConvKB	NSSAL	sLCWA	False	0.2009233926128591	2599044
