model	loss	training_approach	inverse_relations	training_time	hits@10
TuckER	BCEL	LCWA	True	17643.151554584503	0.5285742244838046
RotatE	NSSAL	sLCWA	False	3825.477457284928	0.4975046482043253
TransE	MRL	sLCWA	False	1061.7987740039823	0.4642332909286623
TransE	NSSAL	sLCWA	False	879.3398370742798	0.4215676680692827
TransH	NSSAL	sLCWA	False	662.8034818172455	0.253082493394657
