model	loss	training_approach	inverse_relations	hits@10	training_time
RotatE	NSSAL	sLCWA	True	0.6278602970694499	13324.22988319397
ComplEx	SPL	sLCWA	False	0.6199317543155359	6988.109293937683
ComplEx	SPL	sLCWA	True	0.6099959855479727	5192.0094187259665
ComplEx	BCEL	sLCWA	False	0.6019670814933762	4149.03639793396
ERMLP	BCEL	sLCWA	False	0.5810919309514251	3519.3482892513275
DistMult	MRL	sLCWA	False	0.4871537535126455	1906.5350289344788
TransE	MRL	sLCWA	False	0.40847049377759936	950.0389654636383
TransE	SPL	sLCWA	False	0.16218386190285025	939.8010635375977
