number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.030453257790368272	2020-05-11 20:33:14.043092	2020-05-11 21:05:38.968902	128	0.07593506273179557	0.17437632403364312	58	0.3723999970811062	0.0788731118976246	128	0.1030726020202757	0.5737040107710598	0.008321529745042492	0.030453257790368272	0.016288951841359773	0.021423512747875354	11629.56497875354	0.016758450898951675	0.026026912181303118	0.04815864022662889	0.0339943342776204	0.039128895184135974	11624.249291784703	0.03439501195287802	1127609576	200.0	0.008321529745042492	0.030453257790368272	0.016288951841359773	0.021423512747875354	11634.88066572238	0.016717275559415542	0	COMPLETE
1	0.44776912181303113	2020-05-11 21:05:39.021975	2020-05-11 22:26:28.614168	128	0.41344982549095904	0.4843308335328361	44	0.0829456019486342	0.012569902301043049	512	0.11114031000239424	0.24095003564422354	0.272485835694051	0.44776912181303113	0.3810198300283286	0.415014164305949	4884.4651203966005	0.33718395657458894	0.272485835694051	0.44776912181303113	0.3810198300283286	0.415014164305949	4884.4644121813035	0.33718395658140243	3205319960	500.0	0.272485835694051	0.44776912181303113	0.3810198300283286	0.415014164305949	4884.465828611898	0.3371839565677764	1	COMPLETE
2	0.4047450424929179	2020-05-11 22:26:28.668404	2020-05-11 23:17:35.188324	64	0.02596669598675011	0.003889309278010955	29	0.2989381052307023	0.012670243140775176	256	0.011671409027314634	0.25281648619937114	0.22344192634560905	0.4047450424929179	0.32524787535410765	0.3627832861189802	5125.357117563739	0.2875334811878814	0.22344192634560905	0.4047450424929179	0.32524787535410765	0.3627832861189802	5125.356586402267	0.28753348119140176	2031046360	400.0	0.22344192634560905	0.4047450424929179	0.32524787535410765	0.3627832861189802	5125.357648725212	0.2875334811843615	2	COMPLETE
3	0.4405099150141643	2020-05-11 23:17:35.220817	2020-05-12 00:40:01.375998	128	0.15216955628119366	0.4170133391551912	32	0.0634756991444484	0.008550990249185163	512	0.10466839492648618	0.2698546740159748	0.2797450424929179	0.4405099150141643	0.379957507082153	0.4068696883852691	5470.636508498584	0.33896061072188366	0.2797450424929179	0.4405099150141643	0.379957507082153	0.4068696883852691	5470.635623229462	0.33896061096742097	424729433	550.0	0.2797450424929179	0.4405099150141643	0.379957507082153	0.4068696883852691	5470.637393767705	0.3389606104767284	3	COMPLETE
4	0.20024787535410765	2020-05-12 00:40:01.415071	2020-05-12 01:36:34.967674	256	0.19269536047417513	0.3384536877552397	17	0.4766335510568177	0.007763545024988028	256	0.002952785301245672	0.2938114985124788	0.061791784702549576	0.20024787535410765	0.12659348441926346	0.1620042492917847	5956.178204674221	0.10830569582240832	0.061791784702549576	0.20024787535410765	0.12659348441926346	0.1620042492917847	5956.177230878187	0.10830569608458888	3531886484	350.0	0.061791784702549576	0.20024787535410765	0.12659348441926346	0.1620042492917847	5956.179178470255	0.10830569556066694	4	COMPLETE
5	0.33657932011331443	2020-05-12 01:36:35.002687	2020-05-12 05:13:14.484914	256	0.3779705276158576	0.46165913648256296	43	0.1984866840231052	0.016876969084256215	512	0.43086011802282703	0.3453337390475046	0.1588172804532578	0.33657932011331443	0.2537181303116147	0.2905453257790368	7001.24026203966	0.2200983338986756	0.1588172804532578	0.33657932011331443	0.2537181303116147	0.2905453257790368	7001.239376770538	0.22009833392079972	86395399		0.1588172804532578	0.33657932011331443	0.2537181303116147	0.2905453257790368	7001.241147308782	0.22009833387655758	5	COMPLETE
6	0.23052407932011332	2020-05-12 05:13:14.518067	2020-05-12 07:03:04.289388	256	0.2275063889774151	0.1279879652439856	30	0.29174481813616054	0.03676464735518334	512	0.39067238150168787	0.4462351070873444	0.09773371104815864	0.23052407932011332	0.15828611898016998	0.18838526912181303	9047.184844192634	0.14152374354680314	0.09773371104815864	0.23052407932011332	0.15828611898016998	0.18838526912181303	9047.183781869688	0.14152374359979963	4274838714	600.0	0.09773371104815864	0.23052407932011332	0.15828611898016998	0.18838526912181303	9047.18590651558	0.14152374349382646	6	COMPLETE
7	0.11597025495750708	2020-05-12 07:03:04.323900	2020-05-12 08:20:08.662676	256	0.4506614340480792	0.045657022229674105	50	0.2670253440700118	0.08328216120598497	512	0.0014507163312169463	0.4495173125836945	0.0426699716713881	0.11597025495750708	0.07878895184135977	0.09560906515580736	9113.464854815864	0.06875047857807048	0.0426699716713881	0.11597025495750708	0.07878895184135977	0.09560906515580736	9113.463703966007	0.06875047858484187	1531290720	350.0	0.0426699716713881	0.11597025495750708	0.07878895184135977	0.09560906515580736	9113.466005665723	0.0687504785712998	7	COMPLETE
8	0.3638456090651558	2020-05-12 08:20:08.698859	2020-05-12 09:38:40.247820	128	0.41903382716878146	0.011697729029779558	64	0.19445004222711154	0.0018013506048654559	128	0.13926478627430863	0.31904713576216664	0.22344192634560905	0.3638456090651558	0.30046033994334276	0.3293201133144476	6467.721848441926	0.27365933187418484	0.22344192634560905	0.3638456090651558	0.30046033994334276	0.3293201133144476	6467.720963172805	0.2736593320009288	1140631245	450.0	0.22344192634560905	0.3638456090651558	0.30046033994334276	0.3293201133144476	6467.722733711048	0.27365933174757945	8	COMPLETE
9	0.44741501416430596	2020-05-12 09:38:40.312888	2020-05-12 10:59:47.221491	64	0.36146791118078714	0.2720445784211876	50	0.05808238572977714	0.0027497615724663576	128	0.003602591168834107	0.21024828167621434	0.2956798866855524	0.44741501416430596	0.39642351274787535	0.4229815864022663	4261.742475212464	0.3542267195456194	0.2956798866855524	0.44741501416430596	0.39642351274787535	0.4229815864022663	4261.742209631728	0.35422671954719465	2623513208	550.0	0.2956798866855524	0.44741501416430596	0.39642351274787535	0.4229815864022663	4261.742740793201	0.35422671954404433	9	COMPLETE
