number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.8103932584269663	2020-05-15 10:07:16.134819	2020-05-15 10:08:03.845446	256	0.35984980081340867	0.1744192518847677	37	0.2784957193049664	256	0.004141539527568721														CUDA out of memory. Tried to allocate 1.61 GiB (GPU 0; 10.76 GiB total capacity; 1.86 GiB already allocated; 721.25 MiB free; 3.45 GiB reserved in total by PyTorch)									0	Setting status of trial#0 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
1	0.10065543071161048	2020-05-15 10:08:03.857901	2020-05-15 10:08:22.756689	64	0.050974837281196284	0.45625967331074235	41	0.08332137466980166	512	0.8965510468087077	1.0025177571463855	0.011704119850187267	0.10065543071161048	0.035580524344569285	0.054307116104868915	48.396067415730336	0.05440899164143883	0.011704119850187267	0.10065543071161048	0.035580524344569285	0.054307116104868915	48.396067415730336	0.05440899164143883		3585978008.0	150.0	0.011704119850187267	0.10065543071161048	0.035580524344569285	0.054307116104868915	48.396067415730336	0.05440899164143883	1		COMPLETE
2	0.8862359550561798	2020-05-15 10:08:22.790017	2020-05-15 10:11:28.201067	64	0.30782851677868295	0.3353559074458356	29	0.2894757746968194	256	0.016992592622915016	0.10239455817190561	0.2991573033707865	0.8862359550561798	0.5987827715355806	0.7270599250936329	4.953183520599251	0.4887016341350624	0.2991573033707865	0.8862359550561798	0.5987827715355806	0.7270599250936329	4.953183520599251	0.4887016341350624		667856982.0		0.2991573033707865	0.8862359550561798	0.5987827715355806	0.7270599250936329	4.953183520599251	0.4887016341350624	2		COMPLETE
3	0.49157303370786515	2020-05-15 10:11:28.257774	2020-05-15 10:13:43.827472	128	0.28326578826128745	0.3460164070332956	37	0.010791950634929826	512	0.38408359703826406	0.4001324837669828	0.10205992509363296	0.49157303370786515	0.2345505617977528	0.3249063670411985	19.321161048689138	0.22243007316199967	0.10205992509363296	0.49157303370786515	0.2345505617977528	0.3249063670411985	19.321161048689138	0.22243007316199967		4065060493.0		0.10205992509363296	0.49157303370786515	0.2345505617977528	0.3249063670411985	19.321161048689138	0.22243007316199967	3		COMPLETE
4	0.9194756554307116	2020-05-15 10:13:43.854238	2020-05-15 10:17:14.253796	256	0.2700650347334848	0.031200645733581056	51	0.46420497322708953	128	0.0032411683010980857	0.09242705716524789	0.3651685393258427	0.9194756554307116	0.6811797752808989	0.799625468164794	4.47378277153558	0.5532957729728899	0.3651685393258427	0.9194756554307116	0.6811797752808989	0.799625468164794	4.47378277153558	0.5532957729728899		3804074926.0	700.0	0.3651685393258427	0.9194756554307116	0.6811797752808989	0.799625468164794	4.47378277153558	0.5532957729728899	4		COMPLETE
5	0.10814606741573034	2020-05-15 10:17:14.319865	2020-05-15 10:17:58.213434	64	0.44767197703997846	0.2317261090660423	38	0.05872464812660627	512	0.9430459801474658	1.0069722433344284	0.011704119850187267	0.10814606741573034	0.03136704119850187	0.054307116104868915	48.631554307116104	0.05413464806886673	0.011704119850187267	0.10814606741573034	0.03136704119850187	0.054307116104868915	48.631554307116104	0.05413464806886673		1645935523.0	350.0	0.011704119850187267	0.10814606741573034	0.03136704119850187	0.054307116104868915	48.631554307116104	0.05413464806886673	5		COMPLETE
6	0.8909176029962547	2020-05-15 10:17:58.241170	2020-05-15 10:20:57.271546	128	0.42293990964591743	0.3679818585169958	40	0.06237932097305943	256	0.003412612938293266	0.1094101814985666	0.301498127340824	0.8909176029962547	0.6067415730337079	0.7471910112359551	5.296348314606742	0.49358141645037246	0.301498127340824	0.8909176029962547	0.6067415730337079	0.7471910112359551	5.296348314606742	0.49358141645037246		716420767.0		0.301498127340824	0.8909176029962547	0.6067415730337079	0.7471910112359551	5.296348314606742	0.49358141645037246	6		COMPLETE
7	0.1151685393258427	2020-05-15 10:20:57.293094	2020-05-15 10:21:56.561224	128	0.3154003127411627	0.059388665490702264	60	0.25587525512128423	256	0.8949076915012639	0.9919545308029286	0.010299625468164793	0.1151685393258427	0.02762172284644195	0.05805243445692884	47.96676029962547	0.05410737805724568	0.010299625468164793	0.1151685393258427	0.02762172284644195	0.05805243445692884	47.96676029962547	0.05410737805724568		2010459237.0	350.0	0.010299625468164793	0.1151685393258427	0.02762172284644195	0.05805243445692884	47.96676029962547	0.05410737805724568	7		COMPLETE
8	0.9288389513108615	2020-05-15 10:21:56.582432	2020-05-15 10:25:31.339105	128	0.49349893338952444	0.07457547805112957	55	0.4002746633246407	128	0.002993274984178864	0.08399780314897051	0.39232209737827717	0.9288389513108615	0.7083333333333334	0.8277153558052435	4.066011235955056	0.5779886744672924	0.39232209737827717	0.9288389513108615	0.7083333333333334	0.8277153558052435	4.066011235955056	0.5779886744672924		1928663589.0	750.0	0.39232209737827717	0.9288389513108615	0.7083333333333334	0.8277153558052435	4.066011235955056	0.5779886744672924	8		COMPLETE
9	0.8782771535580525	2020-05-15 10:25:31.371755	2020-05-15 10:28:33.093191	64	0.14644731827992652	0.3991812281227754	17	0.10768867176087654	256	0.006545320696609411	0.10447422630931442	0.30290262172284643	0.8782771535580525	0.6020599250936329	0.727996254681648	5.051498127340824	0.49081949206820225	0.30290262172284643	0.8782771535580525	0.6020599250936329	0.727996254681648	5.051498127340824	0.49081949206820225		2540704105.0		0.30290262172284643	0.8782771535580525	0.6020599250936329	0.727996254681648	5.051498127340824	0.49081949206820225	9		COMPLETE
10	0.8721910112359551	2020-05-15 10:28:33.120774	2020-05-15 10:30:48.465827	128	0.4598937797952355	0.052031636948419335	44	0.4298580248244071	512	0.05406101433408575	0.10650914077898173	0.3295880149812734	0.8721910112359551	0.6104868913857678	0.7415730337078652	5.152621722846442	0.5082366524401664	0.3295880149812734	0.8721910112359551	0.6104868913857678	0.7415730337078652	5.152621722846442	0.5082366524401664		3608581863.0		0.3295880149812734	0.8721910112359551	0.6104868913857678	0.7415730337078652	5.152621722846442	0.5082366524401664	10		COMPLETE
11	0.8309925093632958	2020-05-15 10:30:48.494441	2020-05-15 10:33:06.004912	256	0.40553622183733784	0.14934878088044268	33	0.02242419370285248	256	0.011146406581466763	0.13668578624645117	0.2443820224719101	0.8309925093632958	0.5294943820224719	0.672752808988764	6.625936329588015	0.43007817054936803	0.2443820224719101	0.8309925093632958	0.5294943820224719	0.672752808988764	6.625936329588015	0.43007817054936803		3539482150.0	750.0	0.2443820224719101	0.8309925093632958	0.5294943820224719	0.672752808988764	6.625936329588015	0.43007817054936803	11		COMPLETE
12	0.8843632958801498	2020-05-15 10:33:06.043774	2020-05-15 10:35:37.052912	64	0.3373622018380635	0.07553475391306208	57	0.09821984135239015	256	0.010885883658623257	0.1047261851902507	0.30290262172284643	0.8843632958801498	0.6132958801498127	0.7462546816479401	5.079119850187266	0.4951347429008522	0.30290262172284643	0.8843632958801498	0.6132958801498127	0.7462546816479401	5.079119850187266	0.4951347429008522		402413888.0	850.0	0.30290262172284643	0.8843632958801498	0.6132958801498127	0.7462546816479401	5.079119850187266	0.4951347429008522	12		COMPLETE
13	0.8913857677902621	2020-05-15 10:35:37.075835	2020-05-15 10:38:56.854838	128	0.39248845843923497	0.18721355086642	43	0.14576841764881188	128	0.0046171801196947145	0.10654665333522337	0.3295880149812734	0.8913857677902621	0.6479400749063671	0.7677902621722846	5.163857677902621	0.5180769074692847	0.3295880149812734	0.8913857677902621	0.6479400749063671	0.7677902621722846	5.163857677902621	0.5180769074692847		1777387645.0	700.0	0.3295880149812734	0.8913857677902621	0.6479400749063671	0.7677902621722846	5.163857677902621	0.5180769074692847	13		COMPLETE
14	0.8698501872659176	2020-05-15 10:38:56.877787	2020-05-15 10:42:00.350523	64	0.3443738092998731	0.08754304835919219	19	0.4388994011951987	256	0.09715534019073345	0.10506390853373383	0.3188202247191011	0.8698501872659176	0.6123595505617978	0.7275280898876404	5.076310861423221	0.5007412588401352	0.3188202247191011	0.8698501872659176	0.6123595505617978	0.7275280898876404	5.076310861423221	0.5007412588401352		1991398617.0		0.3188202247191011	0.8698501872659176	0.6123595505617978	0.7275280898876404	5.076310861423221	0.5007412588401352	14		COMPLETE
15	0.9054307116104869	2020-05-15 10:42:00.377952	2020-05-15 10:45:06.879693	64	0.33162774104933773	0.0755163611705893	58	0.16942154386113123	256	0.001333822779823842	0.09520390607706142	0.35159176029962547	0.9054307116104869	0.6573033707865169	0.7855805243445693	4.604400749063671	0.5381950515923936	0.35159176029962547	0.9054307116104869	0.6573033707865169	0.7855805243445693	4.604400749063671	0.5381950515923936		1382300962.0		0.35159176029962547	0.9054307116104869	0.6573033707865169	0.7855805243445693	4.604400749063671	0.5381950515923936	15		COMPLETE
16	0.10159176029962547	2020-05-15 10:45:06.907058	2020-05-15 10:45:31.380241	64	0.009993921136502049	0.06626015744799152	60	0.24678455494833063	512	0.7434624076187993	0.9855929445266054	0.012172284644194757	0.10159176029962547	0.03417602996254682	0.05383895131086142	47.65870786516854	0.055728282864893536	0.012172284644194757	0.10159176029962547	0.03417602996254682	0.05383895131086142	47.65870786516854	0.055728282864893536		950992150.0	200.0	0.012172284644194757	0.10159176029962547	0.03417602996254682	0.05383895131086142	47.65870786516854	0.055728282864893536	16		COMPLETE
17	0.9353932584269663	2020-05-15 10:45:31.400651	2020-05-15 10:50:31.148621	64	0.24699604629800465	0.2208775385308832	56	0.2339537417354186	128	0.0012958751928123494	0.08040446024265992	0.39419475655430714	0.9353932584269663	0.7088014981273408	0.825374531835206	3.8838951310861423	0.5788301278915435	0.39419475655430714	0.9353932584269663	0.7088014981273408	0.825374531835206	3.8838951310861423	0.5788301278915435		3737475309.0	1000.0	0.39419475655430714	0.9353932584269663	0.7088014981273408	0.825374531835206	3.8838951310861423	0.5788301278915435	17		COMPLETE
18	0.8600187265917603	2020-05-15 10:50:31.179893	2020-05-15 10:54:09.035325	256	0.3605665965125655	0.2680982158892869	62	0.2159285179949691	128	0.013015893932380437	0.12501991294108136	0.2818352059925094	0.8600187265917603	0.5781835205992509	0.7036516853932584	6.057584269662922	0.4686849487840764	0.2818352059925094	0.8600187265917603	0.5781835205992509	0.7036516853932584	6.057584269662922	0.4686849487840764		3314287673.0	700.0	0.2818352059925094	0.8600187265917603	0.5781835205992509	0.7036516853932584	6.057584269662922	0.4686849487840764	18		COMPLETE
19	0.7799625468164794	2020-05-15 10:54:09.061830	2020-05-15 10:57:14.045410	64	0.4670678778768191	0.3698475631876855	53	0.4800350803133827	256	0.12228815229598511	0.1664438394625577	0.2298689138576779	0.7799625468164794	0.4550561797752809	0.5875468164794008	8.035112359550562	0.3949043211287094	0.2298689138576779	0.7799625468164794	0.4550561797752809	0.5875468164794008	8.035112359550562	0.3949043211287094		3020426639.0		0.2298689138576779	0.7799625468164794	0.4550561797752809	0.5875468164794008	8.035112359550562	0.3949043211287094	19		COMPLETE
20	0.8328651685393258	2020-05-15 10:57:14.070410	2020-05-15 10:58:59.795639	256	0.030047253145280672	0.2367806479124811	17	0.14667736997941988	512	0.02566845337678194	0.13870563962992127	0.22893258426966293	0.8328651685393258	0.5140449438202247	0.6502808988764045	6.727059925093633	0.42012216494315135	0.22893258426966293	0.8328651685393258	0.5140449438202247	0.6502808988764045	6.727059925093633	0.42012216494315135		1984614306.0	800.0	0.22893258426966293	0.8328651685393258	0.5140449438202247	0.6502808988764045	6.727059925093633	0.42012216494315135	20		COMPLETE
21	0.8665730337078652	2020-05-15 10:58:59.822862	2020-05-15 11:01:39.098666	256	0.12448409268990612	0.4483801467112704	47	0.4377409261043226	512	0.004049046497540195	0.11418483849206751	0.28558052434456926	0.8665730337078652	0.5632022471910112	0.697565543071161	5.519662921348314	0.47014342694385886	0.28558052434456926	0.8665730337078652	0.5632022471910112	0.697565543071161	5.519662921348314	0.47014342694385886		617271443.0		0.28558052434456926	0.8665730337078652	0.5632022471910112	0.697565543071161	5.519662921348314	0.47014342694385886	21		COMPLETE
22	0.8506554307116105	2020-05-15 11:01:39.123656	2020-05-15 11:04:13.069520	128	0.4603122709266042	0.03293617304407742	60	0.015448308771166375	128	0.024347167993507116	0.12720829904191056	0.26357677902621723	0.8506554307116105	0.5660112359550562	0.7036516853932584	6.1661985018726595	0.4547461315372584	0.26357677902621723	0.8506554307116105	0.5660112359550562	0.7036516853932584	6.1661985018726595	0.4547461315372584		2966616612.0	550.0	0.26357677902621723	0.8506554307116105	0.5660112359550562	0.7036516853932584	6.1661985018726595	0.4547461315372584	22		COMPLETE
23	0.9068352059925093	2020-05-15 11:04:13.095596	2020-05-15 11:06:55.045228	64	0.24146805398559823	0.019540951185782085	64	0.15411823345653092	256	0.007969084171797118	0.09624416083236982	0.3450374531835206	0.9068352059925093	0.6558988764044944	0.7724719101123596	4.659176029962547	0.5324339844424667	0.3450374531835206	0.9068352059925093	0.6558988764044944	0.7724719101123596	4.659176029962547	0.5324339844424667		4227468499.0	900.0	0.3450374531835206	0.9068352059925093	0.6558988764044944	0.7724719101123596	4.659176029962547	0.5324339844424667	23		COMPLETE
24	0.8899812734082397	2020-05-15 11:06:55.092821	2020-05-15 11:10:09.389268	256	0.0035037127152485747	0.2170699789164452	51	0.34093890204090527	128	0.03267068223874892	0.10647756401501764	0.31413857677902624	0.8899812734082397	0.6235955056179775	0.7542134831460674	5.155430711610487	0.5046946010677268	0.31413857677902624	0.8899812734082397	0.6235955056179775	0.7542134831460674	5.155430711610487	0.5046946010677268		2383459053.0	650.0	0.31413857677902624	0.8899812734082397	0.6235955056179775	0.7542134831460674	5.155430711610487	0.5046946010677268	24		COMPLETE
25	0.799625468164794	2020-05-15 11:10:09.415631	2020-05-15 11:12:19.691006	128	0.4205323949890947	0.42642699084371744	24	0.28535427089929505	512	0.10541740185657471	0.1395518010768216	0.250936329588015	0.799625468164794	0.5004681647940075	0.6301498127340824	6.754681647940075	0.4227709209510542	0.250936329588015	0.799625468164794	0.5004681647940075	0.6301498127340824	6.754681647940075	0.4227709209510542		3160886040.0		0.250936329588015	0.799625468164794	0.5004681647940075	0.6301498127340824	6.754681647940075	0.4227709209510542	25		COMPLETE
