number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	851	901	1451	1501
0	TrialState.COMPLETE	0.22561301780212256	2020-01-21 05:20:47.574916	2020-01-21 08:47:52.706285	250.0	1	71.0	0.06131223884671386	1800.0	0.421305200177854	0.039666067556772794	0.22561301780212256	0.1365854658792651	0.17402002738788086	2984.217491601763	0.10486941113619792	0.039680332078055464	0.22568344887595573	0.1366362832363346	0.17408243466849252	2984.2134248758985	0.10488763381668377	0.039666067556772794	0.22561301780212256	0.1365854658792651	0.17402002738788086	2984.2215583276275	0.10485632373238246	0					0.22385218152078817	0.22476100024663817
1	TrialState.COMPLETE	0.04287344516718019	2020-01-21 08:47:52.707115	2020-01-21 10:28:01.948486	50.0	1	81.0	0.008712445020490223	1700.0	0.8830444268130029	0.005166609608581536	0.04287344516718019	0.03429618851991327	0.03831593061736848	6298.798944425425	0.021506783793988023	0.005166609608581536	0.04287344516718019	0.03429618851991327	0.03831593061736848	6298.796550838754	0.021506784195623675	0.005166609608581536	0.04287344516718019	0.03429618851991327	0.03831593061736848	6298.8013380120965	0.021506783393973525	1			0.04109767076216922	0.04203228887006973		
2	TrialState.COMPLETE	0.14980600251055576	2020-01-21 10:28:01.949377	2020-01-21 12:25:21.850019	350.0	1	31.0	0.006023562306895511	900.0	0.7259935037712085	0.005160753647212863	0.14980600251055576	0.11271974870418086	0.1304227703802471	5160.842613530574	0.06388245524970718	0.005160753647212863	0.14980600251055576	0.11271974870418086	0.1304227703802471	5160.836870934611	0.06388245736878682	0.005160753647212863	0.14980600251055576	0.11271974870418086	0.1304227703802471	5160.848356126537	0.06388245315750739	2						
3	TrialState.COMPLETE	0.13177333444365283	2020-01-21 12:25:21.850856	2020-01-21 15:46:14.874324	150.0	1	31.0	0.005088939824750387	1800.0	0.7495206927307221	0.005563934355444112	0.13177333444365283	0.09792323991228476	0.1145541296174641	5330.993848521579	0.05635964933962363	0.005563934355444112	0.1317741054988573	0.09792323991228476	0.1145541296174641	5330.990652497756	0.05635965617981193	0.005563934355444112	0.13177333444365283	0.09792323991228476	0.1145541296174641	5330.997044545401	0.05635964297076338	3						
4	TrialState.COMPLETE	0.005634485906652973	2020-01-21 15:46:14.875156	2020-01-21 15:58:23.724775	150.0	2	51.0	0.008275241157929575	1000.0	1.0542687847946997	0.005120963140477006	0.005634485906652973	0.005192285746890335	0.005306401917151661	7538.75690046217	0.00566452569215499	0.005120963140477006	0.005634485906652973	0.005192285746890335	0.005306401917151661	7538.750484993724	0.005664526324745815	0.005120963140477006	0.005634485906652973	0.005192285746890335	0.005306401917151661	7538.763315930617	0.005664525060673521	4	0.00567727947050097	0.0056487504279356384				
5	TrialState.COMPLETE	0.005598824603446308	2020-01-21 15:58:23.725617	2020-01-21 16:10:18.963036	50.0	2	71.0	0.008026481166158918	1000.0	1.0510382773753955	0.004971185667009015	0.005598824603446308	0.005227947050096999	0.005320666438434326	7515.81750684697	0.005602406299061375	0.004971185667009015	0.005598824603446308	0.005227947050096999	0.005320666438434326	7515.813812335958	0.005602406585258556	0.004971185667009015	0.005598824603446308	0.005227947050096999	0.005320666438434326	7515.821201357982	0.005602406013123061	5	0.005634485906652973	0.005610711704515196				
6	TrialState.COMPLETE	0.005655882688576972	2020-01-21 16:10:18.963907	2020-01-21 16:25:42.368431	350.0	2	51.0	0.004469124756424629	900.0	1.0606503214403744	0.005135227661759671	0.005655882688576972	0.005206550268173	0.005342063220358325	7585.116694482484	0.005665822535382824	0.005135227661759671	0.005655882688576972	0.005206550268173	0.005342063220358325	7585.1074974323865	0.005665823326652356	0.005135227661759671	0.005655882688576972	0.005206550268173	0.005342063220358325	7585.12589153258	0.005665821745125229	6	0.005663014949218304	0.005658260108790749				
7	TrialState.COMPLETE	0.005498972954467648	2020-01-21 16:25:42.369257	2020-01-21 16:41:20.890709	250.0	2	91.0	0.005787137840351411	600.0	1.0741783000642509	0.005135227661759671	0.005498972954467648	0.005206550268173	0.005285005135227662	7681.737935781125	0.00563269533807442	0.005135227661759671	0.005498972954467648	0.005206550268173	0.005285005135227662	7681.7300439347255	0.005632697199701499	0.005135227661759671	0.005498972954467648	0.005206550268173	0.005285005135227662	7681.745827627525	0.0056326934894830785	7	0.00557742782152231	0.005525124576819202				
8	TrialState.COMPLETE	0.006133744151546274	2020-01-21 16:41:20.891608	2020-01-21 16:55:01.175536	250.0	2	51.0	0.014112913712660002	2000.0	1.0833315377659614	0.005135227661759671	0.006133744151546274	0.005399121305488988	0.00562735364601164	7750.122963739587	0.005780260608597813	0.005135227661759671	0.006133744151546274	0.005399121305488988	0.00562735364601164	7750.11443712199	0.005780261706453165	0.005135227661759671	0.006133744151546274	0.005399121305488988	0.00562735364601164	7750.131490357184	0.005780259514503147	8	0.006219331279242269	0.0061622731941116055				
