number	value	datetime_start	datetime_complete	params_model.c_max	params_model.c_min	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.27673512747875356	2020-04-28 19:05:13.182981	2020-04-28 19:50:04.631540	3.173893718141363	0.059610056051880224	64	25	0.06674490355022218	128	0.3648679732321065	0.11048158640226628	0.27673512747875356	0.19139518413597734	0.23176345609065155	7396.413951841359	0.16741237593059968	0.11048158640226628	0.27673512747875356	0.19139518413597734	0.23176345609065155	7396.408994334278	0.16741239274162564	3998239065	300	0.11048158640226628	0.27673512747875356	0.19139518413597734	0.23176345609065155	7396.418909348442	0.16741235930525517	0	COMPLETE
1	0.4497167138810198	2020-04-28 19:50:04.681356	2020-04-28 20:17:36.919424	4.563592451176631	0.010266580632628556	64	89	0.0014747111921678262	512	0.3075306900815307	0.2075070821529745	0.4497167138810198	0.3443696883852691	0.4003186968838527	6234.25973796034	0.2927356713524844	0.2075070821529745	0.4497167138810198	0.3443696883852691	0.4003186968838527	6234.257613314448	0.2927356755534075	4077456958	500	0.2075070821529745	0.4497167138810198	0.3443696883852691	0.4003186968838527	6234.261862606232	0.29273566717621535	1	COMPLETE
2	0.4470609065155807	2020-04-28 20:17:36.966400	2020-04-28 20:47:25.545945	8.043127513933449	0.025282162743293386	64	93	0.0026676229800298777	128	0.3423168368525193	0.2044971671388102	0.4470609065155807	0.34118271954674223	0.39128895184135976	6939.178381728046	0.28987580907981336	0.2044971671388102	0.4470609065155807	0.34118271954674223	0.39128895184135976	6939.175460339943	0.28987580917329386	2240042811	200	0.2044971671388102	0.4470609065155807	0.34118271954674223	0.39128895184135976	6939.181303116147	0.2898758089863731	2	COMPLETE
3	0.459985835694051	2020-04-28 20:47:25.577360	2020-04-28 21:10:43.139042	4.911376364787283	0.014872657065561633	128	78	0.0015850710792563068	512	0.3087194843221823	0.2106940509915014	0.459985835694051	0.3521600566572238	0.40492209631728043	6258.45573654391	0.29835694392086526	0.2106940509915014	0.459985835694051	0.3521600566572238	0.40492209631728043	6258.449716713881	0.2983569449987649	3849214884	400	0.2106940509915014	0.459985835694051	0.3521600566572238	0.40492209631728043	6258.4617563739375	0.2983569428454375	3	COMPLETE
4	0.08976628895184136	2020-04-28 21:10:43.186114	2020-04-28 21:44:48.765230	2.5751201967236335	0.012103190549398856	256	53	0.05279725557444686	128	0.4861061150245559	0.04461756373937677	0.08976628895184136	0.06657223796033994	0.07701841359773372	9854.102779745042	0.06134273482452707	0.04461756373937677	0.08976628895184136	0.06657223796033994	0.07701841359773372	9854.048866855524	0.06134309009031534	3811673394	200	0.04461756373937677	0.08976628895184136	0.06657223796033994	0.07701841359773372	9854.15669263456	0.06134239935008885	4	COMPLETE
5	0.40297450424929177	2020-04-28 21:44:48.798133	2020-04-28 21:55:01.855867	1.7065002373693563	0.012169703360903493	128	78	0.008328485636446994	512	0.3876477465867251	0.1733356940509915	0.40297450424929177	0.3059490084985836	0.3530453257790368	7857.972468130311	0.2555795699787238	0.1733356940509915	0.40297450424929177	0.3059490084985836	0.3530453257790368	7857.966182719547	0.2555795745729415	1320571063	200	0.1733356940509915	0.40297450424929177	0.3059490084985836	0.3530453257790368	7857.978753541077	0.2555795654098607	5	COMPLETE
6	0.45750708215297453	2020-04-28 21:55:01.889905	2020-04-28 22:25:36.442321	4.241004052576606	0.013872443242121574	128	78	0.0010765938197838728	128	0.3288264475185529	0.21512039660056656	0.45750708215297453	0.35145184135977336	0.40297450424929177	6665.898813739377	0.29987101224407037	0.21512039660056656	0.45750708215297453	0.35145184135977336	0.40297450424929177	6665.893059490085	0.29987101259312493	2865707337	200	0.21512039660056656	0.45750708215297453	0.35145184135977336	0.40297450424929177	6665.9045679886685	0.29987101189528415	6	COMPLETE
7	0.44723796033994334	2020-04-28 22:25:36.476526	2020-04-28 22:41:43.353830	9.287353702093618	0.020024379850838176	64	75	0.003901891774620229	256	0.3385501758935407	0.21565155807365438	0.44723796033994334	0.34490084985835695	0.3967776203966006	6863.202638101983	0.2965765878734842	0.21565155807365438	0.44723796033994334	0.34490084985835695	0.3967776203966006	6863.200424929179	0.2965765879884057	1450230631	200	0.21565155807365438	0.44723796033994334	0.34490084985835695	0.3967776203966006	6863.204851274788	0.29657658775862095	7	COMPLETE
8	0.41111898016997167	2020-04-28 22:41:43.388979	2020-04-28 23:09:57.980819	6.343583525757916	0.07785210489024295	256	6	0.005406383587981627	128	0.3417052201664364	0.20113314447592068	0.41111898016997167	0.31798866855524077	0.36154390934844194	6926.961402266289	0.2758510897690318	0.20113314447592068	0.41111898016997167	0.3181657223796034	0.36154390934844194	6926.94157223796	0.27585975023037784	4289960621	200	0.20113314447592068	0.41111898016997167	0.31798866855524077	0.36154390934844194	6926.981232294617	0.27584454561823113	8	COMPLETE
9	0.45679886685552407	2020-04-28 23:09:58.017210	2020-04-28 23:29:00.100684	9.047410523008832	0.012959361471552659	64	4	0.0011761835541314043	512	0.28186427529902164	0.22928470254957506	0.45679886685552407	0.35711756373937675	0.4084631728045326	5713.771246458923	0.3097015336081368	0.22928470254957506	0.45679886685552407	0.35711756373937675	0.4084631728045326	5713.768590651558	0.30970154305092773	2163080243	400	0.22928470254957506	0.45679886685552407	0.35711756373937675	0.4084631728045326	5713.773902266289	0.3097015242448055	9	COMPLETE
