number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	regularizer.weight	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101
0	TrialState.COMPLETE	0.0003541076487252125	2020-01-11 11:07:09.893620	2020-01-11 19:22:20.149113	450.0	81.0	0.0019337043235417427	0.004307791669072683	2000.0	0.9941506872922814	0.0	0.0003541076487252125	0.0	0.0	20154.952748760625	0.0002726479956550627	0.0	0.0003541076487252125	0.0	0.0	20154.952593838527	0.0002726479969640654	0.0	0.0003541076487252125	0.0	0.0	20154.95290368272	0.00027264799434622195	0	0.0003541076487252125	0.0003541076487252125
1	TrialState.COMPLETE	0.0005311614730878187	2020-01-11 19:22:20.150062	2020-01-11 20:25:18.011357	250.0	31.0	0.0020989368122104543	0.045466838410099936	1100.0	1.0055406836505405	0.0	0.0005311614730878187	0.0	0.0	20385.28771246459	0.0002937333578224033	0.0	0.0005311614730878187	0.0	0.0	20385.287314093486	0.00029373338507320744	0.0	0.0005311614730878187	0.0	0.0	20385.288110835692	0.00029373333058508634	1	0.0005311614730878187	0.0005311614730878187
2	TrialState.COMPLETE	0.0005311614730878187	2020-01-11 20:25:18.012277	2020-01-11 20:39:45.816896	50.0	91.0	0.0027551942741324636	0.03507522485688877	500.0	0.9950700845783356	0.00017705382436260624	0.0005311614730878187	0.00017705382436260624	0.0003541076487252125	20173.492386685553	0.00044248815072482183	0.00017705382436260624	0.0005311614730878187	0.00017705382436260624	0.0003541076487252125	20173.492165368272	0.00044248816005621654	0.00017705382436260624	0.0005311614730878187	0.00017705382436260624	0.0003541076487252125	20173.492608002834	0.00044248814139790434	2	0.0005311614730878187	0.0005311614730878187
3	TrialState.COMPLETE	0.0003541076487252125	2020-01-11 20:39:45.817803	2020-01-11 23:48:31.949725	350.0	51.0	0.0166731137510326	0.00033880104122403434	1100.0	0.9770057967143078	0.0	0.0003541076487252125	0.0	0.00017705382436260624	19807.143502124647	0.00025985859199833866	0.0	0.0003541076487252125	0.0	0.00017705382436260624	19807.143059490085	0.00025985861496712314	0.0	0.0003541076487252125	0.0	0.00017705382436260624	19807.143944759206	0.00025985856904409534	3	0.0003541076487252125	0.0003541076487252125
4	TrialState.COMPLETE	0.0	2020-01-11 23:48:31.951160	2020-01-11 23:57:33.114702	50.0	21.0	0.01879695120253567	0.004798704862265467	800.0	0.9954176335028776	0.0	0.0	0.0	0.0	20180.57858976629	0.00017965367775848965	0.0	0.0	0.0	0.0	20180.57834631728	0.0001796537543369019	0.0	0.0	0.0	0.0	20180.5788332153	0.00017965360127151678	4	0.0	0.0
5	TrialState.COMPLETE	0.00017705382436260624	2020-01-11 23:57:33.115638	2020-01-12 02:33:29.415426	350.0	41.0	0.01845800884649504	0.0036241784336040793	700.0	0.9970071387019923	0.0	0.00017705382436260624	0.0	0.0	20212.60554621105	0.00021354922019432295	0.0	0.00017705382436260624	0.0	0.0	20212.60521423513	0.0002135492224076514	0.0	0.00017705382436260624	0.0	0.0	20212.60587818697	0.00021354921798125867	5	0.00017705382436260624	0.00017705382436260624
6	TrialState.COMPLETE	0.0005311614730878187	2020-01-12 02:33:29.416287	2020-01-12 02:48:05.756289	150.0	11.0	0.005913433856022272	0.00019438155227868032	900.0	1.0029924107322081	0.00017705382436260624	0.0005311614730878187	0.00017705382436260624	0.00017705382436260624	20334.076243803116	0.0004352761921246887	0.00017705382436260624	0.0005311614730878187	0.00017705382436260624	0.00017705382436260624	20334.07582330028	0.00043527640845730185	0.00017705382436260624	0.0005311614730878187	0.00017705382436260624	0.00017705382436260624	20334.07666430595	0.000435275976196329	6	0.0005311614730878187	0.0005311614730878187
7	TrialState.COMPLETE	0.00017705382436260624	2020-01-12 02:48:05.757319	2020-01-12 05:55:55.225329	350.0	51.0	0.0030681791501920666	0.0001902854984335828	600.0	1.0194656289839505	0.0	0.00017705382436260624	0.0	0.00017705382436260624	20668.112274256375	0.0002210449964069909	0.0	0.00017705382436260624	0.0	0.00017705382436260624	20668.11207507082	0.0002210449973761283	0.0	0.00017705382436260624	0.0	0.00017705382436260624	20668.112473441928	0.00022104499543794146	7	0.00017705382436260624	0.00017705382436260624
8	TrialState.COMPLETE	0.0005311614730878187	2020-01-12 05:55:55.226241	2020-01-12 07:20:55.805419	250.0	41.0	0.0529350368147076	0.00572498336048448	1700.0	0.9978082071344078	0.0	0.0005311614730878187	0.0	0.00017705382436260624	20228.837708038245	0.00026952299778022087	0.0	0.0005311614730878187	0.0	0.00017705382436260624	20228.83742032578	0.00026952300442594114	0.0	0.0005311614730878187	0.0	0.00017705382436260624	20228.83799575071	0.000269522991136404	8	0.000708215297450425	0.0005901794145420207
9	TrialState.COMPLETE	0.00017705382436260624	2020-01-12 07:20:55.806380	2020-01-12 08:23:37.941759	150.0	91.0	0.010647987370679067	0.010766566443640225	1200.0	1.0084241505384555	0.0	0.00017705382436260624	0.0	0.0	20444.22018856232	0.0002354516523150765	0.0	0.00017705382436260624	0.0	0.0	20444.219856586402	0.00023545165332124285	0.0	0.00017705382436260624	0.0	0.0	20444.220520538245	0.0002354516513089913	9	0.00017705382436260624	0.00017705382436260624
10	TrialState.COMPLETE	0.0	2020-01-12 08:23:37.942736	2020-01-12 13:38:33.882047	450.0	51.0	0.0049770347562931505	0.00026596106884683546	1700.0	1.0116025293612698	0.0	0.0	0.0	0.0	20508.23787181303	0.00019351635896374585	0.0	0.0	0.0	0.0	20508.237606232295	0.00019351641731635432	0.0	0.0	0.0	0.0	20508.238137393768	0.00019351630069441465	10	0.0	0.0
