number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	201	251	301	351
0	TrialState.COMPLETE	0.0008852691218130312	2020-01-08 02:34:48.176061	2020-01-08 02:38:49.554115	250.0	1	21.0	0.03669323656353238	1200.0	1.0096849525258098	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.0008852691218130312	20469.49229815864	0.0009906383548804818	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.0008852691218130312	20469.48052407932	0.000990638406791927	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.0008852691218130312	20469.50407223796	0.0009906383029754928	0	0.0008852691218130312	0.0008852691218130312				
1	TrialState.COMPLETE	0.0012836402266288953	2020-01-08 02:38:49.555132	2020-01-08 02:44:33.703497	450.0	2	21.0	0.006178210122669805	2000.0	0.97038573039423	0.000708215297450425	0.0012836402266288953	0.0010623229461756375	0.0010623229461756375	19672.59828700425	0.0011133361942102858	0.000708215297450425	0.0012836402266288953	0.0010623229461756375	0.0010623229461756375	19672.569316572237	0.0011133365705560834	0.000708215297450425	0.0012836402266288953	0.0010623229461756375	0.0010623229461756375	19672.62725743626	0.0011133358180576538	1	0.0011508498583569404	0.0012393767705382436				
2	TrialState.COMPLETE	0.0008852691218130312	2020-01-08 02:44:33.704311	2020-01-08 02:48:38.824163	250.0	1	51.0	0.00789759440428126	900.0	0.9957703584328612	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.0008852691218130312	20187.613048866857	0.0009697340745276043	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.0008852691218130312	20187.600035410764	0.0009697341808541309	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.0008852691218130312	20187.626062322946	0.0009697339682271011	2	0.0008852691218130312	0.0008852691218130312				
3	TrialState.COMPLETE	0.00141643059490085	2020-01-08 02:48:38.825826	2020-01-08 02:52:13.508618	50.0	1	91.0	0.032903656862689305	1300.0	1.0002677057727685	0.000708215297450425	0.00141643059490085	0.0008852691218130312	0.0012393767705382436	20278.943785410764	0.0011377137121629688	0.000708215297450425	0.00141643059490085	0.0008852691218130312	0.0012393767705382436	20278.939447592067	0.0011377137456653498	0.000708215297450425	0.00141643059490085	0.0008852691218130312	0.0012393767705382436	20278.94812322946	0.0011377136786657658	3	0.00141643059490085	0.00141643059490085				
4	TrialState.COMPLETE	0.000708215297450425	2020-01-08 02:52:13.509669	2020-01-08 02:56:11.978332	250.0	1	11.0	0.017518883506601544	600.0	0.9976139887878636	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20224.658463172804	0.0008948139965773051	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20224.64571529745	0.0008948143458334115	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20224.67121104816	0.0008948136478519183	4	0.000708215297450425	0.000708215297450425				
5	TrialState.COMPLETE	0.0008852691218130312	2020-01-08 02:56:11.979138	2020-01-08 02:59:52.505323	50.0	2	91.0	0.09755214098509504	1200.0	0.9811592077668375	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.000708215297450425	19891.30276203966	0.0009416880562459897	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.000708215297450425	19891.293643767705	0.000941688246331652	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.000708215297450425	19891.311880311616	0.0009416878662969926	5	0.0008852691218130312	0.0008852691218130312				
6	TrialState.COMPLETE	0.012354422411079634	2020-01-08 02:59:52.506386	2020-01-08 03:12:45.898812	150.0	2	11.0	0.024401127819973625	1200.0	0.8859728229158251	0.000708215297450425	0.012354422411079634	0.00340336795719232	0.006098520616934214	17960.22089431854	0.004408494706322512	0.000708215297450425	0.012354422411079634	0.00340336795719232	0.006098520616934214	17960.205992288324	0.004408497605922129	0.000708215297450425	0.012354422411079634	0.00340336795719232	0.006098520616934214	17960.235796348756	0.004408491840734583	6					0.011179684338324565	0.011840474504249292
7	TrialState.COMPLETE	0.0012393767705382436	2020-01-08 03:12:45.899850	2020-01-08 03:17:47.356916	350.0	2	21.0	0.0051382843533202514	1500.0	0.9737904740333584	0.000708215297450425	0.0012393767705382436	0.0011508498583569404	0.0011508498583569404	19742.046277443344	0.0011705997746918918	0.000708215297450425	0.0012393767705382436	0.0011508498583569404	0.0011508498583569404	19742.020361189803	0.0011706006819540084	0.000708215297450425	0.0012393767705382436	0.0011508498583569404	0.0011508498583569404	19742.072193696884	0.0011705988696328593	7	0.0012393767705382436	0.0012393767705382436				
8	TrialState.COMPLETE	0.002611543909348442	2020-01-08 03:17:47.357954	2020-01-08 03:23:32.729890	450.0	2	11.0	0.007370522670300135	500.0	0.9586608540449463	0.000708215297450425	0.002611543909348442	0.0013279036827195468	0.0018590651558073655	19434.82903240085	0.0015434724475869846	0.000708215297450425	0.002611543909348442	0.0013279036827195468	0.0018590651558073655	19434.800814447593	0.0015434747127719408	0.000708215297450425	0.002611543909348442	0.0013279036827195468	0.0018590651558073655	19434.857250354107	0.0015434701924228668	8	0.000796742209631728	0.0020066100094428708				
