number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_regularizer.weight	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.07861189801699717	2020-04-05 17:24:26.467154	2020-04-05 17:46:03.163115	6.800058164580814	64	1	86	0.031341083955737134	0.022149342435954702	256	0.7723083989801999	0.008321529745042492	0.07861189801699717	0.058781869688385266	0.07064447592067989	15655.692988668556	0.037348855310437974	0.008321529745042492	0.07861189801699717	0.058781869688385266	0.07064447592067989	15655.53452549575	0.037348859400104524	636595684	200	0.008321529745042492	0.07861189801699717	0.058781869688385266	0.07064447592067989	15655.85145184136	0.03734885122778993	0	COMPLETE
1	0.07241501416430594	2020-04-05 17:46:03.209377	2020-04-05 18:45:11.886736	5.354555185991145	128	1	47	0.0180078302158055	0.010229758839174846	128	0.7696759559205604	0.0084985835694051	0.07241501416430594	0.06055240793201133	0.06303116147308782	15602.205382436261	0.03751210217507908	0.0084985835694051	0.07241501416430594	0.06055240793201133	0.06303116147308782	15601.236189801699	0.03751236257100085	252436334	300	0.0084985835694051	0.07241501416430594	0.06055240793201133	0.06303116147308782	15603.174575070821	0.03751184915798516	1	COMPLETE
2	0.13721671388101983	2020-04-05 18:45:11.918479	2020-04-05 19:04:56.101280	5.692834015827767	256	1	25	0.006458568606656652	0.027101956047353704	256	0.6912041240025814	0.0113314447592068	0.13721671388101983	0.10747167138810199	0.12305240793201133	14010.041253541076	0.06413572597785827	0.0113314447592068	0.13721671388101983	0.10747167138810199	0.12305240793201133	14009.998229461757	0.0641357401784059	3507675886	200	0.0113314447592068	0.13721671388101983	0.10747167138810199	0.12305240793201133	14010.084277620397	0.06413571194140094	2	COMPLETE
3	0.181657223796034	2020-04-05 19:04:56.147078	2020-04-05 19:38:52.674501	3.8866497582400954	256	1	38	0.004513514546866101	0.2752809041704412	256	0.6057835052774134	0.008321529745042492	0.181657223796034	0.11827195467422097	0.15509915014164305	12279.567900141643	0.0728134440557395	0.008321529745042492	0.181657223796034	0.11827195467422097	0.15509915014164305	12279.552230878187	0.0728134447730553	2313826881	300	0.008321529745042492	0.181657223796034	0.11827195467422097	0.15509915014164305	12279.583569405098	0.07281344333959414	3	COMPLETE
4	0.33463172804532576	2020-04-05 19:38:52.721833	2020-04-05 20:08:11.576999	6.690745673441714	256	1	3	0.0012137633526641536	0.01802514690970966	128	0.08142690843097077	0.018590651558073653	0.33463172804532576	0.18360481586402266	0.2507082152974504	1650.4915014164305	0.12783623962963023	0.018590651558073653	0.33463172804532576	0.18360481586402266	0.2507082152974504	1650.4911473087818	0.12783624629996912	851480904	200	0.018590651558073653	0.33463172804532576	0.18360481586402266	0.2507082152974504	1650.4918555240793	0.1278362330167484	4	COMPLETE
5	0.12978045325779036	2020-04-05 20:08:11.624995	2020-04-05 20:31:20.361950	3.513690111262467	256	1	96	0.00926734393803942	0.023048359761811583	512	0.6766580292571811	0.008852691218130312	0.12978045325779036	0.0968484419263456	0.11597025495750708	13714.978133852692	0.058182320664524376	0.008852691218130312	0.12978045325779036	0.0968484419263456	0.11597025495750708	13714.935375354107	0.05818233137816017	405400606	250	0.008852691218130312	0.12978045325779036	0.0968484419263456	0.11597025495750708	13715.020892351275	0.05818231005614518	5	COMPLETE
6	0.35286827195467424	2020-04-05 20:31:20.396112	2020-04-05 21:08:11.537945	2.4581393324708807	64	2	66	0.001583730566850799	0.09697401269689451	128	0.1019300174512135	0.021954674220963172	0.35286827195467424	0.1954674220963173	0.2701841359773371	2066.217333569405	0.13466676165732702	0.021954674220963172	0.35286827195467424	0.1954674220963173	0.2701841359773371	2066.216359773371	0.13466676166913372	1143515007	200	0.021954674220963172	0.35286827195467424	0.1954674220963173	0.2701841359773371	2066.218307365439	0.1346667616455221	6	COMPLETE
7	0.019121813031161474	2020-04-05 21:08:11.587461	2020-04-05 21:40:02.137487	5.808661381821781	256	1	83	0.06343466036214138	0.03127420663083934	256	0.9347793393774946	0.006728045325779037	0.019121813031161474	0.013101983002832862	0.015757790368271955	18950.415014164308	0.011431783420497981	0.006728045325779037	0.019121813031161474	0.013101983002832862	0.015757790368271955	18924.831798866857	0.011433364520381318	590973024	250	0.006728045325779037	0.019121813031161474	0.013101983002832862	0.015757790368271955	18975.998229461755	0.011430259638379892	7	COMPLETE
8	0.3693342776203966	2020-04-05 21:40:02.173186	2020-04-05 22:04:17.331559	2.715558999947582	64	2	9	0.001872485776253779	0.16589684233403085	256	0.1230476798009599	0.02018413597733711	0.3693342776203966	0.22592067988668554	0.29337818696883855	2494.0863137393767	0.14512085441988967	0.02018413597733711	0.3693342776203966	0.22592067988668554	0.29337818696883855	2494.0853399433427	0.1451208544817558	3363389560	250	0.02018413597733711	0.3693342776203966	0.22592067988668554	0.29337818696883855	2494.0872875354107	0.14512085435805563	8	COMPLETE
9	0.024256373937677055	2020-04-05 22:04:17.403274	2020-04-05 22:42:28.056559	6.103194401495359	128	1	78	0.03110649669678218	0.04908423352213934	128	0.9104477506709163	0.009206798866855524	0.024256373937677055	0.015757790368271955	0.018059490084985835	18457.296122521246	0.014703450105998649	0.009206798866855524	0.024256373937677055	0.015757790368271955	0.018059490084985835	18456.02638101983	0.014703928756522518	931381862	200	0.009206798866855524	0.024256373937677055	0.015757790368271955	0.018059490084985835	18458.56586402266	0.014702993027457272	9	COMPLETE
