number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.relation_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.1343632958801498	2020-03-12 18:38:27.461004	2020-03-12 18:39:43.703159	128	64	0.016626368840027137	128	0.03761140010147238	0.8681709028541525	0.005149812734082397	0.1343632958801498	0.03277153558052434	0.060861423220973786	41.588951310861425	0.058359097891867905	0.005149812734082397	0.1343632958801498	0.03277153558052434	0.060861423220973786	41.588951310861425	0.058359097891867905	225001084	500.0	0.005149812734082397	0.1343632958801498	0.03277153558052434	0.060861423220973786	41.588951310861425	0.058359097891867905	0	COMPLETE
1	0.09363295880149813	2020-03-12 18:39:43.720983	2020-03-12 18:40:06.793076	128	64	0.005761829081572817	256	0.24117490430462363	0.9883343692928246	0.0	0.09363295880149813	0.017322097378277154	0.0449438202247191	47.63483146067416	0.0439166005017839	0.0	0.09363295880149813	0.017322097378277154	0.0449438202247191	47.63483146067416	0.0439166005017839	157786626	250.0	0.0	0.09363295880149813	0.017322097378277154	0.0449438202247191	47.63483146067416	0.0439166005017839	1	COMPLETE
2	0.11376404494382023	2020-03-12 18:40:06.805480	2020-03-12 18:41:01.080359	64	256	0.019819715650725395	512	0.025418408517525873	0.9194901609036388	0.0	0.11376404494382023	0.02949438202247191	0.052434456928838954	44.124063670411985	0.05138352376560483	0.0	0.11376404494382023	0.02949438202247191	0.052434456928838954	44.124063670411985	0.05138352376560483	4125927746	600.0	0.0	0.11376404494382023	0.02949438202247191	0.052434456928838954	44.124063670411985	0.05138352376560483	2	COMPLETE
3	0.13670411985018727	2020-03-12 18:41:01.092484	2020-03-12 18:42:14.333922	64	256	0.03360249362533627	256	0.8561534167532602	0.9022242969742624	0.0	0.13670411985018727	0.026685393258426966	0.05898876404494382	43.4124531835206	0.05353619828156594	0.0	0.13670411985018727	0.026685393258426966	0.05898876404494382	43.4124531835206	0.05353619828156594	1981437225	700.0	0.0	0.13670411985018727	0.026685393258426966	0.05898876404494382	43.4124531835206	0.05353619828156594	3	COMPLETE
4	0.09878277153558053	2020-03-12 18:42:14.350541	2020-03-12 18:42:31.908343	256	64	0.0011960096955565614	128	0.007991916668485852	1.0072090136051206	0.0	0.09878277153558053	0.017790262172284643	0.037921348314606744	48.508426966292134	0.04344141035510779	0.0	0.09878277153558053	0.017790262172284643	0.037921348314606744	48.508426966292134	0.04344141035510779	2680474815	150.0	0.0	0.09878277153558053	0.017790262172284643	0.037921348314606744	48.508426966292134	0.04344141035510779	4	COMPLETE
5	0.14279026217228463	2020-03-12 18:42:31.918325	2020-03-12 18:43:44.654442	128	128	0.05349407098389269	256	0.6148341428479093	0.8684836787691389	0.0	0.14279026217228463	0.035580524344569285	0.06179775280898876	41.69616104868914	0.0577236961635704	0.0	0.14279026217228463	0.035580524344569285	0.06179775280898876	41.69616104868914	0.0577236961635704	3953140120	700.0	0.0	0.14279026217228463	0.035580524344569285	0.06179775280898876	41.69616104868914	0.0577236961635704	5	COMPLETE
6	0.08567415730337079	2020-03-12 18:43:44.672950	2020-03-12 18:44:02.199229	64	64	0.007889988702452175	128	0.7023460034960556	1.0088632866140275	0.0	0.08567415730337079	0.020131086142322098	0.041666666666666664	48.64887640449438	0.04204178010672304	0.0	0.08567415730337079	0.020131086142322098	0.041666666666666664	48.64887640449438	0.04204178010672304	1665567850	150.0	0.0	0.08567415730337079	0.020131086142322098	0.041666666666666664	48.64887640449438	0.04204178010672304	6	COMPLETE
7	0.09035580524344569	2020-03-12 18:44:02.209595	2020-03-12 18:44:19.595318	128	64	0.004812497828451149	128	0.0581813543705389	1.0038768797537332	0.0	0.09035580524344569	0.02294007490636704	0.04119850187265917	48.38857677902622	0.04408346475946227	0.0	0.09035580524344569	0.02294007490636704	0.04119850187265917	48.38857677902622	0.04408346475946227	441762244	150.0	0.0	0.09035580524344569	0.02294007490636704	0.04119850187265917	48.38857677902622	0.04408346475946227	7	COMPLETE
8	0.09222846441947566	2020-03-12 18:44:19.607151	2020-03-12 18:44:36.771236	64	64	0.00505500891302617	256	0.05498457561652501	1.013305369398316	0.0	0.09222846441947566	0.018726591760299626	0.04260299625468165	48.93960674157304	0.04270943455358167	0.0	0.09222846441947566	0.018726591760299626	0.04260299625468165	48.93960674157304	0.04270943455358167	457019104	200.0	0.0	0.09222846441947566	0.018726591760299626	0.04260299625468165	48.93960674157304	0.04270943455358167	8	COMPLETE
9	0.10393258426966293	2020-03-12 18:44:36.781321	2020-03-12 18:44:47.432131	128	256	0.014992067499199865	512	0.7842049274397268	1.0192157403733373	0.0	0.10393258426966293	0.023876404494382022	0.0449438202247191	49.14747191011236	0.04481236171699445	0.0	0.10393258426966293	0.023876404494382022	0.0449438202247191	49.14747191011236	0.04481236171699445	2461939363	150.0	0.0	0.10393258426966293	0.023876404494382022	0.0449438202247191	49.14747191011236	0.04481236171699445	9	COMPLETE
