number	value	datetime_start	datetime_complete	params_model.dropout_0	params_model.dropout_1	params_model.dropout_2	params_model.embedding_dim	params_model.relation_dim	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.9630149812734082	2020-05-19 04:23:07.769153	2020-05-19 04:50:01.531210	0.2905141884346186	0.2597120065377112	0.11002974622739217	256	128	512	0.11509185384899	0.06407332124296673	0.48267790262172283	0.9630149812734082	0.8150749063670412	0.9040262172284644	3.0842696629213484	0.6634524780353046	0.48267790262172283	0.9630149812734082	0.8150749063670412	0.9040262172284644	3.0842696629213484	0.6634524780353046		1019538895.0	850.0	0.48267790262172283	0.9630149812734082	0.8150749063670412	0.9040262172284644	3.0842696629213484	0.6634524780353046	0		COMPLETE
1	0.9686329588014981	2020-05-19 04:50:01.589811	2020-05-19 04:56:41.515281	0.2771126551962833	0.12992891541329676	0.22407108017050403	256	64	128	0.035325370768599464	0.059824755906270406	0.5173220973782772	0.9686329588014981	0.8347378277153558	0.9101123595505618	2.8764044943820224	0.6878923002413008	0.5173220973782772	0.9686329588014981	0.8347378277153558	0.9101123595505618	2.8764044943820224	0.6878923002413008		3410306220.0	450.0	0.5173220973782772	0.9686329588014981	0.8347378277153558	0.9101123595505618	2.8764044943820224	0.6878923002413008	1		COMPLETE
2	0.9620786516853933	2020-05-19 04:56:41.579432	2020-05-19 05:16:37.316229	0.3299671994232227	0.370188959523859	0.4089656766138198	256	128	128	0.06631915395362922	0.06476475039936519	0.47425093632958804	0.9620786516853933	0.802434456928839	0.8932584269662921	3.120318352059925	0.654522000532317	0.47425093632958804	0.9620786516853933	0.802434456928839	0.8932584269662921	3.120318352059925	0.654522000532317		278871377.0	650.0	0.47425093632958804	0.9620786516853933	0.802434456928839	0.8932584269662921	3.120318352059925	0.654522000532317	2		COMPLETE
3	0.952247191011236	2020-05-19 05:16:37.379227	2020-05-19 05:23:16.232745	0.31054868242974465	0.11643980256561633	0.4115258312395732	128	128	256	0.010694840977074637	0.06811571903247735	0.46863295880149813	0.952247191011236	0.7780898876404494	0.8792134831460674	3.276685393258427	0.6429797201719459	0.46863295880149813	0.952247191011236	0.7780898876404494	0.8792134831460674	3.276685393258427	0.6429797201719459		2988857418.0	800.0	0.46863295880149813	0.952247191011236	0.7780898876404494	0.8792134831460674	3.276685393258427	0.6429797201719459	3		COMPLETE
4	0.9559925093632958	2020-05-19 05:23:16.294378	2020-05-19 05:27:21.231943	0.181571770981775	0.1834557521360606	0.4102426846030781	128	64	128	0.009544292849596698	0.06688505764318149	0.45271535580524347	0.9559925093632958	0.7935393258426966	0.8927902621722846	3.2200374531835205	0.6402099463917525	0.45271535580524347	0.9559925093632958	0.7935393258426966	0.8927902621722846	3.2200374531835205	0.6402099463917525		1930307849.0	650.0	0.45271535580524347	0.9559925093632958	0.7935393258426966	0.8927902621722846	3.2200374531835205	0.6402099463917525	4		COMPLETE
5	0.8651685393258427	2020-05-19 05:27:21.287048	2020-05-19 05:32:51.695188	0.4285788498371156	0.2974687262879693	0.14868546282331374	128	64	512	0.2653338441187497	0.11132522809322687	0.34831460674157305	0.8651685393258427	0.6212546816479401	0.7350187265917603	5.38623595505618	0.520551440715384	0.34831460674157305	0.8651685393258427	0.6212546816479401	0.7350187265917603	5.38623595505618	0.520551440715384		1800063815.0		0.34831460674157305	0.8651685393258427	0.6212546816479401	0.7350187265917603	5.38623595505618	0.520551440715384	5		COMPLETE
6	0.9442883895131086	2020-05-19 05:32:51.744819	2020-05-19 05:48:04.138615	0.38714383742145775	0.2020522758578634	0.14733885360122825	128	256	512	0.2732069238383597	0.07198255815393247	0.4363295880149813	0.9442883895131086	0.7556179775280899	0.8567415730337079	3.4691011235955056	0.6161376176177698	0.4363295880149813	0.9442883895131086	0.7556179775280899	0.8567415730337079	3.4691011235955056	0.6161376176177698		163799969.0		0.4363295880149813	0.9442883895131086	0.7556179775280899	0.8567415730337079	3.4691011235955056	0.6161376176177698	6		COMPLETE
7	0.9330524344569289	2020-05-19 05:48:04.179671	2020-05-19 05:54:47.821453	0.49157595435824863	0.368762627251189	0.3849188566452699	128	128	128	0.0029427492591187843	0.08057664379072882	0.4054307116104869	0.9330524344569289	0.7111423220973783	0.8202247191011236	3.887172284644195	0.5851897149067603	0.4054307116104869	0.9330524344569289	0.7111423220973783	0.8202247191011236	3.887172284644195	0.5851897149067603		514697538.0	750.0	0.4054307116104869	0.9330524344569289	0.7111423220973783	0.8202247191011236	3.887172284644195	0.5851897149067603	7		COMPLETE
8	0.8979400749063671	2020-05-19 05:54:47.883412	2020-05-19 06:01:40.100052	0.46570118412677064	0.33870897220710866	0.24784496464568875	64	256	128	0.401615300284772	0.0931891167958438	0.3529962546816479	0.8979400749063671	0.6573033707865169	0.7710674157303371	4.493913857677903	0.5351882577736412	0.3529962546816479	0.8979400749063671	0.6573033707865169	0.7710674157303371	4.493913857677903	0.5351882577736412		1653191226.0		0.3529962546816479	0.8979400749063671	0.6573033707865169	0.7710674157303371	4.493913857677903	0.5351882577736412	8		COMPLETE
9	0.9597378277153558	2020-05-19 06:01:40.149823	2020-05-19 06:52:06.206859	0.44688025030083944	0.43616309720549784	0.2045962057057461	256	256	256	0.19816725733035778	0.06534167714783232	0.45786516853932585	0.9597378277153558	0.7869850187265918	0.8895131086142322	3.1521535580524342	0.6415181154680536	0.45786516853932585	0.9597378277153558	0.7869850187265918	0.8895131086142322	3.1521535580524342	0.6415181154680536		19976325.0	800.0	0.45786516853932585	0.9597378277153558	0.7869850187265918	0.8895131086142322	3.1521535580524342	0.6415181154680536	9		COMPLETE
