number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	model.relation_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201
0	TrialState.COMPLETE	0.0008852691218130312	2020-01-09 13:26:08.720577	2020-01-09 14:29:31.511666	7.0901214505365635	100.0	100.0	2	41.0	0.03989576318408024	500.0	0.8730481849080541	8.852691218130312e-05	0.0008852691218130312	0.000398371104815864	0.0006196883852691218	17699.481962641643	0.0006424740730081892	8.852691218130312e-05	0.0008852691218130312	0.000398371104815864	0.0006196883852691218	17699.46591713881	0.0006424761257825361	8.852691218130312e-05	0.0008852691218130312	0.000398371104815864	0.0006196883852691218	17699.498008144477	0.0006424720369127278	0	0.0010623229461756375	0.0009442870632672333		
1	TrialState.COMPLETE	0.06860835694050992	2020-01-09 14:29:31.512590	2020-01-09 15:16:17.740940	7.902182385622572	200.0	100.0	1	6.0	0.003248506177077661	800.0	0.6307295020321525	0.0015492209631728046	0.06860835694050992	0.0467864730878187	0.05807365439093484	12786.141288951841	0.027487731768334137	0.0015492209631728046	0.06860835694050992	0.0467864730878187	0.05807365439093484	12786.107250354107	0.027487732521241665	0.0015492209631728046	0.06860835694050992	0.0467864730878187	0.05807365439093484	12786.175327549576	0.027487731016266174	1	0.1361543909348442	0.091123701605288		
2	TrialState.COMPLETE	0.0010180594900849858	2020-01-09 15:16:17.741819	2020-01-09 16:08:32.889103	3.5094003789859975	50.0	200.0	1	26.0	0.09902683744506079	800.0	0.8665998947857615	8.852691218130312e-05	0.0010180594900849858	0.00017705382436260624	0.0006639518413597734	17568.287756728045	0.0007029897591937557	8.852691218130312e-05	0.0010180594900849858	0.00017705382436260624	0.0006639518413597734	17568.28395007082	0.0007029897840176797	8.852691218130312e-05	0.0010180594900849858	0.00017705382436260624	0.0006639518413597734	17568.291563385268	0.0007029897343751038	2	0.0011508498583569404	0.0010623229461756375		
3	TrialState.COMPLETE	0.019520184135977336	2020-01-09 16:08:32.890034	2020-01-09 16:59:01.707120	5.939998032345845	50.0	200.0	1	16.0	0.002667295839168237	500.0	0.7104006139394442	0.0007524787535410764	0.019520184135977336	0.009206798866855524	0.013500354107648726	14401.596494334277	0.00796993759205734	0.0007524787535410764	0.019520184135977336	0.009206798866855524	0.013500354107648726	14401.588748229462	0.007969937813828865	0.0007524787535410764	0.019520184135977336	0.009206798866855524	0.013500354107648726	14401.604240439094	0.007969937370426578	3	0.03797804532577904	0.025672804532577902		
4	TrialState.COMPLETE	0.05227514164305949	2020-01-09 16:59:01.707914	2020-01-09 18:35:01.259653	3.592397026150076	150.0	200.0	2	36.0	0.004987689556665368	500.0	0.41576457929710114	0.004470609065155807	0.05227514164305949	0.027354815864022664	0.03864199716713881	8428.040567457507	0.021983922735153524	0.004470609065155807	0.05227514164305949	0.027354815864022664	0.03864199716713881	8428.037800991502	0.02198392279640282	0.004470609065155807	0.05227514164305949	0.027354815864022664	0.03864199716713881	8428.043333923513	0.02198392267393568	4	0.09675991501416431	0.06710339943342776		
5	TrialState.COMPLETE	0.002478753541076487	2020-01-09 18:35:01.261075	2020-01-09 19:26:46.773827	4.010318792234141	50.0	50.0	2	46.0	0.022022337396528237	600.0	0.6503907948278992	0.0002655807365439094	0.002478753541076487	0.0004868980169971671	0.0011951133144475921	13185.75247875354	0.0015379521529213056	0.0002655807365439094	0.002478753541076487	0.0004868980169971671	0.0011951133144475921	13185.738978399433	0.0015379523983802014	0.0002655807365439094	0.002478753541076487	0.0004868980169971671	0.0011951133144475921	13185.76597910765	0.0015379519077159264	5	0.0035410764872521247	0.0028328611898017		
6	TrialState.COMPLETE	0.0698034702549575	2020-01-09 19:26:46.774712	2020-01-09 20:31:07.389645	7.281775280316262	100.0	200.0	2	26.0	0.0033052574264205554	700.0	0.6189012599100029	0.002213172804532578	0.0698034702549575	0.049486543909348445	0.06077372521246459	12546.790169086402	0.029302914763229177	0.002213172804532578	0.0698034702549575	0.049486543909348445	0.06077372521246459	12546.739199716714	0.029302916028780195	0.002213172804532578	0.0698034702549575	0.049486543909348445	0.06077372521246459	12546.841138456091	0.029302913500648373	6	0.13872167138810199	0.09277620396600567		
7	TrialState.COMPLETE	0.022839943342776205	2020-01-09 20:31:07.390780	2020-01-09 21:31:34.407464	4.970474040661463	150.0	50.0	1	41.0	0.006361580744749766	1000.0	0.6011469996045089	0.001903328611898017	0.022839943342776205	0.009870750708215298	0.014606940509915014	12186.766001239377	0.009243249495287618	0.001903328611898017	0.022839943342776205	0.009870750708215298	0.014606940509915014	12186.704895538243	0.009243249980044943	0.001903328611898017	0.022839943342776205	0.009870750708215298	0.014606940509915014	12186.82710694051	0.009243249011219907	7	0.044794617563739376	0.03015816808309726		
8	TrialState.COMPLETE	0.0002655807365439094	2020-01-09 21:31:34.409165	2020-01-09 22:15:23.847222	8.408485979731443	150.0	200.0	2	6.0	0.04927591736077736	500.0	0.9070114306013516	0.0	0.0002655807365439094	4.426345609065156e-05	4.426345609065156e-05	18387.64890226629	0.00030854142531336164	0.0	0.0002655807365439094	4.426345609065156e-05	4.426345609065156e-05	18387.409569759206	0.0003085500478001417	0.0	0.0002655807365439094	4.426345609065156e-05	4.426345609065156e-05	18387.88823477337	0.00030853284045097144	8	0.0003541076487252125	0.0002950897072710104		
