number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	551	601	651	701	801	851
0	TrialState.COMPLETE	0.3436302282952841	2020-01-03 17:15:49.378944	2020-01-03 18:18:20.281809	250.0	71.0	0.0032888115446785882	800.0	0.3019526044208517	0.22518121979670055	0.3436302282952841	0.2919305115814031	0.3146246458923513	6120.148813739377	0.26818353053261557	0.22518121979670055	0.3436302282952841	0.2919305115814031	0.3146246458923513	6120.148100316614	0.2681835305452824	0.22518121979670055	0.3436302282952841	0.2919305115814031	0.3146246458923513	6120.14952716214	0.26818353051995414	0															
1	TrialState.COMPLETE	0.0004868980169971671	2020-01-03 18:18:20.282757	2020-01-03 18:28:17.829111	450.0	41.0	0.0701317699252597	500.0	0.9560881352344586	0.0003541076487252125	0.0004868980169971671	0.0003541076487252125	0.0003541076487252125	19382.75201398725	0.0005866162053933428	0.0003541076487252125	0.0004868980169971671	0.0003541076487252125	0.0003541076487252125	19382.75066395184	0.0005866162109742182	0.0003541076487252125	0.0004868980169971671	0.0003541076487252125	0.0003541076487252125	19382.75336402266	0.0005866161998131119	1	8.852691218130312e-05	0.0003541076487252125													
2	TrialState.COMPLETE	0.4186111525272104	2020-01-03 18:28:17.830047	2020-01-03 20:21:12.874540	450.0	91.0	0.0012399569552982404	900.0	0.30838837917289524	0.3461588638735649	0.4186111525272104	0.3890152079916505	0.40126919636200986	6250.1963247353515	0.3740442455119228	0.3461588638735649	0.4186111525272104	0.3890152079916505	0.40126919636200986	6250.195225137915	0.37404424558260735	0.3461588638735649	0.4186111525272104	0.3890152079916505	0.40126919636200986	6250.197424332787	0.37404424544138115	2															
3	TrialState.COMPLETE	0.3950661000944287	2020-01-03 20:21:12.875335	2020-01-03 21:39:09.093849	250.0	71.0	0.002252131851153596	1000.0	0.29579102884825004	0.2998280048563335	0.3950661000944287	0.35935181438014296	0.37499156886550655	5995.321352691218	0.33647529444043905	0.2998280048563335	0.3950661000944287	0.35935181438014296	0.37499156886550655	5995.320610751382	0.33647529446995333	0.2998280048563335	0.3950661000944287	0.35935181438014296	0.37499156886550655	5995.322094631054	0.3364752944109615	3															
4	TrialState.COMPLETE	0.008970727101038715	2020-01-03 21:39:09.094821	2020-01-03 21:50:40.535506	50.0	21.0	0.03386034745232579	600.0	0.8111879486072473	0.0052525967894239845	0.008970727101038715	0.007170679886685552	0.007701841359773371	16444.92162417375	0.006876451017965315	0.0052525967894239845	0.008970727101038715	0.007170679886685552	0.007701841359773371	16444.919912653448	0.006876451025311539	0.0052525967894239845	0.008970727101038715	0.007170679886685552	0.007701841359773371	16444.92333569405	0.006876451010620062	4			0.008410056657223795	0.008746458923512748											
5	TrialState.COMPLETE	0.029545856940509915	2020-01-03 21:50:40.536457	2020-01-03 22:08:46.947814	150.0	41.0	0.01745296788400351	900.0	0.6826966033734473	0.019918555240793202	0.029545856940509915	0.02385800283286119	0.02596051699716714	13839.806225655098	0.023681042701952124	0.019918555240793202	0.029545856940509915	0.02385800283286119	0.02596051699716714	13839.8046875	0.0236810427296376	0.019918555240793202	0.029545856940509915	0.02385800283286119	0.02596051699716714	13839.807763810199	0.02368104267428751	5					0.02812204910292729	0.02893565358154593									
6	TrialState.COMPLETE	0.003470254957507082	2020-01-03 22:08:46.948690	2020-01-03 22:20:53.309109	350.0	31.0	0.037286587477613556	900.0	0.9318166483260502	0.002160056657223796	0.003470254957507082	0.002726628895184136	0.0031161473087818695	18890.487393767704	0.0027943150386470625	0.002160056657223796	0.003470254957507082	0.002726628895184136	0.0031161473087818695	18890.485941926345	0.002794315045262052	0.002160056657223796	0.003470254957507082	0.002726628895184136	0.0031161473087818695	18890.488845609067	0.0027943150320327726	6		0.002950897072710104	0.0032754957507082154												
7	TrialState.COMPLETE	0.2303175165250236	2020-01-03 22:20:53.309904	2020-01-03 22:33:02.746863	250.0	1.0	0.0036170602302347896	800.0	0.36927862570361475	0.14061024551463644	0.2303175165250236	0.17991619452313504	0.19983474976392823	7485.748067162417	0.17168634795975965	0.14061024551463644	0.2303175165250236	0.17991619452313504	0.19983474976392823	7485.747786827195	0.1716863481007678	0.14061024551463644	0.2303175165250236	0.17991619452313504	0.19983474976392823	7485.748347497639	0.17168634781917969	7			0.228532223796034	0.22960339943342775											
8	TrialState.COMPLETE	0.000398371104815864	2020-01-03 22:33:02.747823	2020-01-03 22:44:52.363160	450.0	71.0	0.07638712744301826	1000.0	0.970418813038862	0.00017705382436260624	0.000398371104815864	0.0002213172804532578	0.0002213172804532578	19673.14994245751	0.00042850564423983377	0.00017705382436260624	0.000398371104815864	0.0002213172804532578	0.0002213172804532578	19673.14819405099	0.00042850565181545684	0.00017705382436260624	0.000398371104815864	0.0002213172804532578	0.0002213172804532578	19673.151690864022	0.00042850563666510034	8	0.0002655807365439094	0.0003541076487252125													
