number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
9	TrialState.COMPLETE	0.002443342776203966	2020-01-03 22:44:52.364129	2020-01-03 23:00:21.814358	350.0	81.0	0.041710443494167644	900.0	0.9179573331037774	0.001168555240793201	0.002443342776203966	0.0016997167138810198	0.0018413597733711049	18609.12724858357	0.001759934128857479	0.001168555240793201	0.002443342776203966	0.0016997167138810198	0.0018413597733711049	18609.12485835694	0.0017599341382439468	0.001168555240793201	0.002443342776203966	0.0016997167138810198	0.0018413597733711049	18609.1296388102	0.0017599341194719212	9		0.0030099150141643057	0.0026558073654390935												
10	TrialState.COMPLETE	0.01971936968838527	2020-01-03 23:00:21.815336	2020-01-03 23:20:43.938287	150.0	81.0	0.02077724607996427	900.0	0.7409171343856534	0.013544617563739376	0.01971936968838527	0.016134029745042494	0.017638987252124646	15019.919053204674	0.016125384856944917	0.013544617563739376	0.01971936968838527	0.016134029745042494	0.017638987252124646	15019.917271600567	0.016125384885235995	0.013544617563739376	0.01971936968838527	0.016134029745042494	0.017638987252124646	15019.920834808781	0.01612538482866394	10					0.018856232294617564	0.019349453662484823									
11	TrialState.COMPLETE	0.24232766761095373	2020-01-03 23:20:43.939827	2020-01-04 00:25:51.973062	250.0	21.0	0.0045023201395861315	1000.0	0.31092781358046145	0.1318713746121678	0.24232766761095373	0.18453224065830298	0.20808883043302306	6302.367567954944	0.17059457822507273	0.1318713746121678	0.24232766761095373	0.18453224065830298	0.20808883043302306	6302.366965128827	0.17059457826138993	0.1318713746121678	0.24232766761095373	0.18453224065830298	0.20808883043302306	6302.36817078106	0.17059457818879928	11															
12	TrialState.COMPLETE	0.0033994334277620396	2020-01-04 00:25:51.973945	2020-01-04 00:34:54.578736	150.0	11.0	0.05143220597762038	600.0	0.9448580031090134	0.0019475920679886685	0.0033994334277620396	0.002443342776203966	0.0029390934844192636	19155.018041784704	0.002577973450214963	0.0019475920679886685	0.0033994334277620396	0.002443342776203966	0.0029390934844192636	19155.017032577904	0.002577973476593414	0.0019475920679886685	0.0033994334277620396	0.002443342776203966	0.0029390934844192636	19155.0190509915	0.002577973423853112	12		0.003068932955618508	0.0032754957507082154												
13	TrialState.COMPLETE	0.021347632537434238	2020-01-04 00:34:54.579521	2020-01-04 00:53:50.146431	250.0	61.0	0.015965997589754442	900.0	0.7342857333648816	0.013253743423715094	0.021347632537434238	0.01633953864832052	0.018565358154593283	14885.475490692028	0.016371242530751118	0.013253743423715094	0.021347632537434238	0.01633953864832052	0.018565358154593283	14885.47369486038	0.016371242544760578	0.013253743423715094	0.021347632537434238	0.01633953864832052	0.018565358154593283	14885.477286523676	0.016371242516745294	13				0.020325779036827196	0.020921860245514637										
14	TrialState.COMPLETE	0.1939284157768577	2020-01-04 00:53:50.147437	2020-01-04 01:42:27.082161	250.0	81.0	0.006287943821353546	600.0	0.37452432925890383	0.1089017215079538	0.1939284157768577	0.1487796905643931	0.16754739594682938	7591.5517337655265	0.13871205344108806	0.1089017215079538	0.1939284157768577	0.1487796905643931	0.16754739594682938	7591.550896164742	0.13871205345625978	0.1089017215079538	0.1939284157768577	0.1487796905643931	0.16754739594682938	7591.552571366311	0.13871205342592255	14															
15	TrialState.COMPLETE	0.18134737960339944	2020-01-04 01:42:27.083201	2020-01-04 02:42:10.497781	450.0	21.0	0.004972962940588159	900.0	0.36869315994938984	0.10667492917847025	0.18134737960339944	0.1422074185552408	0.15805373583569404	7473.648902266289	0.1334262714547932	0.10667492917847025	0.18134737960339944	0.1422074185552408	0.15805373583569404	7473.648282577904	0.1334262714660127	0.10667492917847025	0.18134737960339944	0.1422074185552408	0.15805373583569404	7473.649521954674	0.13342627144357885	15												0.17986139214892757	0.18065391879131257		
16	TrialState.COMPLETE	0.40538887458150913	2020-01-04 02:42:10.498773	2020-01-04 03:16:59.945216	150.0	91.0	0.0013694774825498868	500.0	0.3336537074031112	0.33411666237445276	0.40538887458150913	0.3765451970126191	0.3883273242338398	6762.7536296033995	0.36168046464969267	0.33411666237445276	0.40538887458150913	0.3765451970126191	0.3883273242338398	6762.752510945145	0.3616804647736425	0.33411666237445276	0.40538887458150913	0.3765451970126191	0.3883273242338398	6762.754748261654	0.3616804645260046	16															
17	TrialState.COMPLETE	0.04638810198300283	2020-01-04 03:16:59.946004	2020-01-04 03:29:07.528810	250.0	1.0	0.018721117847895274	1000.0	0.7735329009528435	0.02676463644948064	0.04638810198300283	0.036827195467422094	0.04057483474976393	15682.104963408876	0.03413596333185495	0.02676463644948064	0.04638810198300283	0.036827195467422094	0.04057483474976393	15682.104668319169	0.0341359633419301	0.02676463644948064	0.04638810198300283	0.036827195467422094	0.04057483474976393	15682.105258498583	0.034135963321784646	17			0.044794617563739376	0.04575070821529745											
18	TrialState.COMPLETE	0.008100212464589236	2020-01-04 03:29:07.529571	2020-01-04 03:37:06.396117	450.0	1.0	0.04352295956859347	1000.0	0.9399426876414526	0.004337818696883853	0.008100212464589236	0.0060198300283286115	0.006772308781869688	19055.66902000708	0.005981813317596872	0.004337818696883853	0.008100212464589236	0.0060198300283286115	0.006772308781869688	19055.66859950425	0.005981813362759075	0.004337818696883853	0.008100212464589236	0.0060198300283286115	0.006772308781869688	19055.669440509915	0.005981813272464529	18	0.005577195467422096	0.007259206798866855													
19	TrialState.COMPLETE	0.39763493365140895	2020-01-04 03:37:06.396886	2020-01-04 04:51:09.971273	450.0	11.0	0.0013241822303682307	900.0	0.3272440810477036	0.30685291486506633	0.39763493365140895	0.36569069628746087	0.37955680632175337	6632.714756970329	0.3422993302003551	0.30685291486506633	0.39763493365140895	0.36569069628746087	0.37955680632175337	6632.713927612942	0.342299330259685	0.30685291486506633	0.39763493365140895	0.36569069628746087	0.37955680632175337	6632.715586327718	0.34229933014114494	19															
20	TrialState.COMPLETE	0.11674285346381663	2020-01-04 04:51:09.972243	2020-01-04 05:18:00.122742	150.0	41.0	0.00934306974186627	1000.0	0.3917780625218445	0.05768735513778007	0.11674285346381663	0.08229783672418234	0.09519057429822303	7941.567191926346	0.07869772268326247	0.05768735513778007	0.11674285346381663	0.08229783672418234	0.09519057429822303	7941.566395184136	0.07869772268990727	0.05768735513778007	0.11674285346381663	0.08229783672418234	0.09519057429822303	7941.567988668555	0.07869772267661876	20								0.11506531318854266	0.11598796033994334						
21	TrialState.COMPLETE	0.39926999346262804	2020-01-04 05:18:00.123523	2020-01-04 05:51:54.802749	50.0	21.0	0.0016446149047145383	600.0	0.2959440904471905	0.2986898016997167	0.39926999346262804	0.36524842013510567	0.38018903900631945	5998.908858139028	0.3385270357103589	0.2986898016997167	0.39926999346262804	0.36524842013510567	0.38018903900631945	5998.908272499455	0.33852703577606025	0.2986898016997167	0.39926999346262804	0.36524842013510567	0.38018903900631945	5998.909443778601	0.33852703564477293	21															
22	TrialState.COMPLETE	0.03468287692791942	2020-01-04 05:51:54.803723	2020-01-04 06:12:00.429128	50.0	51.0	0.02035383090877301	800.0	0.5253310905871327	0.016052880075542966	0.03468287692791942	0.022525180988353793	0.026617091595845136	10649.496822867484	0.02309807909074932	0.016052880075542966	0.03468287692791942	0.022525180988353793	0.026617091595845136	10649.495180201448	0.023098079104411483	0.016052880075542966	0.03468287692791942	0.022525180988353793	0.026617091595845136	10649.498465533523	0.02309807907708982	22						0.03366552003237556	0.034237783286118983								
23	TrialState.COMPLETE	0.4055091695243775	2020-01-04 06:12:00.430081	2020-01-04 07:19:23.324665	450.0	1.0	0.001062468583455874	900.0	0.30610137024078754	0.29689130758908605	0.4055091695243775	0.36645482331892054	0.3846354554942597	6204.309648501566	0.3387800827691907	0.29689130758908605	0.4055091695243775	0.36645482331892054	0.3846354554942597	6204.3091546145815	0.33878008384960456	0.29689130758908605	0.4055091695243775	0.36645482331892054	0.3846354554942597	6204.310142388549	0.33878008170089113	23															
24	TrialState.COMPLETE	0.41977598031906965	2020-01-04 07:19:23.325680	2020-01-04 08:10:34.058739	50.0	71.0	0.0010198126811448687	900.0	0.2780617519440911	0.3530266885343671	0.41977598031906965	0.3906552855225883	0.4021731027284926	5636.110756485761	0.378574076065997	0.3530266885343671	0.41977598031906965	0.3906552855225883	0.4021731027284926	5636.110127478753	0.3785740761710147	0.3530266885343671	0.41977598031906965	0.3906552855225883	0.4021731027284926	5636.111385492769	0.3785740759612406	24															
25	TrialState.COMPLETE	0.0037623937677053825	2020-01-04 08:10:34.059754	2020-01-04 08:16:49.485327	250.0	1.0	0.08471355692733834	1000.0	0.9561102466392271	0.002213172804532578	0.0037623937677053825	0.002700070821529745	0.0029656515580736543	19383.42959897309	0.0029424356591762815	0.002213172804532578	0.0037623937677053825	0.002700070821529745	0.0029656515580736543	19383.429266997166	0.0029424356600871787	0.002213172804532578	0.0037623937677053825	0.002700070821529745	0.0029656515580736543	19383.42993094901	0.002942435658265465	25	0.0025672804532577906	0.0033640226628895184													
26	TrialState.COMPLETE	0.38409412825135203	2020-01-04 08:16:49.486826	2020-01-04 09:19:49.433492	450.0	91.0	0.0014313050002244868	500.0	0.3240324711449239	0.29437612670615504	0.38409412825135203	0.3514357455575586	0.3660990213752253	6567.406185616791	0.3294586868268808	0.29437612670615504	0.38409412825135203	0.3514357455575586	0.3660990213752253	6567.405147437548	0.3294586868488722	0.29437612670615504	0.38409412825135203	0.3514357455575586	0.3660990213752253	6567.407223796034	0.3294586868049006	26															
27	TrialState.COMPLETE	0.014113719142047754	2020-01-04 09:19:49.434451	2020-01-04 09:34:07.394442	50.0	11.0	0.029750867290562918	800.0	0.7637799863488456	0.008321529745042492	0.014113719142047754	0.010977337110481586	0.012343180898421692	15484.017705382435	0.010781940417527502	0.008321529745042492	0.014113719142047754	0.010977337110481586	0.012343180898421692	15484.016440712263	0.01078194042658187	0.008321529745042492	0.014113719142047754	0.010977337110481586	0.012343180898421692	15484.01897005261	0.01078194040847563	27				0.013101983002832862	0.013692162417374882										
28	TrialState.COMPLETE	0.004036827195467422	2020-01-04 09:34:07.395933	2020-01-04 09:47:50.926473	450.0	31.0	0.029664231525299796	700.0	0.9311036399143342	0.0028328611898017	0.004036827195467422	0.0033640226628895184	0.0037535410764872523	18875.67871813031	0.0034466513576830245	0.0028328611898017	0.004036827195467422	0.0033640226628895184	0.0037535410764872523	18875.67747875354	0.003446651369432428	0.0028328611898017	0.004036827195467422	0.0033640226628895184	0.0037535410764872523	18875.679957507084	0.0034466513459379703	28		0.003659112370160529	0.003895184135977337												
29	TrialState.COMPLETE	0.3802955189286634	2020-01-04 09:47:50.927409	2020-01-04 10:25:24.758950	350.0	21.0	0.0015429460295328114	500.0	0.3348867478346095	0.29530968323461243	0.3802955189286634	0.34937548287406645	0.3630247231522019	6787.371354300798	0.32844243125621925	0.29530968323461243	0.3802955189286634	0.34937548287406645	0.3630247231522019	6787.37049317538	0.3284424312753106	0.29530968323461243	0.3802955189286634	0.34937548287406645	0.3630247231522019	6787.372215426217	0.3284424312371367	29															
30	TrialState.COMPLETE	0.004001416430594901	2020-01-04 10:25:24.759718	2020-01-04 10:36:51.688634	350.0	11.0	0.04234192611823002	1000.0	0.9573832520210768	0.0020538243626062325	0.004001416430594901	0.0026203966005665723	0.0030807365439093483	19408.86735127479	0.002792852650101071	0.0020538243626062325	0.004001416430594901	0.0026203966005665723	0.0030807365439093483	19408.866536827194	0.002792852652748989	0.0020538243626062325	0.004001416430594901	0.0026203966005665723	0.0030807365439093483	19408.86816572238	0.0027928526474534144	30		0.003718130311614731	0.003895184135977337												
31	TrialState.COMPLETE	0.30383798213118324	2020-01-04 10:36:51.689610	2020-01-04 11:27:50.818584	250.0	91.0	0.0040622332892967915	600.0	0.3208164777657384	0.19003323164088037	0.30383798213118324	0.25149814774460666	0.27426999346262804	6502.741426509044	0.23088027445180542	0.19003323164088037	0.30383798213118324	0.25149814774460666	0.27426999346262804	6502.740520810634	0.23088027447249332	0.19003323164088037	0.30383798213118324	0.25149814774460666	0.27426999346262804	6502.742332207453	0.23088027443112671	31															
32	TrialState.COMPLETE	0.11299828004856334	2020-01-04 11:27:50.819526	2020-01-04 12:17:01.369397	350.0	41.0	0.0074670772582340625	900.0	0.459690145557919	0.06381525698097935	0.11299828004856334	0.08526406313233509	0.096127579927155	9318.436823401456	0.08136875833064033	0.06381525698097935	0.11299828004856334	0.08526406313233509	0.096127579927155	9318.436007689195	0.08136875834892449	0.06381525698097935	0.11299828004856334	0.08526406313233509	0.096127579927155	9318.43763911372	0.08136875831237357	32										0.11273902266288952	0.11287862279363696				
33	TrialState.COMPLETE	0.26372633069926943	2020-01-04 12:17:01.370184	2020-01-04 13:03:35.671540	50.0	1.0	0.0031210990889553075	900.0	0.2645059171315218	0.0999701804085284	0.26372633069926943	0.1680706724317877	0.2051681079469211	5361.87000987774	0.15366869277709597	0.0999701804085284	0.26372633069926943	0.1680706724317877	0.2051681079469211	5361.8696697480245	0.15366869280003395	0.0999701804085284	0.26372633069926943	0.1680706724317877	0.2051681079469211	5361.870350007455	0.15366869275418366	33															
34	TrialState.COMPLETE	0.0025672804532577906	2020-01-04 13:03:35.673108	2020-01-04 13:09:27.096528	50.0	31.0	0.06117182442330854	800.0	0.9120666332253204	0.000398371104815864	0.0025672804532577906	0.0012393767705382436	0.0018148016997167138	18489.67833746459	0.0012472347017739843	0.000398371104815864	0.0025672804532577906	0.0012393767705382436	0.0018148016997167138	18489.67696529745	0.0012472347092364125	0.000398371104815864	0.0025672804532577906	0.0012393767705382436	0.0018148016997167138	18489.679709631728	0.001247234694312696	34	0.0012393767705382436	0.002124645892351275													
35	TrialState.COMPLETE	0.1952581766675251	2020-01-04 13:09:27.097270	2020-01-04 13:38:03.119006	50.0	91.0	0.008134360049025671	500.0	0.29170817802649823	0.08348892608807623	0.1952581766675251	0.13242016482101468	0.15859193922225084	5912.960573332475	0.1220434254037472	0.08348892608807623	0.1952581766675251	0.13242016482101468	0.15859193922225084	5912.959776590265	0.12204342578516521	0.08348892608807623	0.1952581766675251	0.13242016482101468	0.15859193922225084	5912.961370074685	0.12204342502414844	35															
36	TrialState.COMPLETE	0.0009737960339943342	2020-01-04 13:38:03.119954	2020-01-04 13:43:52.526198	50.0	21.0	0.0814177058809044	800.0	0.9208090926255578	0.0002655807365439094	0.0009737960339943342	0.0005311614730878187	0.000708215297450425	18667.231586402268	0.0007157952899688272	0.0002655807365439094	0.0009737960339943342	0.0005311614730878187	0.000708215297450425	18667.229948654393	0.000715795297608127	0.0002655807365439094	0.0009737960339943342	0.0005311614730878187	0.000708215297450425	18667.233224150143	0.000715795282330575	36	0.0	0.0006491973559962229													
37	TrialState.COMPLETE	0.30606083196660205	2020-01-04 13:43:52.527189	2020-01-04 14:35:00.607388	150.0	51.0	0.004397756685268375	1000.0	0.29867380050908526	0.1761685552407932	0.30606083196660205	0.2430855822275235	0.27030527806769045	6053.9433847100045	0.22197127221550608	0.1761685552407932	0.30606083196660205	0.2430855822275235	0.27030527806769045	6053.942681154018	0.22197127223731505	0.1761685552407932	0.30606083196660205	0.2430855822275235	0.27030527806769045	6053.944088265991	0.22197127219370869	37														0.3044284285952341	0.30528997481901166
38	TrialState.COMPLETE	0.07907867628122586	2020-01-04 14:35:00.608167	2020-01-04 15:29:11.433252	450.0	81.0	0.008237486819635468	600.0	0.541056191984585	0.04582474890548545	0.07907867628122586	0.06053631212979655	0.06818181818181818	10967.865640291013	0.057841700039611525	0.04582474890548545	0.07907867628122586	0.06053631212979655	0.06818181818181818	10967.864296291527	0.057841700073357184	0.04582474890548545	0.07907867628122586	0.06053631212979655	0.06818181818181818	10967.866984290496	0.05784170000590912	38								0.07933978596159899	0.07919617563739377						
39	TrialState.COMPLETE	0.012438031161473087	2020-01-04 15:29:11.434193	2020-01-04 15:35:17.773267	250.0	1.0	0.03360857284197881	500.0	0.9165924453325835	0.00681657223796034	0.012438031161473087	0.008852691218130312	0.010534702549575071	18582.229218307366	0.009022935889198577	0.00681657223796034	0.012438031161473087	0.008852691218130312	0.010534702549575071	18582.228842067987	0.009022935906622412	0.00681657223796034	0.012438031161473087	0.008852691218130312	0.010534702549575071	18582.22959454674	0.009022935871787204	39	0.013013456090651559	0.012629839471199245													
40	TrialState.COMPLETE	0.003186968838526912	2020-01-04 15:35:17.774750	2020-01-04 15:45:31.717697	250.0	31.0	0.04299823500532923	700.0	0.9210616756942757	0.002195467422096317	0.003186968838526912	0.002726628895184136	0.002974504249291785	18672.068856232294	0.0027812211327949165	0.002195467422096317	0.003186968838526912	0.002726628895184136	0.002974504249291785	18672.0671388102	0.002781221137692884	0.002195467422096317	0.003186968838526912	0.002726628895184136	0.002974504249291785	18672.07057365439	0.0027812211278973333	40		0.0027148253068932956	0.0030099150141643057												
41	TrialState.COMPLETE	0.22452507915347442	2020-01-04 15:45:31.718662	2020-01-04 17:25:58.889307	450.0	91.0	0.00479764845282935	800.0	0.36656002699681345	0.13411306448925178	0.22452507915347442	0.17894934177637062	0.19788368605232462	7429.947165055824	0.16607981233647381	0.13411306448925178	0.22452507915347442	0.17894934177637062	0.19788368605232462	7429.946321446426	0.1660798123837829	0.13411306448925178	0.22452507915347442	0.17894934177637062	0.19788368605232462	7429.948008665223	0.16607981228923238	41															
