number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	501	551	601	701	751	801	851	901	951	1001	1051
0	TrialState.COMPLETE	0.40475389518413596	2020-01-07 09:42:42.054664	2020-01-07 11:58:34.305458	0.21142800984817395	24.13771106473217	350.0	10.0	0.0034173340516743117	1800.0	0.5308161285908187	0.14475035410764872	0.40475389518413596	0.3307896600566572	0.3731497875354108	10759.960618803116	0.24545623033080666	0.14475035410764872	0.40475389518413596	0.3307896600566572	0.3731497875354108	10759.958365793202	0.24545623066342576	0.14475035410764872	0.40475389518413596	0.3307896600566572	0.3731497875354108	10759.962871813032	0.2454562300003202	0							0.4035745199874095	0.4041952437751603			
1	TrialState.COMPLETE	0.38566116956697694	2020-01-07 11:58:34.307183	2020-01-07 13:23:54.316161	0.7689716065775977	15.559588658273523	250.0	20.0	0.006364098934376291	1600.0	0.5028526814501957	0.14933225414811818	0.38566116956697694	0.32020184135977336	0.35850870093079723	10192.493069607446	0.24142656820713873	0.14933225414811818	0.38566116956697694	0.32020184135977336	0.35850870093079723	10192.491412889518	0.24142656873661866	0.14933225414811818	0.38566116956697694	0.32020184135977336	0.35850870093079723	10192.494726325374	0.24142656768159235	1		0.38354284702549574	0.3846834822401395								
2	TrialState.COMPLETE	0.34543201133144474	2020-01-07 13:23:54.317297	2020-01-07 16:03:06.187653	0.44871963640323975	7.426074113911881	450.0	70.0	0.08889524646403112	1600.0	0.3912103537661068	0.030019475920679887	0.34543201133144474	0.23806657223796035	0.3025584277620397	7928.59273194051	0.14329689838128787	0.030019475920679887	0.34543201133144474	0.23806657223796035	0.3025584277620397	7928.572512393767	0.14329696081197515	0.030019475920679887	0.34543201133144474	0.23806657223796035	0.3025584277620397	7928.612951487252	0.14329683968194754	2							0.34535332074283914	0.34539473684210525			
3	TrialState.COMPLETE	0.3964637522534123	2020-01-07 16:03:06.189366	2020-01-07 18:27:22.126143	0.9604566577865912	9.30186617711953	250.0	40.0	0.0017898671110604077	2000.0	0.5242201533343257	0.13237187741437034	0.3964637522534123	0.3256583183105846	0.36657384754056144	10626.111539885398	0.23617155998907066	0.13237187741437034	0.3964637522534123	0.3256583183105846	0.36657384754056144	10626.10980556271	0.2361715600478098	0.13237187741437034	0.3964637522534123	0.3256583183105846	0.36657384754056144	10626.113274208086	0.2361715599303888	3									0.39487429178470257	0.3957068663159315	
4	TrialState.COMPLETE	0.37997112660710397	2020-01-07 18:27:22.127086	2020-01-07 19:51:27.148511	0.502188647648735	15.153437132085157	350.0	30.0	0.0060257028755813635	1100.0	0.48365002993193085	0.15650196121159293	0.37997112660710397	0.3164905208106341	0.3534675310525169	9803.035662726084	0.24303032647301284	0.15650196121159293	0.37997112660710397	0.3164905208106341	0.3534675310525169	9803.034321202877	0.24303032653459622	0.15650196121159293	0.37997112660710397	0.3164905208106341	0.3534675310525169	9803.037004249292	0.2430303264114902	4	0.3787503219160443	0.3794115911237016									
5	TrialState.COMPLETE	0.3706569738376937	2020-01-07 19:51:27.150375	2020-01-07 21:53:58.305571	0.9186273499066322	20.171698970261133	350.0	90.0	0.002160297536871124	1000.0	0.5707083693139963	0.14218463589401767	0.3706569738376937	0.31353107815364106	0.3473587735377437	11568.30473046159	0.2329052819218049	0.14218463589401767	0.3706569738376937	0.31353107815364106	0.3473587735377437	11568.30251208132	0.23290529167983184	0.14218463589401767	0.3706569738376937	0.31353107815364106	0.3473587735377437	11568.30694884186	0.23290527256546253	5				0.3692988668555241	0.3700203611898017						
6	TrialState.COMPLETE	0.34673577131084216	2020-01-07 21:53:58.307163	2020-01-07 23:23:30.626185	0.8547889774360572	28.90343184148356	450.0	80.0	0.009356301781788591	500.0	0.5012125049975024	0.13253283543651814	0.34673577131084216	0.28642480041205254	0.32296227143960854	10159.095021568375	0.21491981646829902	0.13253283543651814	0.34673577131084216	0.28642480041205254	0.32296227143960854	10159.09338784445	0.21491981665973606	0.13253283543651814	0.34673577131084216	0.28642480041205254	0.32296227143960854	10159.0966552923	0.21491981627738455	6											
7	TrialState.COMPLETE	0.3175616563906016	2020-01-07 23:23:30.628201	2020-01-08 01:24:19.393476	0.5966297795984241	14.733691473205084	250.0	100.0	0.05855533475520623	800.0	0.37135805569127533	0.007529995000833195	0.3175616563906016	0.19155140809865023	0.2573008665222463	7526.266757623729	0.1161475907799107	0.007529995000833195	0.3175616563906016	0.19155140809865023	0.2573008665222463	7526.251187302117	0.11614761948668947	0.007529995000833195	0.3175616563906016	0.19155140809865023	0.2573008665222463	7526.282327945342	0.11614756322609854	7											
8	TrialState.COMPLETE	0.405589453039878	2020-01-08 01:24:19.395767	2020-01-08 02:49:03.155381	0.8749913879432798	1.3646301529369138	250.0	10.0	0.00248769976532011	600.0	0.29423287696101025	0.22316953584658966	0.405589453039878	0.34716169100021793	0.3764028110699499	5962.834829211157	0.2942190924790057	0.22316953584658966	0.405589453039878	0.34716169100021793	0.3764028110699499	5962.833596644149	0.2942190925109814	0.22316953584658966	0.405589453039878	0.34716169100021793	0.3764028110699499	5962.8360617781655	0.29421909244704886	8											
9	TrialState.COMPLETE	0.3438664827791859	2020-01-08 02:49:03.156537	2020-01-08 04:46:34.754055	0.4348978509898206	27.294964891864005	150.0	40.0	0.017253820110201032	1100.0	0.4255332701694469	0.12182234978380796	0.3438664827791859	0.26159236618458326	0.3049985090204264	8624.959221708663	0.2022908902703739	0.12182234978380796	0.3438664827791859	0.26159236618458326	0.3049985090204264	8624.950984046518	0.20229089295157215	0.12182234978380796	0.3438664827791859	0.26159236618458326	0.3049985090204264	8624.967459370806	0.20229088762241312	9						0.3472858690218297	0.3454811929493233				
10	TrialState.COMPLETE	0.3417977486208439	2020-01-08 04:46:34.754951	2020-01-08 07:17:35.856467	0.87856206213876	26.972321245550734	450.0	20.0	0.06725084823434789	900.0	0.40467712339436535	0.004370433875055911	0.3417977486208439	0.2397122409422991	0.30297636797375876	8202.122027359475	0.1299405984617312	0.004370433875055911	0.3417977486208439	0.2397122409422991	0.30297636797375876	8202.106605039511	0.12994073770388945	0.004370433875055911	0.3417977486208439	0.2397122409422991	0.30297636797375876	8202.13744967944	0.12994047733298528	10											
11	TrialState.COMPLETE	0.3672250277127725	2020-01-08 07:17:35.857624	2020-01-08 09:39:58.310974	0.6112586180826651	29.42926087123956	50.0	90.0	0.001487994715619861	1500.0	0.5035750459197426	0.2791676930656485	0.3672250277127725	0.34371535903436384	0.3564247444266535	10207.784925791353	0.31465018531080713	0.2791676930656485	0.3672250277127725	0.34371535903436384	0.3564247444266535	10207.783316910949	0.3146501853741977	0.2791676930656485	0.3672250277127725	0.34371535903436384	0.3564247444266535	10207.786534671757	0.31465018524748306	11										0.3655739916363146	0.36643703322173576
12	TrialState.COMPLETE	0.34677389294766664	2020-01-08 09:39:58.311815	2020-01-08 12:04:28.998762	0.1826198188918685	11.350627249539402	350.0	80.0	0.022260530853754838	900.0	0.3900176369683297	0.030024601162964067	0.34677389294766664	0.23978678992097807	0.3044673475473386	7904.3662404950055	0.14347717432854595	0.030024601162964067	0.34677389294766664	0.23978678992097807	0.3044673475473386	7904.357974876994	0.1434772110430332	0.030024601162964067	0.34677389294766664	0.23978678992097807	0.3044673475473386	7904.374506113017	0.14347714007561174	12											
