number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301
0	TrialState.COMPLETE	8.852691218130312e-05	2020-01-10 16:56:57.339022	2020-01-10 17:04:11.291631	250.0	11.0	0.003986576567949662	1300.0	1.018146436226272	0.0	8.852691218130312e-05	0.0	0.0	20641.26936526204	0.00022836972038994723	0.0	8.852691218130312e-05	0.0	0.0	20641.16010092068	0.0002283728069525056	0.0	8.852691218130312e-05	0.0	0.0	20641.378629603398	0.00022836663922104044	0	0.0	5.901794145420208e-05				
1	TrialState.COMPLETE	4.426345609065156e-05	2020-01-10 17:04:11.292590	2020-01-10 17:13:17.774865	450.0	21.0	0.0015474905871479805	500.0	1.0231708358521552	0.0	4.426345609065156e-05	0.0	0.0	20743.26825867564	0.00021343617959424213	0.0	4.426345609065156e-05	0.0	0.0	20743.13726097734	0.00021343836287831863	0.0	4.426345609065156e-05	0.0	0.0	20743.399256373938	0.0002134339981104674	1	8.852691218130312e-05	5.901794145420208e-05				
2	TrialState.COMPLETE	0.0004426345609065156	2020-01-10 17:13:17.775796	2020-01-10 17:23:09.726484	450.0	71.0	0.002887599503627795	800.0	1.0472030321073589	0.00017705382436260624	0.0004426345609065156	0.00017705382436260624	0.0003098441926345609	21230.297649610482	0.0004095804957843689	0.00017705382436260624	0.0004426345609065156	0.00017705382436260624	0.0003098441926345609	21230.042847025496	0.0004096201099482502	0.00017705382436260624	0.0004426345609065156	0.00017705382436260624	0.0003098441926345609	21230.55245219547	0.00040954180033700704	2	0.0003541076487252125	0.00041312559017941453				
3	TrialState.COMPLETE	0.00017705382436260624	2020-01-10 17:23:09.727374	2020-01-10 17:29:55.020841	150.0	41.0	0.0019814429990355803	1600.0	1.0296674662292837	0.0	0.00017705382436260624	0.0	0.0	20875.13892085694	0.00023751761238535564	0.0	0.00017705382436260624	0.0	0.0	20875.10632082153	0.00023751803212689903	0.0	0.00017705382436260624	0.0	0.0	20875.171520892352	0.00023751719283761585	3	0.00017705382436260624	0.00017705382436260624				
4	TrialState.COMPLETE	0.0011508498583569404	2020-01-10 17:29:55.021746	2020-01-10 17:39:08.951665	450.0	31.0	0.028128137660589816	1500.0	1.0003661642479633	0.0011508498583569404	0.0011508498583569404	0.0011508498583569404	0.0011508498583569404	20280.58148902266	0.0014615900598501173	0.0011508498583569404	0.0011508498583569404	0.0011508498583569404	0.0011508498583569404	20280.345166430594	0.0014615939164145115	0.0011508498583569404	0.0011508498583569404	0.0011508498583569404	0.0011508498583569404	20280.817811614732	0.001461586207653525	4	0.0	0.000767233238904627				
5	TrialState.COMPLETE	0.00017705382436260624	2020-01-10 17:39:08.952733	2020-01-10 17:48:34.393980	450.0	51.0	0.021807740907417484	900.0	1.0250630797696771	0.0	0.00017705382436260624	0.0	0.0	20781.39730878187	0.0002174869992543132	0.0	0.00017705382436260624	0.0	0.0	20781.052275141643	0.00021749470187608401	0.0	0.00017705382436260624	0.0	0.0	20781.742342422098	0.00021747930765008986	5	0.00017705382436260624	0.00017705382436260624				
6	TrialState.COMPLETE	0.0001327903682719547	2020-01-10 17:48:34.395392	2020-01-10 17:55:49.795522	250.0	31.0	0.012658230355983045	1700.0	1.0231552169539875	4.426345609065156e-05	0.0001327903682719547	4.426345609065156e-05	4.426345609065156e-05	20743.114509560906	0.0002454447182015894	4.426345609065156e-05	0.0001327903682719547	4.426345609065156e-05	4.426345609065156e-05	20742.981630665723	0.00024545024722993827	4.426345609065156e-05	0.0001327903682719547	4.426345609065156e-05	4.426345609065156e-05	20743.24738845609	0.0002454392190316796	6	8.852691218130312e-05	0.00011803588290840416				
7	TrialState.COMPLETE	0.000708215297450425	2020-01-10 17:55:49.796459	2020-01-10 18:02:34.289605	150.0	41.0	0.052677308565459546	1200.0	0.9682320102153398	0.0	0.000708215297450425	0.0003541076487252125	0.0004426345609065156	19628.87524344901	0.0005929642706743504	0.0	0.000708215297450425	0.0003541076487252125	0.0004426345609065156	19628.81670502833	0.0005929657156666445	0.0	0.000708215297450425	0.0003541076487252125	0.0004426345609065156	19628.933781869688	0.0005929628281164202	7	0.0005311614730878187	0.0006491973559962229				
8	TrialState.COMPLETE	0.0003098441926345609	2020-01-10 18:02:34.290505	2020-01-10 18:09:12.145930	50.0	91.0	0.09993462047530778	1900.0	0.98110754506255	0.0	0.0003098441926345609	0.0	4.426345609065156e-05	19890.22337553116	0.00028939734071047876	0.0	0.0003098441926345609	0.0	4.426345609065156e-05	19890.151912181303	0.0002894000637552868	0.0	0.0003098441926345609	0.0	4.426345609065156e-05	19890.29483888102	0.00028939462634097204	8	0.0004426345609065156	0.0003541076487252125				
