number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.relation_dim	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.06320224719101124	2020-04-10 03:16:26.640119	2020-04-10 03:17:11.513293	128	256	74	512	1.1276495492064886	0.0	0.06320224719101124	0.018258426966292134	0.030430711610486893	54.390449438202246	0.03649224325798248	0.0	0.06320224719101124	0.018258426966292134	0.030430711610486893	54.390449438202246	0.03649224325798248	3178727708	150	0.0	0.06320224719101124	0.018258426966292134	0.030430711610486893	54.390449438202246	0.03649224325798248	0	COMPLETE
1	0.1549625468164794	2020-04-10 03:17:11.545959	2020-04-10 03:18:51.223873	128	256	20	512	0.7450258981293479	0.0	0.1549625468164794	0.02855805243445693	0.06273408239700375	36.0313670411985	0.06032748180024022	0.0	0.1549625468164794	0.02855805243445693	0.06273408239700375	36.0313670411985	0.06032748180024022	3522621296	400	0.0	0.1549625468164794	0.02855805243445693	0.06273408239700375	36.0313670411985	0.06032748180024022	1	COMPLETE
2	0.050093632958801496	2020-04-10 03:18:51.284730	2020-04-10 03:19:27.055172	256	128	64	512	1.116208827447439	0.0	0.050093632958801496	0.011235955056179775	0.02200374531835206	53.896067415730336	0.03340397263146912	0.0	0.050093632958801496	0.011235955056179775	0.02200374531835206	53.896067415730336	0.03340397263146912	417885304	150	0.0	0.050093632958801496	0.011235955056179775	0.02200374531835206	53.896067415730336	0.03340397263146912	2	COMPLETE
3	0.07350187265917603	2020-04-10 03:19:27.114844	2020-04-10 03:19:56.668289	64	128	38	512	1.0827648364241176	0.0	0.07350187265917603	0.016853932584269662	0.040262172284644196	52.21816479400749	0.03915957369033554	0.0	0.07350187265917603	0.016853932584269662	0.040262172284644196	52.21816479400749	0.03915957369033554	524119997	150	0.0	0.07350187265917603	0.016853932584269662	0.040262172284644196	52.21816479400749	0.03915957369033554	3	COMPLETE
4	0.062265917602996254	2020-04-10 03:19:56.694517	2020-04-10 03:20:28.046224	64	64	90	512	1.1003610837562812	0.0	0.062265917602996254	0.013576779026217229	0.026685393258426966	53.11610486891386	0.03533895437772765	0.0	0.062265917602996254	0.013576779026217229	0.026685393258426966	53.11610486891386	0.03533895437772765	3576178789	150	0.0	0.062265917602996254	0.013576779026217229	0.026685393258426966	53.11610486891386	0.03533895437772765	4	COMPLETE
5	0.06132958801498127	2020-04-10 03:20:28.072149	2020-04-10 03:21:19.729306	64	128	44	256	1.1402010977240313	0.0	0.06132958801498127	0.008895131086142321	0.02153558052434457	55.02808988764045	0.03265159455965156	0.0	0.06132958801498127	0.008895131086142321	0.02153558052434457	55.02808988764045	0.03265159455965156	439860483	150	0.0	0.06132958801498127	0.008895131086142321	0.02153558052434457	55.02808988764045	0.03265159455965156	5	COMPLETE
6	0.03932584269662921	2020-04-10 03:21:19.750730	2020-04-10 03:22:55.707513	256	64	64	128	1.2147967876789723	0.0	0.03932584269662921	0.00749063670411985	0.014044943820224719	58.674157303370784	0.02867820845230891	0.0	0.03932584269662921	0.00749063670411985	0.014044943820224719	58.674157303370784	0.02867820845230891	982629314	150	0.0	0.03932584269662921	0.00749063670411985	0.014044943820224719	58.674157303370784	0.02867820845230891	6	COMPLETE
7	0.06694756554307116	2020-04-10 03:22:55.745365	2020-04-10 03:23:47.247477	128	64	37	256	1.109625434775031	0.0	0.06694756554307116	0.010299625468164793	0.027153558052434457	53.47191011235955	0.0355424779705878	0.0	0.06694756554307116	0.010299625468164793	0.027153558052434457	53.47191011235955	0.0355424779705878	646721335	150	0.0	0.06694756554307116	0.010299625468164793	0.027153558052434457	53.47191011235955	0.0355424779705878	7	COMPLETE
8	0.054775280898876406	2020-04-10 03:23:47.270855	2020-04-10 03:24:40.155150	64	256	46	256	1.1342288099232825	0.0	0.054775280898876406	0.008895131086142321	0.020599250936329586	54.743445692883896	0.0323882012903446	0.0	0.054775280898876406	0.008895131086142321	0.020599250936329586	54.743445692883896	0.0323882012903446	679155850	150	0.0	0.054775280898876406	0.008895131086142321	0.020599250936329586	54.743445692883896	0.0323882012903446	8	COMPLETE
9	0.05290262172284644	2020-04-10 03:24:40.180777	2020-04-10 03:25:42.643787	128	256	83	256	1.2324446198697925	0.0	0.05290262172284644	0.011235955056179775	0.02200374531835206	59.499063670411985	0.030688655104242332	0.0	0.05290262172284644	0.011235955056179775	0.02200374531835206	59.499063670411985	0.030688655104242332	829748387	150	0.0	0.05290262172284644	0.011235955056179775	0.02200374531835206	59.499063670411985	0.030688655104242332	9	COMPLETE
