number	value	datetime_start	datetime_complete	params_loss.margin	params_model.c_max	params_model.c_min	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.8445692883895131	2020-04-07 14:14:01.157309	2020-04-07 14:32:27.694228	0.6118962032365273	6.238787340171753	0.041971478824956714	256	63	128	0.13359249137823334	0.24297752808988765	0.8445692883895131	0.5084269662921348	0.6465355805243446	6.409878277153558	0.42552736528658697	0.24297752808988765	0.8445692883895131	0.5084269662921348	0.6465355805243446	6.409176029962547	0.4255758915221375	3067872518	600	0.24297752808988765	0.8445692883895131	0.5084269662921348	0.6465355805243446	6.410580524344569	0.4254945444669214	0	COMPLETE
1	0.850187265917603	2020-04-07 14:32:27.729843	2020-04-07 14:41:28.320487	7.588069376911229	8.354543680588325	0.07431594653034963	64	27	128	0.1321167994913216	0.22659176029962547	0.850187265917603	0.4911048689138577	0.6554307116104869	6.36001872659176	0.41271359194023177	0.22659176029962547	0.850187265917603	0.4911048689138577	0.6554307116104869	6.36001872659176	0.41271359194023177	2927718928	350	0.22659176029962547	0.850187265917603	0.4911048689138577	0.6554307116104869	6.36001872659176	0.41271359194023177	1	COMPLETE
2	0.87312734082397	2020-04-07 14:41:28.356221	2020-04-07 14:44:26.354591	7.065000578931393	3.4802659417476054	0.05329388485081637	64	22	512	0.11783437941777991	0.24812734082397003	0.87312734082397	0.5529026217228464	0.7078651685393258	5.6661985018726595	0.44827176896883847	0.24812734082397003	0.87312734082397	0.5529026217228464	0.7078651685393258	5.6661985018726595	0.44827176896883847	1476120435	350	0.24812734082397003	0.87312734082397	0.5529026217228464	0.7078651685393258	5.6661985018726595	0.44827176896883847	2	COMPLETE
3	0.8604868913857678	2020-04-07 14:44:26.383646	2020-04-07 14:47:26.877524	8.619264014368316	8.068177558497403	0.03867188500277344	128	38	512	0.12659721312632832	0.22284644194756553	0.8604868913857678	0.5032771535580525	0.6704119850187266	6.088483146067416	0.416621232275893	0.22284644194756553	0.8604868913857678	0.5032771535580525	0.6704119850187266	6.088483146067416	0.416621232275893	3045607080	350	0.22284644194756553	0.8604868913857678	0.5032771535580525	0.6704119850187266	6.088483146067416	0.416621232275893	3	COMPLETE
4	0.8305243445692884	2020-04-07 14:47:26.912504	2020-04-07 14:54:35.933698	4.663070442430396	1.831638551542135	0.054896916732306754	256	36	256	0.1409920000903699	0.19288389513108614	0.8305243445692884	0.4700374531835206	0.6292134831460674	6.768258426966292	0.38550566145584925	0.19288389513108614	0.8305243445692884	0.4700374531835206	0.6292134831460674	6.768258426966292	0.38550566145584925	170821228	450	0.19288389513108614	0.8305243445692884	0.4700374531835206	0.6292134831460674	6.768258426966292	0.38550566145584925	4	COMPLETE
5	0.8609550561797753	2020-04-07 14:54:35.960651	2020-04-07 15:19:42.468115	0.5615440103647715	5.378894886099362	0.045779033694021004	128	68	128	0.12284135710088752	0.26264044943820225	0.8609550561797753	0.5294943820224719	0.6741573033707865	5.882490636704119	0.4448268400705899	0.26264044943820225	0.8609550561797753	0.5294943820224719	0.6741573033707865	5.882490636704119	0.4448268400705899	2973992728	800	0.26264044943820225	0.8609550561797753	0.5294943820224719	0.6741573033707865	5.882490636704119	0.4448268400705899	5	COMPLETE
6	0.8885767790262172	2020-04-07 15:19:42.490642	2020-04-07 15:23:50.469113	5.210175167115972	9.108639155133487	0.054382528638370634	64	43	512	0.11058706039395393	0.28230337078651685	0.8885767790262172	0.5678838951310862	0.7308052434456929	5.313202247191011	0.4720016153110393	0.28230337078651685	0.8885767790262172	0.5678838951310862	0.7308052434456929	5.313202247191011	0.4720016153110393	4035127469	450	0.28230337078651685	0.8885767790262172	0.5678838951310862	0.7308052434456929	5.313202247191011	0.4720016153110393	6	COMPLETE
7	0.8806179775280899	2020-04-07 15:23:50.499890	2020-04-07 15:27:15.079004	6.0386739336389414	7.386627214824235	0.03174664143180637	64	51	512	0.11234812625798951	0.29447565543071164	0.8806179775280899	0.5875468164794008	0.723314606741573	5.391385767790262	0.4816326538773741	0.29447565543071164	0.8806179775280899	0.5875468164794008	0.723314606741573	5.391385767790262	0.4816326538773741	401871948	400	0.29447565543071164	0.8806179775280899	0.5875468164794008	0.723314606741573	5.391385767790262	0.4816326538773741	7	COMPLETE
8	0.8801498127340824	2020-04-07 15:27:15.104015	2020-04-07 15:36:15.423564	2.94604599023147	8.050434283900959	0.011927624692251747	64	18	128	0.11323284441500567	0.2631086142322097	0.8801498127340824	0.5383895131086143	0.7036516853932584	5.453183520599251	0.4531132860396396	0.2631086142322097	0.8801498127340824	0.5383895131086143	0.7036516853932584	5.453183520599251	0.4531132860396396	1498511817	350	0.2631086142322097	0.8801498127340824	0.5383895131086143	0.7036516853932584	5.453183520599251	0.4531132860396396	8	COMPLETE
9	0.7631086142322098	2020-04-07 15:36:15.454662	2020-04-07 15:49:29.477722	9.20389732355274	2.9545947481298955	0.0853451371369525	128	62	128	0.16815821131541347	0.18632958801498128	0.7631086142322098	0.425561797752809	0.5786516853932584	8.09129213483146	0.36179696156559915	0.18632958801498128	0.7631086142322098	0.425561797752809	0.5786516853932584	8.09129213483146	0.36179696156559915	653919945	450	0.18632958801498128	0.7631086142322098	0.425561797752809	0.5786516853932584	8.09129213483146	0.36179696156559915	9	COMPLETE
10	0.8539325842696629	2020-04-07 15:49:29.500422	2020-04-07 16:03:38.434595	8.260533884321598	8.60196006974244	0.03671857970299486	256	87	128	0.12458834176611029	0.224250936329588	0.8539325842696629	0.5014044943820225	0.6610486891385767	5.997659176029963	0.415817752372791	0.224250936329588	0.8539325842696629	0.5014044943820225	0.6610486891385767	5.997659176029963	0.415817752372791	2965872115	450	0.224250936329588	0.8539325842696629	0.5014044943820225	0.6610486891385767	5.997659176029963	0.415817752372791	10	COMPLETE
11	0.8258426966292135	2020-04-07 16:03:38.461562	2020-04-07 16:12:06.139749	9.889458850300173	3.772336144906735	0.037463391089863296	256	83	256	0.14460512719462426	0.16900749063670412	0.8258426966292135	0.43586142322097376	0.6123595505617978	6.957397003745318	0.3634596434479454	0.16900749063670412	0.8258426966292135	0.43586142322097376	0.6123595505617978	6.957397003745318	0.3634596434479454	669929501	450	0.16900749063670412	0.8258426966292135	0.43586142322097376	0.6123595505617978	6.957397003745318	0.3634596434479454	11	COMPLETE
12	0.8277153558052435	2020-04-07 16:12:06.189419	2020-04-07 16:21:31.144484	4.456633514803357	9.124823621248265	0.06262195056544803	256	80	256	0.14751556058229412	0.18164794007490637	0.8277153558052435	0.4349250936329588	0.5917602996254682	7.10065543071161	0.3672121359520569	0.18164794007490637	0.8277153558052435	0.4349250936329588	0.5917602996254682	7.100187265917603	0.3672155055592112	4236151397	500	0.18164794007490637	0.8277153558052435	0.4349250936329588	0.5917602996254682	7.101123595505618	0.36720907171555084	12	COMPLETE
13	0.8473782771535581	2020-04-07 16:21:31.174287	2020-04-07 16:25:29.312978	5.512930102521045	6.693987742468186	0.02142508185424322	128	3	256	0.12711077164474888	0.2148876404494382	0.8473782771535581	0.499063670411985	0.6573033707865169	6.102528089887641	0.4081406755403742	0.2148876404494382	0.8473782771535581	0.499063670411985	0.6573033707865169	6.102528089887641	0.4081406755403742	1934107476	400	0.2148876404494382	0.8473782771535581	0.499063670411985	0.6573033707865169	6.102528089887641	0.4081406755403742	13	COMPLETE
