number	value	datetime_start	datetime_complete	params_loss.margin	params_model.c_max	params_model.c_min	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.8281835205992509	2020-04-08 05:38:25.224150	2020-04-08 05:40:04.856858	9.732544229819624	1.7376936275046713	0.056762956328563555	128	40	512	0.1447983405252828	0.1858614232209738	0.8281835205992509	0.44569288389513106	0.6062734082397003	6.969803370786517	0.37421611653299724	0.1858614232209738	0.8281835205992509	0.44569288389513106	0.6062734082397003	6.969569288389513	0.37422211864574095	1262671665	400	0.1858614232209738	0.8281835205992509	0.44569288389513106	0.6062734082397003	6.9700374531835205	0.37421097186493124	0	COMPLETE
1	0.8122659176029963	2020-04-08 05:40:04.889388	2020-04-08 05:45:24.987937	4.480559544464045	9.249819913112614	0.01368836825989826	256	95	256	0.1503796361950104	0.2153558052434457	0.8122659176029963	0.46722846441947563	0.6184456928838952	7.2027153558052435	0.39518909364405075	0.2153558052434457	0.8122659176029963	0.46722846441947563	0.6184456928838952	7.2027153558052435	0.39518909364405075	4174138437	550	0.2153558052434457	0.8122659176029963	0.46722846441947563	0.6184456928838952	7.2027153558052435	0.39518909364405075	1	COMPLETE
2	0.8796816479400749	2020-04-08 05:45:25.069313	2020-04-08 05:48:22.169417	1.0241537143637247	1.0955766518039973	0.09475876157249152	64	58	256	0.11300221295357588	0.2687265917602996	0.8796816479400749	0.5575842696629213	0.7139513108614233	5.418539325842697	0.4592532258442501	0.2687265917602996	0.8796816479400749	0.5575842696629213	0.7139513108614233	5.418539325842697	0.4592532258442501	682284758	400	0.2687265917602996	0.8796816479400749	0.5575842696629213	0.7139513108614233	5.418539325842697	0.4592532258442501	2	COMPLETE
3	0.8085205992509363	2020-04-08 05:48:22.213377	2020-04-08 05:49:48.741838	5.131551494361998	9.20144765222327	0.04395871730275312	256	51	512	0.15469304205194004	0.1760299625468165	0.8085205992509363	0.4311797752808989	0.5987827715355806	7.418071161048689	0.3642993385541671	0.1760299625468165	0.8085205992509363	0.4311797752808989	0.5987827715355806	7.418071161048689	0.3642993385541671	3873851203	300	0.1760299625468165	0.8085205992509363	0.4311797752808989	0.5987827715355806	7.418071161048689	0.3642993385541671	3	COMPLETE
4	0.670880149812734	2020-04-08 05:49:48.768943	2020-04-08 05:53:12.666037	7.175942350066829	9.565200713483748	0.08834846301629065	256	35	256	0.22486218439470906	0.10205992509363296	0.670880149812734	0.3089887640449438	0.4447565543071161	10.807818352059925	0.26908038221366054	0.10205992509363296	0.670880149812734	0.3089887640449438	0.4447565543071161	10.807584269662922	0.26908074940173426	377298388	450	0.10205992509363296	0.670880149812734	0.3089887640449438	0.4447565543071161	10.808052434456929	0.269080029148205	4	COMPLETE
5	0.8281835205992509	2020-04-08 05:53:12.701836	2020-04-08 06:04:10.184979	5.137733054010111	7.220859842157667	0.027469892652003332	256	7	128	0.1408035334030494	0.20786516853932585	0.8281835205992509	0.4653558052434457	0.6282771535580525	6.750702247191011	0.39317587308877366	0.20786516853932585	0.8281835205992509	0.4653558052434457	0.6282771535580525	6.7504681647940075	0.3931761664251108	3437177920	800	0.20786516853932585	0.8281835205992509	0.4653558052434457	0.6282771535580525	6.750936329588015	0.3931755898674827	5	COMPLETE
6	0.8642322097378277	2020-04-08 06:04:10.253227	2020-04-08 06:07:45.485925	7.248875654449164	8.10088671314151	0.013837958907756968	64	25	256	0.12397266656495212	0.26357677902621723	0.8642322097378277	0.5529026217228464	0.6919475655430711	5.9639513108614235	0.45246765361708935	0.26357677902621723	0.8642322097378277	0.5529026217228464	0.6919475655430711	5.9639513108614235	0.45246765361708935	3630305177	500	0.26357677902621723	0.8642322097378277	0.5529026217228464	0.6919475655430711	5.9639513108614235	0.45246765361708935	6	COMPLETE
7	0.7705992509363296	2020-04-08 06:07:45.513144	2020-04-08 06:10:53.854869	7.042851128572001	3.9645010050216545	0.04580306972033041	256	89	256	0.1713081216448325	0.13764044943820225	0.7705992509363296	0.36657303370786515	0.5360486891385767	8.233614232209737	0.31769531226009445	0.13764044943820225	0.7705992509363296	0.36657303370786515	0.5360486891385767	8.233614232209737	0.31769531226009445	330406508	350	0.13764044943820225	0.7705992509363296	0.36657303370786515	0.5360486891385767	8.233614232209737	0.31769531226009445	7	COMPLETE
8	0.7687265917602997	2020-04-08 06:10:53.881869	2020-04-08 06:12:38.879889	4.148582205872346	6.06086276369934	0.0717212715641651	256	8	512	0.17722806152416748	0.12640449438202248	0.7687265917602997	0.3703183520599251	0.5341760299625468	8.517322097378278	0.3143264591318021	0.12640449438202248	0.7687265917602997	0.3703183520599251	0.5341760299625468	8.517322097378278	0.3143264591318021	2996710909	450	0.12640449438202248	0.7687265917602997	0.3703183520599251	0.5341760299625468	8.517322097378278	0.3143264591318021	8	COMPLETE
9	0.8735955056179775	2020-04-08 06:12:38.907270	2020-04-08 06:13:48.704505	5.229186544513805	1.2780532020503939	0.04947146719732976	128	32	512	0.12155836347790526	0.2397003745318352	0.8735955056179775	0.5383895131086143	0.6896067415730337	5.837078651685394	0.43786033023148563	0.2397003745318352	0.8735955056179775	0.5383895131086143	0.6896067415730337	5.837078651685394	0.43786033023148563	4147265019	300	0.2397003745318352	0.8735955056179775	0.5383895131086143	0.6896067415730337	5.837078651685394	0.43786033023148563	9	COMPLETE
