number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.030735235034150262	2020-05-24 13:58:11.385042	2020-05-24 17:00:27.775032	128	1	43	0.08467230844803912	2048	0.9415389712629426	0.01627159501807955	0.030735235034150262	0.029931699477701888	0.030735235034150262	57030.05348533548	0.023037940566301235	0.01627159501807955	0.030735235034150262	0.029931699477701888	0.030735235034150262	57030.0295299317	0.023037940629558048	50160403	60	0.01627159501807955	0.030735235034150262	0.029931699477701888	0.030735235034150262	57030.07744073925	0.02303794050306081	0	COMPLETE
1	0.07000803535556448	2020-05-24 17:00:27.869965	2020-05-24 22:19:55.176200	128	2	39	0.00984162077590568	4096	0.04954073842280772	0.02209722780233025	0.07000803535556448	0.04198473282442748	0.04931699477701888	2886.8702290076335	0.04303185316876503	0.02209722780233025	0.07000803535556448	0.04198473282442748	0.04931699477701888	2886.8698272398556	0.04303185332732584	2808841153	110	0.02209722780233025	0.07000803535556448	0.04198473282442748	0.04931699477701888	2886.870630775412	0.04303185301037806	1	COMPLETE
2	0.04057854560064283	2020-05-24 22:19:55.281326	2020-05-25 03:39:03.851924	256	1	9	0.01886642257613194	1024	0.9474850776043569	0.03173965447971073	0.04057854560064283	0.03656086781840096	0.037665729208517476	57429.69109079952	0.035125887279588035	0.03173965447971073	0.04057854560064283	0.03656086781840096	0.037665729208517476	57429.65307352351	0.03512588734135036	3381230395	60	0.03173965447971073	0.04057854560064283	0.03656086781840096	0.037665729208517476	57429.72910807553	0.035125887217835314	2	COMPLETE
3	0.03455202892728003	2020-05-25 03:39:03.919544	2020-05-25 04:30:30.342387	64	1	29	0.017465196906489566	1024	0.29233032156934513	0.02601446364001607	0.03455202892728003	0.0325431900361591	0.03314584170349538	17663.71695460024	0.03016557150709476	0.02601446364001607	0.03455202892728003	0.0325431900361591	0.03314584170349538	17663.713238248292	0.030165571564710874	1196742721	60	0.02601446364001607	0.03455202892728003	0.0325431900361591	0.03314584170349538	17663.72067095219	0.030165571449501927	3	COMPLETE
4	0.08597830453997589	2020-05-25 04:30:30.413707	2020-05-25 16:08:58.327706	256	1	14	0.0010665444000247791	2048	0.0423266732171029	0.023101647247890718	0.08597830453997589	0.05082362394535958	0.061771795901968664	2490.9446062675775	0.05044198531878835	0.023101647247890718	0.08597830453997589	0.05082362394535958	0.061771795901968664	2490.9442547207714	0.0504419854601422	2307990374	110	0.023101647247890718	0.08597830453997589	0.05082362394535958	0.061771795901968664	2490.944957814383	0.050441985177648016	4	COMPLETE
