number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	501	551	601	651	851	901
0	TrialState.COMPLETE	0.003186968838526912	2019-12-27 18:10:36.405971	2019-12-27 18:21:07.785160	0.5380790865053484	29.382277026576016	350.0	1	60.0	0.056616325790911026	500.0	1.003356434428157	0.0006639518413597734	0.003186968838526912	0.0017262747875354107	0.002301699716713881	20341.15456798867	0.0019323418134427383	0.0006639518413597734	0.003186968838526912	0.0017262747875354107	0.002301699716713881	20341.141952903683	0.0019323431170567697	0.0006639518413597734	0.003186968838526912	0.0017262747875354107	0.002301699716713881	20341.167183073656	0.0019323405146182027	0	0.0028328611898017	0.003068932955618508													
1	TrialState.COMPLETE	0.014452018413597733	2019-12-27 18:21:07.785988	2019-12-27 18:55:57.808204	0.9788560235399119	27.624253372352257	450.0	2	50.0	0.0027738948011526653	900.0	1.058069163864646	0.0034746813031161475	0.014452018413597733	0.005842776203966006	0.0084985835694051	21450.167183073656	0.007627223039165525	0.0034746813031161475	0.014452018413597733	0.005842776203966006	0.0084985835694051	21450.104306834277	0.00762937342669579	0.0034746813031161475	0.014452018413597733	0.005842776203966006	0.0084985835694051	21450.23005931303	0.007625423583228416	1					0.013780689329556185	0.014164305949008499									
2	TrialState.COMPLETE	0.012166127074059086	2019-12-27 18:55:57.809047	2019-12-27 19:18:27.924974	0.48357839312225825	23.39305796889528	250.0	2	80.0	0.001952376999510404	1700.0	1.048208489200198	0.0029846216106839338	0.012166127074059086	0.0053369081343585595	0.00773978146499393	21250.419491096724	0.007001902206058319	0.0029846216106839338	0.012166127074059086	0.0053369081343585595	0.00773978146499393	21250.360279239176	0.007002458316706004	0.0029846216106839338	0.012166127074059086	0.0053369081343585595	0.00773978146499393	21250.47870295427	0.007001377529321305	2				0.012075070821529746	0.012128186968838528										
3	TrialState.COMPLETE	0.012983947119924457	2019-12-27 19:18:27.925823	2019-12-27 19:39:27.080246	0.2076953235251306	16.82289422113707	350.0	2	70.0	0.0022129633565998222	1000.0	0.9965314098054685	0.0033050047214353163	0.012983947119924457	0.006078847969782814	0.008439565627950897	20202.303116147308	0.0074225991513153285	0.0033050047214353163	0.01304296506137866	0.006078847969782814	0.008439565627950897	20202.228251888573	0.007423198825793261	0.0033050047214353163	0.012983947119924457	0.006078847969782814	0.008439565627950897	20202.377980406043	0.007422040605907293	3			0.011419971671388102	0.012358356940509916											
4	TrialState.COMPLETE	0.015757790368271955	2019-12-27 19:39:27.081108	2019-12-27 20:00:42.951053	0.9825794270591435	26.708739572970554	150.0	2	70.0	0.003585292223127351	1700.0	1.0594645126966817	0.0033640226628895184	0.015757790368271955	0.005766895993524888	0.009055038445973291	21478.57877630514	0.007678458654620012	0.0033640226628895184	0.015757790368271955	0.005766895993524888	0.009105625252934034	21478.520614123838	0.0076798217320490775	0.0033640226628895184	0.015757790368271955	0.005766895993524888	0.009055038445973291	21478.63693848644	0.007677279637267182	4				0.014128895184135978	0.01507908404154863										
5	TrialState.COMPLETE	0.006418201133144476	2019-12-27 20:00:42.951878	2019-12-27 20:08:38.649162	0.1429495722876415	21.01421508040497	50.0	1	60.0	0.018991301576000104	900.0	0.6092043919887361	0.0005754249291784702	0.006418201133144476	0.00141643059490085	0.002921388101983003	12350.814359065156	0.003155017224128886	0.0005754249291784702	0.006418201133144476	0.00141643059490085	0.002921388101983003	12350.805949008498	0.003155017956805317	0.0005754249291784702	0.006418201133144476	0.00141643059490085	0.002921388101983003	12350.822769121813	0.0031550164930733496	5	0.005223087818696884	0.0060198300283286115													
6	TrialState.COMPLETE	0.038996104815864026	2019-12-27 20:08:38.649995	2019-12-27 20:21:31.067449	0.606053746653639	10.378972853053888	450.0	1	100.0	0.014356683827910822	800.0	1.0466656017873839	0.000708215297450425	0.038996104815864026	0.030630311614730878	0.03518944759206799	21219.18026292493	0.01733988801869067	0.000708215297450425	0.038996104815864026	0.030630311614730878	0.03518944759206799	21219.169307719545	0.017339888176382556	0.000708215297450425	0.038996104815864026	0.030630311614730878	0.03518944759206799	21219.191218130312	0.01733988786106971	6	0.041873229461756374	0.039955146364494806													
7	TrialState.COMPLETE	0.026345609065155807	2019-12-27 20:21:31.068282	2019-12-27 20:33:53.351932	0.5142191110280969	4.3320944150364475	50.0	2	100.0	0.01319712280558493	500.0	0.6272345642512414	0.006444759206798867	0.026345609065155807	0.011012747875354108	0.015757790368271955	12714.406196883852	0.013513736771686194	0.006444759206798867	0.026345609065155807	0.011012747875354108	0.015757790368271955	12714.392174220964	0.01351443243803587	0.006444759206798867	0.026345609065155807	0.011012747875354108	0.015757790368271955	12714.420219546742	0.013513125781259544	7		0.025731822474032107	0.02611543909348442												
8	TrialState.COMPLETE	0.025637393767705383	2019-12-27 20:33:53.352749	2019-12-27 20:46:06.347939	0.17417516987377318	6.59740096871748	50.0	2	60.0	0.019062522795246863	1600.0	0.8142665061062132	0.004426345609065156	0.025637393767705383	0.010304532577903683	0.016253541076487254	16506.65269121813	0.011628716712728195	0.004426345609065156	0.025637393767705383	0.010304532577903683	0.016253541076487254	16506.63431303116	0.011628720482537653	0.004426345609065156	0.025637393767705383	0.010304532577903683	0.016253541076487254	16506.6710694051	0.011628712961912303	8		0.02419735599622285	0.025097379603399434												
